pair,count,%,raw,raw%
re,2326,2.32600,74394,2.32523
in,2291,2.29100,73281,2.29044
st,2080,2.08000,66525,2.07928
er,1840,1.84000,58848,1.83933
tr,1549,1.54900,49558,1.54896
nt,1513,1.51300,48376,1.51202
at,1244,1.24400,39779,1.24331
te,1242,1.24200,39730,1.24178
ti,1228,1.22800,39282,1.22778
en,1218,1.21800,38957,1.21762
ta,1216,1.21600,38888,1.21547
th,1141,1.14100,36474,1.14002
on,1116,1.11600,35684,1.11532
se,1106,1.10600,35380,1.10582
et,1080,1.08000,34544,1.07969
he,1072,1.07200,34280,1.07144
lo,1044,1.04400,33388,1.04356
le,1028,1.02800,32866,1.02725
ct,1001,1.00100,32023,1.00090
ed,956,0.95600,30577,0.95570
de,956,0.95600,30560,0.95517
it,901,0.90100,28804,0.90029
es,843,0.84300,26958,0.84259
al,832,0.83200,26607,0.83162
if,830,0.83000,26525,0.82905
as,808,0.80800,25849,0.80792
ne,808,0.80800,25849,0.80792
or,808,0.80800,25843,0.80774
ru,805,0.80500,25750,0.80483
ac,794,0.79400,25378,0.79320
ck,783,0.78300,25031,0.78236
oc,758,0.75800,24251,0.75798
ra,749,0.74900,23945,0.74841
ar,732,0.73200,23390,0.73107
ce,718,0.71800,22956,0.71750
is,715,0.71500,22862,0.71456
co,711,0.71100,22716,0.71000
ur,698,0.69800,22305,0.69716
un,692,0.69200,22109,0.69103
me,680,0.68000,21752,0.67987
uc,680,0.68000,21741,0.67953
ch,670,0.67000,21426,0.66968
to,654,0.65400,20902,0.65330
ea,641,0.64100,20499,0.64071
ro,633,0.63300,20230,0.63230
ng,632,0.63200,20204,0.63149
si,602,0.60200,19259,0.60195
li,587,0.58700,18750,0.58604
ve,586,0.58600,18724,0.58523
id,582,0.58200,18611,0.58170
rn,581,0.58100,18566,0.58029
pu,580,0.58000,18550,0.57979
an,576,0.57600,18420,0.57573
pr,567,0.56700,18115,0.56619
ll,561,0.56100,17932,0.56047
ic,559,0.55900,17873,0.55863
ad,553,0.55300,17680,0.55260
ma,546,0.54600,17446,0.54528
nd,540,0.54000,17252,0.53922
ri,533,0.53300,17032,0.53234
fi,528,0.52800,16870,0.52728
ou,516,0.51600,16489,0.51537
cp,511,0.51100,16329,0.51037
tu,508,0.50800,16241,0.50762
ex,498,0.49800,15925,0.49774
ns,493,0.49300,15770,0.49290
ca,482,0.48200,15416,0.48184
ha,471,0.47100,15046,0.47027
pe,464,0.46400,14833,0.46361
no,460,0.46000,14696,0.45933
ig,454,0.45400,14524,0.45396
sk,450,0.45000,14374,0.44927
im,444,0.44400,14182,0.44327
ut,443,0.44300,14150,0.44227
el,440,0.44000,14054,0.43927
us,435,0.43500,13888,0.43408
ev,409,0.40900,13079,0.40879
la,404,0.40400,12895,0.40304
il,400,0.40000,12773,0.39923
nc,395,0.39500,12631,0.39479
ot,393,0.39300,12566,0.39276
rq,387,0.38700,12368,0.38657
pa,387,0.38700,12357,0.38622
ec,386,0.38600,12343,0.38579
ge,386,0.38600,12325,0.38522
io,375,0.37500,11992,0.37482
fo,374,0.37400,11956,0.37369
up,371,0.37100,11864,0.37082
ag,365,0.36500,11673,0.36485
bu,362,0.36200,11553,0.36110
di,356,0.35600,11364,0.35519
ir,355,0.35500,11334,0.35425
cu,349,0.34900,11160,0.34881
rt,349,0.34900,11140,0.34819
rr,348,0.34800,11111,0.34728
hi,347,0.34700,11087,0.34653
ul,347,0.34700,11070,0.34600
ke,336,0.33600,10728,0.33531
of,331,0.33100,10563,0.33015
rc,330,0.33000,10536,0.32931
om,325,0.32500,10386,0.32462
od,324,0.32400,10354,0.32362
ee,309,0.30900,9883,0.30890
nu,304,0.30400,9707,0.30340
be,303,0.30300,9675,0.30240
oi,300,0.30000,9570,0.29912
op,300,0.30000,9567,0.29902
cl,299,0.29900,9562,0.29887
em,298,0.29800,9503,0.29702
sc,294,0.29400,9390,0.29349
bl,293,0.29300,9348,0.29218
na,292,0.29200,9323,0.29140
ff,288,0.28800,9192,0.28730
wa,287,0.28700,9180,0.28693
mp,286,0.28600,9139,0.28564
ss,285,0.28500,9093,0.28421
ai,281,0.28100,8960,0.28005
ts,278,0.27800,8882,0.27761
ue,269,0.26900,8597,0.26870
mo,265,0.26500,8447,0.26402
ol,261,0.26100,8346,0.26086
ef,257,0.25700,8195,0.25614
sy,250,0.25000,7994,0.24986
ab,248,0.24800,7931,0.24789
vo,246,0.24600,7854,0.24548
pi,241,0.24100,7702,0.24073
gr,240,0.24000,7664,0.23954
po,240,0.24000,7652,0.23917
ni,238,0.23800,7586,0.23710
da,237,0.23700,7564,0.23642
ze,236,0.23600,7549,0.23595
uf,235,0.23500,7495,0.23426
sp,224,0.22400,7160,0.22379
va,222,0.22200,7072,0.22104
nl,221,0.22100,7053,0.22045
fl,218,0.21800,6947,0.21713
pt,217,0.21700,6918,0.21623
rs,216,0.21600,6884,0.21516
gn,214,0.21400,6836,0.21366
fe,214,0.21400,6818,0.21310
iz,211,0.21100,6747,0.21088
am,211,0.21100,6744,0.21079
sh,210,0.21000,6715,0.20988
do,210,0.21000,6705,0.20957
ap,210,0.21000,6695,0.20926
gs,204,0.20400,6508,0.20341
fr,201,0.20100,6420,0.20066
um,201,0.20100,6409,0.20032
ld,200,0.20000,6377,0.19932
lu,197,0.19700,6276,0.19616
we,194,0.19400,6198,0.19372
ud,193,0.19300,6170,0.19285
ft,193,0.19300,6153,0.19232
nf,186,0.18600,5947,0.18588
xt,186,0.18600,5919,0.18500
su,183,0.18300,5847,0.18275
dl,180,0.18000,5743,0.17950
ty,178,0.17800,5687,0.17775
ie,178,0.17800,5674,0.17734
so,178,0.17800,5671,0.17725
ow,177,0.17700,5643,0.17638
ry,176,0.17600,5603,0.17512
mu,175,0.17500,5568,0.17403
sa,171,0.17100,5455,0.17050
mi,171,0.17100,5441,0.17006
au,170,0.17000,5408,0.16903
oo,167,0.16700,5328,0.16653
fu,164,0.16400,5232,0.16353
lt,162,0.16200,5172,0.16165
ls,161,0.16100,5125,0.16018
ba,158,0.15800,5038,0.15747
bo,158,0.15800,5024,0.15703
ep,157,0.15700,5011,0.15662
wi,155,0.15500,4954,0.15484
hr,152,0.15200,4842,0.15134
ob,151,0.15100,4829,0.15093
eq,151,0.15100,4803,0.15012
ys,148,0.14800,4724,0.14765
ak,145,0.14500,4612,0.14415
ps,145,0.14500,4612,0.14415
pl,144,0.14400,4578,0.14309
eg,143,0.14300,4553,0.14231
os,141,0.14100,4511,0.14099
wo,140,0.14000,4474,0.13984
rk,138,0.13800,4401,0.13756
ly,138,0.13800,4390,0.13721
ho,136,0.13600,4335,0.13549
qu,134,0.13400,4282,0.13384
du,132,0.13200,4193,0.13105
