pair,count,%,raw,raw%
in,2661,2.66100,34524,2.66051
th,2561,2.56100,33228,2.56063
er,2200,2.20000,28543,2.19960
re,1908,1.90800,24758,1.90791
on,1774,1.77400,23013,1.77344
he,1643,1.64300,21316,1.64267
te,1605,1.60500,20817,1.60421
at,1510,1.51000,19584,1.50919
es,1455,1.45500,18876,1.45463
an,1400,1.40000,18162,1.39961
ti,1399,1.39900,18145,1.39830
en,1319,1.31900,17104,1.31808
st,1313,1.31300,17031,1.31245
me,1293,1.29300,16766,1.29203
le,1289,1.28900,16716,1.28818
nt,1248,1.24800,16189,1.24757
or,1194,1.19400,15484,1.19324
ng,1140,1.14000,14782,1.13914
se,1107,1.10700,14357,1.10639
it,1092,1.09200,14163,1.09144
al,1090,1.09000,14142,1.08982
co,1042,1.04200,13513,1.04135
to,984,0.98400,12763,0.98355
ri,973,0.97300,12616,0.97222
ar,906,0.90600,11745,0.90510
as,902,0.90200,11702,0.90179
li,883,0.88300,11451,0.88244
et,882,0.88200,11443,0.88183
is,859,0.85900,11139,0.85840
io,856,0.85600,11100,0.85539
de,838,0.83800,10867,0.83744
nd,807,0.80700,10467,0.80661
ra,773,0.77300,10018,0.77201
ll,745,0.74500,9658,0.74427
tr,737,0.73700,9557,0.73649
ic,724,0.72400,9383,0.72308
ta,716,0.71600,9287,0.71568
ed,712,0.71200,9227,0.71106
ca,710,0.71000,9211,0.70982
pe,693,0.69300,8989,0.69272
ec,684,0.68400,8869,0.68347
ns,678,0.67800,8793,0.67761
ou,675,0.67500,8753,0.67453
ce,671,0.67100,8699,0.67037
ne,653,0.65300,8468,0.65257
ct,638,0.63800,8275,0.63769
ro,622,0.62200,8068,0.62174
ea,620,0.62000,8042,0.61974
ss,614,0.61400,7960,0.61342
ha,611,0.61100,7928,0.61095
em,597,0.59700,7743,0.59670
am,565,0.56500,7329,0.56479
el,558,0.55800,7237,0.55770
fo,554,0.55400,7186,0.55377
si,532,0.53200,6898,0.53158
ch,529,0.52900,6858,0.52850
om,519,0.51900,6723,0.51809
ve,509,0.50900,6603,0.50884
ex,506,0.50600,6558,0.50538
pr,500,0.50000,6483,0.49960
ac,495,0.49500,6413,0.49420
la,486,0.48600,6302,0.48565
us,485,0.48500,6292,0.48488
bl,475,0.47500,6151,0.47401
ty,470,0.47000,6096,0.46977
od,462,0.46200,5994,0.46191
na,462,0.46200,5991,0.46168
lo,459,0.45900,5948,0.45837
ol,454,0.45400,5890,0.45390
ge,448,0.44800,5812,0.44789
nc,446,0.44600,5779,0.44534
ur,432,0.43200,5596,0.43124
ad,430,0.43000,5569,0.42916
ho,421,0.42100,5460,0.42076
il,416,0.41600,5392,0.41552
so,412,0.41200,5334,0.41105
rs,403,0.40300,5217,0.40204
ma,402,0.40200,5206,0.40119
ly,400,0.40000,5181,0.39926
fi,399,0.39900,5172,0.39857
hi,393,0.39300,5097,0.39279
wi,388,0.38800,5027,0.38739
di,380,0.38000,4928,0.37976
of,378,0.37800,4898,0.37745
pa,375,0.37500,4857,0.37429
pl,371,0.37100,4811,0.37075
mp,370,0.37000,4791,0.36921
ut,354,0.35400,4584,0.35325
ul,350,0.35000,4541,0.34994
ue,344,0.34400,4452,0.34308
be,341,0.34100,4418,0.34046
ts,338,0.33800,4380,0.33753
yp,328,0.32800,4247,0.32728
im,327,0.32700,4241,0.32682
ie,323,0.32300,4191,0.32297
cl,318,0.31800,4118,0.31734
un,314,0.31400,4074,0.31395
ow,313,0.31300,4054,0.31241
no,301,0.30100,3903,0.30078
rt,301,0.30100,3901,0.30062
op,293,0.29300,3792,0.29222
qu,281,0.28100,3639,0.28043
ry,270,0.27000,3492,0.26910
su,266,0.26600,3446,0.26556
ap,266,0.26600,3445,0.26548
ot,266,0.26600,3444,0.26540
va,265,0.26500,3428,0.26417
ef,265,0.26500,3426,0.26402
pt,264,0.26400,3415,0.26317
id,262,0.26200,3394,0.26155
cu,255,0.25500,3305,0.25469
yo,253,0.25300,3278,0.25261
if,248,0.24800,3212,0.24752
da,243,0.24300,3148,0.24259
we,240,0.24000,3106,0.23936
do,238,0.23800,3088,0.23797
nu,237,0.23700,3069,0.23650
ia,237,0.23700,3063,0.23604
mb,234,0.23400,3035,0.23388
wh,230,0.23000,2980,0.22965
ab,229,0.22900,2961,0.22818
ai,227,0.22700,2935,0.22618
um,224,0.22400,2897,0.22325
mi,223,0.22300,2887,0.22248
os,222,0.22200,2874,0.22148
wr,220,0.22000,2844,0.21917
wo,218,0.21800,2819,0.21724
pu,215,0.21500,2788,0.21485
po,214,0.21400,2767,0.21323
tu,209,0.20900,2707,0.20861
tt,209,0.20900,2706,0.20853
mo,208,0.20800,2689,0.20722
oc,207,0.20700,2677,0.20630
ke,205,0.20500,2657,0.20476
sy,195,0.19500,2530,0.19497
sp,195,0.19500,2518,0.19404
ub,193,0.19300,2493,0.19212
lu,192,0.19200,2490,0.19189
ru,191,0.19100,2476,0.19081
ew,189,0.18900,2443,0.18826
ag,188,0.18800,2432,0.18742
ir,187,0.18700,2419,0.18641
ee,186,0.18600,2405,0.18534
hr,185,0.18500,2400,0.18495
ep,185,0.18500,2398,0.18480
ds,183,0.18300,2370,0.18264
ck,179,0.17900,2319,0.17871
ni,176,0.17600,2280,0.17570
vi,176,0.17600,2279,0.17563
lt,173,0.17300,2234,0.17216
ld,172,0.17200,2228,0.17170
ev,170,0.17000,2202,0.16969
ls,169,0.16900,2185,0.16838
sa,168,0.16800,2178,0.16784
ob,165,0.16500,2133,0.16437
pp,165,0.16500,2132,0.16430
rr,164,0.16400,2125,0.16376
cr,162,0.16200,2100,0.16183
by,162,0.16200,2091,0.16114
oo,161,0.16100,2082,0.16044
bu,158,0.15800,2050,0.15798
uc,157,0.15700,2032,0.15659
fe,155,0.15500,2003,0.15436
eq,153,0.15300,1985,0.15297
rm,153,0.15300,1980,0.15258
iv,153,0.15300,1977,0.15235
ig,151,0.15100,1959,0.15097
ay,150,0.15000,1939,0.14942
ci,150,0.15000,1938,0.14935
fr,150,0.15000,1936,0.14919
ua,148,0.14800,1920,0.14796
wa,148,0.14800,1917,0.14773
bo,144,0.14400,1863,0.14357
fa,143,0.14300,1848,0.14241
yn,138,0.13800,1781,0.13725
rn,136,0.13600,1754,0.13517
ib,133,0.13300,1714,0.13209
ov,132,0.13200,1707,0.13155
je,131,0.13100,1695,0.13062
au,130,0.13000,1684,0.12977
xt,129,0.12900,1666,0.12839
rd,127,0.12700,1644,0.12669
iz,126,0.12600,1627,0.12538
eg,125,0.12500,1618,0.12469
ys,124,0.12400,1609,0.12399
bj,124,0.12400,1603,0.12353
sh,123,0.12300,1596,0.12299
up,121,0.12100,1562,0.12037
oi,120,0.12000,1551,0.11952
gr,119,0.11900,1542,0.11883
ba,115,0.11500,1492,0.11498
pi,113,0.11300,1463,0.11274
rc,110,0.11000,1418,0.10927
rk,108,0.10800,1390,0.10712
xp,107,0.10700,1377,0.10612
ui,107,0.10700,1376,0.10604
sc,106,0.10600,1367,0.10534
tc,106,0.10600,1363,0.10504
dd,103,0.10300,1327,0.10226
fu,100,0.10000,1296,0.09987
bi,97,0.09700,1247,0.09610
vo,96,0.09600,1239,0.09548
og,95,0.09500,1221,0.09409
nv,94,0.09400,1210,0.09325
xe,93,0.09300,1197,0.09224
ey,92,0.09200,1192,0.09186
xc,90,0.09000,1157,0.08916
ml,89,0.08900,1142,0.08801
ga,87,0.08700,1121,0.08639
av,86,0.08600,1112,0.08569
sk,86,0.08600,1109,0.08546
xa,86,0.08600,1106,0.08523
gu,85,0.08500,1102,0.08492
oa,83,0.08300,1065,0.08207
gh,82,0.08200,1064,0.08199
tw,82,0.08200,1063,0.08192
dl,82,0.08200,1059,0.08161
nl,81,0.08100,1051,0.08099
xm,81,0.08100,1048,0.08076
cc,80,0.08000,1036,0.07984
gi,80,0.08000,1035,0.07976
ht,80,0.08000,1026,0.07907
mu,79,0.07900,1019,0.07853
ze,78,0.07800,1010,0.07783
tp,78,0.07800,1003,0.07729
rf,76,0.07600,986,0.07598
ki,75,0.07500,972,0.07490
ff,75,0.07500,970,0.07475
ws,74,0.07400,959,0.07390
gn,74,0.07400,958,0.07383
ei,73,0.07300,941,0.07252
tl,72,0.07200,929,0.07159
ok,72,0.07200,923,0.07113
nf,70,0.07000,897,0.06913
ny,69,0.06900,895,0.06897
ip,67,0.06700,868,0.06689
rg,67,0.06700,867,0.06681
fl,64,0.06400,829,0.06388
ug,64,0.06400,819,0.06311
ms,61,0.06100,788,0.06073
mm,60,0.06000,775,0.05972
ak,59,0.05900,764,0.05888
yt,59,0.05900,754,0.05811
eb,58,0.05800,747,0.05757
nn,58,0.05800,743,0.05726
gs,57,0.05700,729,0.05618
ks,56,0.05600,719,0.05541
rl,55,0.05500,711,0.05479
nq,55,0.05500,702,0.05410
eo,54,0.05400,695,0.05356
za,52,0.05200,663,0.05109
dy,52,0.05200,662,0.05102
wn,50,0.05000,639,0.04924
ft,49,0.04900,631,0.04863
du,47,0.04700,603,0.04647
br,46,0.04600,591,0.04554
lr,45,0.04500,578,0.04454
af,45,0.04500,574,0.04423
go,44,0.04400,565,0.04354
sl,41,0.04100,530,0.04084
cs,41,0.04100,527,0.04061
ud,41,0.04100,524,0.04038
ps,41,0.04100,520,0.04007
ax,40,0.04000,515,0.03969
yi,40,0.04000,511,0.03938
rv,39,0.03900,501,0.03861
xi,38,0.03800,485,0.03738
dr,38,0.03800,483,0.03722
ym,37,0.03700,473,0.03645
oe,35,0.03500,444,0.03422
gt,34,0.03400,441,0.03398
gl,33,0.03300,440,0.03391
aw,32,0.03200,427,0.03291
ox,30,0.03000,393,0.03029
bs,30,0.03000,392,0.03021
jo,29,0.02900,383,0.02951
tm,29,0.02900,381,0.02936
ye,28,0.02800,365,0.02813
fy,27,0.02700,361,0.02782
pc,27,0.02700,354,0.02728
ju,27,0.02700,353,0.02720
tn,27,0.02700,353,0.02720
gg,25,0.02500,330,0.02543
ix,25,0.02500,328,0.02528
rp,25,0.02500,327,0.02520
rb,24,0.02400,321,0.02474
ik,24,0.02400,317,0.02443
sq,24,0.02400,317,0.02443
sm,24,0.02400,315,0.02427
bc,23,0.02300,308,0.02374
cy,23,0.02300,308,0.02374
sf,23,0.02300,304,0.02343
sw,23,0.02300,300,0.02312
nm,23,0.02300,299,0.02304
tf,22,0.02200,294,0.02266
np,21,0.02100,282,0.02173
dt,21,0.02100,276,0.02127
dv,20,0.02000,271,0.02088
pd,20,0.02000,261,0.02011
xx,19,0.01900,258,0.01988
lw,19,0.01900,257,0.01981
ph,19,0.01900,257,0.01981
lf,19,0.01900,253,0.01950
td,19,0.01900,249,0.01919
fs,18,0.01800,244,0.01880
bt,18,0.01800,240,0.01850
my,18,0.01800,238,0.01834
sn,18,0.01800,236,0.01819
nk,17,0.01700,233,0.01796
eu,17,0.01700,231,0.01780
gc,17,0.01700,226,0.01742
rw,17,0.01700,223,0.01718
ql,16,0.01600,217,0.01672
lv,16,0.01600,215,0.01657
yl,16,0.01600,213,0.01641
yw,16,0.01600,211,0.01626
lb,16,0.01600,208,0.01603
lp,14,0.01400,194,0.01495
ln,14,0.01400,193,0.01487
yc,14,0.01400,190,0.01464
db,14,0.01400,189,0.01456
tb,14,0.01400,183,0.01410
zo,14,0.01400,182,0.01403
ww,13,0.01300,178,0.01372
lc,13,0.01300,176,0.01356
bd,13,0.01300,169,0.01302
tv,12,0.01200,167,0.01287
zi,12,0.01200,167,0.01287
eh,12,0.01200,165,0.01272
nh,12,0.01200,156,0.01202
nr,12,0.01200,156,0.01202
cp,11,0.01100,150,0.01156
ya,11,0.01100,149,0.01148
oj,11,0.01100,148,0.01141
gb,11,0.01100,146,0.01125
kn,11,0.01100,144,0.01110
nb,11,0.01100,144,0.01110
sb,11,0.01100,144,0.01110
dc,10,0.01000,141,0.01087
df,10,0.01000,141,0.01087
xn,10,0.01000,141,0.01087
dm,10,0.01000,136,0.01048
dn,10,0.01000,136,0.01048
uf,10,0.01000,135,0.01040
yy,10,0.01000,135,0.01040
lg,10,0.01000,134,0.01033
tx,10,0.01000,131,0.01010
hy,9,0.00900,129,0.00994
py,9,0.00900,128,0.00986
pf,9,0.00900,123,0.00948
xs,8,0.00800,116,0.00894
iq,8,0.00800,107,0.00825
ah,8,0.00800,106,0.00817
ka,8,0.00800,106,0.00817
dg,8,0.00800,105,0.00809
hn,7,0.00700,102,0.00786
hm,7,0.00700,101,0.00778
kc,7,0.00700,101,0.00778
hu,7,0.00700,100,0.00771
tk,7,0.00700,98,0.00755
yr,7,0.00700,97,0.00748
ku,7,0.00700,94,0.00724
sd,7,0.00700,94,0.00724
ja,7,0.00700,91,0.00701
dp,6,0.00600,90,0.00694
mt,6,0.00600,89,0.00686
xy,6,0.00600,88,0.00678
hs,6,0.00600,87,0.00670
hc,6,0.00600,85,0.00655
ek,6,0.00600,84,0.00647
wc,6,0.00600,81,0.00624
xo,6,0.00600,81,0.00624
mr,6,0.00600,80,0.00617
wp,5,0.00500,76,0.00586
lm,5,0.00500,74,0.00570
ez,5,0.00500,73,0.00563
sr,5,0.00500,72,0.00555
oy,5,0.00500,70,0.00539
rh,5,0.00500,70,0.00539
bq,5,0.00500,67,0.00516
cm,5,0.00500,67,0.00516
kt,5,0.00500,66,0.00509
xd,5,0.00500,66,0.00509
yb,5,0.00500,66,0.00509
dw,5,0.00500,65,0.00501
mn,4,0.00400,62,0.00478
sg,4,0.00400,62,0.00478
yf,4,0.00400,61,0.00470
hl,4,0.00400,60,0.00462
az,4,0.00400,59,0.00455
gf,4,0.00400,58,0.00447
ii,4,0.00400,57,0.00439
pw,4,0.00400,57,0.00439
uo,4,0.00400,56,0.00432
qp,4,0.00400,55,0.00424
mf,4,0.00400,53,0.00408
gy,4,0.00400,52,0.00401
mw,4,0.00400,52,0.00401
nw,4,0.00400,52,0.00401
kb,3,0.00300,51,0.00393
sx,3,0.00300,50,0.00385
lk,3,0.00300,49,0.00378
zy,3,0.00300,49,0.00378
cd,3,0.00300,48,0.00370
pm,3,0.00300,48,0.00370
wl,3,0.00300,48,0.00370
aa,3,0.00300,47,0.00362
gm,3,0.00300,47,0.00362
ae,3,0.00300,46,0.00354
tg,3,0.00300,44,0.00339
oh,3,0.00300,40,0.00308
pg,3,0.00300,40,0.00308
pj,3,0.00300,40,0.00308
bm,3,0.00300,39,0.00301
iu,2,0.00200,38,0.00293
kf,2,0.00200,38,0.00293
cf,2,0.00200,37,0.00285
yd,2,0.00200,37,0.00285
kg,2,0.00200,36,0.00277
md,2,0.00200,34,0.00262
pb,2,0.00200,34,0.00262
wd,2,0.00200,32,0.00247
lq,2,0.00200,31,0.00239
nj,2,0.00200,31,0.00239
qr,2,0.00200,31,0.00239
bp,2,0.00200,30,0.00231
kl,2,0.00200,30,0.00231
bb,2,0.00200,29,0.00223
sv,2,0.00200,29,0.00223
gd,2,0.00200,28,0.00216
ji,2,0.00200,28,0.00216
yg,2,0.00200,27,0.00208
dx,2,0.00200,26,0.00200
kw,2,0.00200,26,0.00200
fc,1,0.00100,25,0.00193
xf,1,0.00100,24,0.00185
yz,1,0.00100,24,0.00185
mv,1,0.00100,23,0.00177
uy,1,0.00100,23,0.00177
wf,1,0.00100,23,0.00177
dj,1,0.00100,21,0.00162
fx,1,0.00100,21,0.00162
rx,1,0.00100,21,0.00162
xh,1,0.00100,21,0.00162
gw,1,0.00100,20,0.00154
pk,1,0.00100,20,0.00154
kr,1,0.00100,19,0.00146
mx,1,0.00100,19,0.00146
pn,1,0.00100,19,0.00146
