pair,count,%,raw,raw%
th,2277,2.27700,47852,2.27602
re,2229,2.22900,46847,2.22822
es,2217,2.21700,46601,2.21652
in,2170,2.17000,45610,2.16938
er,2153,2.15300,45247,2.15212
on,2041,2.04100,42898,2.04039
at,1979,1.97900,41591,1.97822
he,1816,1.81600,38178,1.81589
ti,1776,1.77600,37322,1.77517
an,1661,1.66100,34910,1.66045
or,1551,1.55100,32590,1.55010
te,1435,1.43500,30160,1.43452
se,1330,1.33000,27956,1.32969
en,1302,1.30200,27369,1.30177
io,1176,1.17600,24716,1.17558
to,1142,1.14200,23998,1.14143
nt,1132,1.13200,23779,1.13102
st,1126,1.12600,23658,1.12526
ic,1024,1.02400,21514,1.02329
ng,987,0.98700,20733,0.98614
ta,974,0.97400,20471,0.97368
et,947,0.94700,19892,0.94614
it,934,0.93400,19622,0.93330
nd,930,0.93000,19547,0.92973
ce,924,0.92400,19406,0.92302
ur,906,0.90600,19033,0.90528
co,903,0.90300,18979,0.90271
ca,894,0.89400,18787,0.89358
al,889,0.88900,18684,0.88868
ea,887,0.88700,18642,0.88668
de,886,0.88600,18625,0.88587
ec,882,0.88200,18533,0.88150
le,858,0.85800,18025,0.85734
ed,843,0.84300,17705,0.84212
ou,804,0.80400,16887,0.80321
is,803,0.80300,16862,0.80202
ro,784,0.78400,16468,0.78328
li,769,0.76900,16167,0.76896
me,764,0.76400,16056,0.76368
ar,731,0.73100,15357,0.73044
ns,698,0.69800,14659,0.69724
ri,666,0.66600,13999,0.66584
ra,664,0.66400,13942,0.66313
ne,642,0.64200,13483,0.64130
as,629,0.62900,13210,0.62832
fo,629,0.62900,13208,0.62822
si,625,0.62500,13126,0.62432
ve,609,0.60900,12795,0.60858
pl,601,0.60100,12627,0.60059
ac,588,0.58800,12347,0.58727
us,582,0.58200,12223,0.58137
ma,574,0.57400,12053,0.57329
ch,552,0.55200,11595,0.55150
ha,549,0.54900,11538,0.54879
lo,533,0.53300,11203,0.53286
ct,520,0.52000,10920,0.51940
pr,511,0.51100,10725,0.51012
vi,507,0.50700,10644,0.50627
ss,497,0.49700,10437,0.49642
ge,487,0.48700,10226,0.48639
of,484,0.48400,10158,0.48315
el,466,0.46600,9788,0.46555
pe,465,0.46500,9766,0.46451
tr,449,0.44900,9434,0.44872
da,446,0.44600,9360,0.44520
nc,437,0.43700,9167,0.43602
il,432,0.43200,9065,0.43117
om,430,0.43000,9020,0.42902
ap,425,0.42500,8917,0.42413
hi,413,0.41300,8675,0.41262
ll,411,0.41100,8637,0.41081
na,400,0.40000,8400,0.39954
ts,389,0.38900,8168,0.38850
la,386,0.38600,8103,0.38541
be,378,0.37800,7946,0.37794
ut,378,0.37800,7930,0.37718
em,377,0.37700,7918,0.37661
so,376,0.37600,7895,0.37552
di,354,0.35400,7438,0.35378
pp,352,0.35200,7391,0.35154
ag,348,0.34800,7308,0.34760
ad,332,0.33200,6970,0.33152
mp,331,0.33100,6942,0.33019
rv,330,0.33000,6925,0.32938
os,330,0.33000,6924,0.32933
po,326,0.32600,6848,0.32572
ly,322,0.32200,6764,0.32172
ie,320,0.32000,6708,0.31906
mi,319,0.31900,6700,0.31868
im,318,0.31800,6680,0.31773
ol,315,0.31500,6619,0.31482
pa,311,0.31100,6518,0.31002
ee,310,0.31000,6501,0.30921
su,309,0.30900,6487,0.30855
