pair,count,%,raw,raw%
th,2799,2.79900,56017,2.79834
in,2652,2.65200,53075,2.65137
er,2106,2.10600,42137,2.10496
he,1994,1.99400,39909,1.99366
re,1858,1.85800,37187,1.85768
on,1762,1.76200,35266,1.76172
es,1705,1.70500,34111,1.70402
te,1617,1.61700,32366,1.61685
at,1605,1.60500,32120,1.60456
le,1443,1.44300,28872,1.44230
an,1359,1.35900,27193,1.35843
st,1322,1.32200,26463,1.32196
et,1291,1.29100,25826,1.29014
or,1253,1.25300,25063,1.25203
nt,1238,1.23800,24765,1.23714
en,1223,1.22300,24475,1.22265
me,1214,1.21400,24298,1.21381
ti,1168,1.16800,23371,1.16750
co,1078,1.07800,21568,1.07743
ar,1051,1.05100,21037,1.05091
ng,989,0.98900,19781,0.98816
se,985,0.98500,19709,0.98457
ec,970,0.97000,19401,0.96918
de,957,0.95700,19148,0.95654
al,942,0.94200,18840,0.94115
it,939,0.93900,18784,0.93836
to,934,0.93400,18683,0.93331
io,917,0.91700,18347,0.91653
ri,911,0.91100,18230,0.91068
as,862,0.86200,17242,0.86133
li,833,0.83300,16671,0.83280
pe,820,0.82000,16414,0.81996
is,808,0.80800,16173,0.80792
ta,807,0.80700,16137,0.80613
ea,803,0.80300,16068,0.80268
ou,785,0.78500,15710,0.78479
ed,773,0.77300,15464,0.77251
ne,755,0.75500,15101,0.75437
ra,744,0.74400,14873,0.74298
ns,697,0.69700,13947,0.69672
la,696,0.69600,13919,0.69533
nd,690,0.69000,13804,0.68958
am,680,0.68000,13592,0.67899
ce,676,0.67600,13515,0.67514
ss,674,0.67400,13473,0.67305
ic,666,0.66600,13320,0.66540
ro,616,0.61600,12319,0.61540
ex,614,0.61400,12279,0.61340
ca,613,0.61300,12268,0.61285
fo,610,0.61000,12206,0.60975
tr,601,0.60100,12020,0.60046
ll,586,0.58600,11726,0.58577
pr,578,0.57800,11568,0.57788
si,575,0.57500,11494,0.57418
el,568,0.56800,11369,0.56794
ha,548,0.54800,10958,0.54741
ct,547,0.54700,10942,0.54661
em,541,0.54100,10822,0.54061
od,535,0.53500,10697,0.53437
ef,529,0.52900,10571,0.52808
bl,525,0.52500,10507,0.52488
us,510,0.51000,10202,0.50964
mp,505,0.50500,10104,0.50475
of,492,0.49200,9844,0.49176
ty,491,0.49100,9821,0.49061
ve,476,0.47600,9525,0.47582
fi,475,0.47500,9493,0.47422
pl,469,0.46900,9380,0.46858
ho,469,0.46900,9371,0.46813
cl,454,0.45400,9084,0.45379
na,453,0.45300,9061,0.45264
ol,451,0.45100,9016,0.45040
so,441,0.44100,8827,0.44095
va,425,0.42500,8502,0.42472
om,424,0.42400,8477,0.42347
ge,412,0.41200,8233,0.41128
di,411,0.41100,8211,0.41018
ma,410,0.41000,8202,0.40973
ac,407,0.40700,8141,0.40668
ut,401,0.40100,8026,0.40094
rs,400,0.40000,7991,0.39919
lo,400,0.40000,7988,0.39904
nc,399,0.39900,7980,0.39864
be,396,0.39600,7913,0.39529
ur,396,0.39600,7910,0.39514
il,389,0.38900,7772,0.38825
ow,381,0.38100,7610,0.38016
ch,365,0.36500,7292,0.36427
ue,363,0.36300,7264,0.36287
ee,362,0.36200,7244,0.36187
op,361,0.36100,7217,0.36053
yp,360,0.36000,7194,0.35938
wi,355,0.35500,7104,0.35488
ts,345,0.34500,6886,0.34399
ul,334,0.33400,6679,0.33365
pa,321,0.32100,6422,0.32081
yo,319,0.31900,6371,0.31826
ei,312,0.31200,6237,0.31157
tu,307,0.30700,6138,0.30662
if,307,0.30700,6134,0.30642
ab,299,0.29900,5974,0.29843
ie,295,0.29500,5887,0.29409
nu,286,0.28600,5720,0.28574
no,284,0.28400,5681,0.28380
id,281,0.28100,5618,0.28065
hi,279,0.27900,5567,0.27810
um,265,0.26500,5298,0.26466
ad,262,0.26200,5233,0.26142
pu,261,0.26100,5224,0.26097
rt,260,0.26000,5189,0.25922
ot,257,0.25700,5135,0.25652
ly,248,0.24800,4946,0.24708
ry,247,0.24700,4936,0.24658
ub,245,0.24500,4897,0.24463
su,243,0.24300,4864,0.24298
im,241,0.24100,4808,0.24018
mo,237,0.23700,4735,0.23654
qu,237,0.23700,4725,0.23604
ia,232,0.23200,4643,0.23194
lu,230,0.23000,4604,0.22999
