pair,count,%,raw,raw%
th,2616,2.61600,197801,2.61520
es,2239,2.23900,169321,2.23865
in,2215,2.21500,167508,2.21468
er,2109,2.10900,159437,2.10797
he,2083,2.08300,157502,2.08239
on,2072,2.07200,156680,2.07152
re,1911,1.91100,144464,1.91001
ti,1885,1.88500,142563,1.88488
at,1798,1.79800,135922,1.79707
te,1721,1.72100,130148,1.72073
et,1716,1.71600,129717,1.71503
or,1379,1.37900,104274,1.37864
nt,1370,1.37000,103569,1.36932
io,1320,1.32000,99836,1.31997
en,1289,1.28900,97464,1.28861
ec,1213,1.21300,91729,1.21278
se,1209,1.20900,91414,1.20862
de,1116,1.11600,84395,1.11582
st,1089,1.08900,82357,1.08887
an,1055,1.05500,79775,1.05473
ed,1023,1.02300,77318,1.02225
ct,968,0.96800,73211,0.96795
co,944,0.94400,71351,0.94336
le,906,0.90600,68459,0.90512
to,880,0.88000,66490,0.87909
ro,861,0.86100,65075,0.86038
me,832,0.83200,62915,0.83182
it,805,0.80500,60844,0.80444
ri,804,0.80400,60756,0.80328
ce,800,0.80000,60483,0.79967
ge,800,0.80000,60452,0.79926
tr,798,0.79800,60281,0.79700
al,776,0.77600,58671,0.77571
ta,773,0.77300,58408,0.77223
pe,767,0.76700,57967,0.76640
fo,759,0.75900,57339,0.75810
is,753,0.75300,56915,0.75249
fi,718,0.71800,54281,0.71767
nd,717,0.71700,54183,0.71637
ic,703,0.70300,53101,0.70207
ca,664,0.66400,50161,0.66320
ea,654,0.65400,49424,0.65345
ie,651,0.65100,49233,0.65093
ra,650,0.65000,49116,0.64938
ng,620,0.62000,46876,0.61976
ve,617,0.61700,46657,0.61687
ns,605,0.60500,45724,0.60453
ac,593,0.59300,44789,0.59217
ne,582,0.58200,44005,0.58181
pr,578,0.57800,43670,0.57738
ts,563,0.56300,42564,0.56275
li,563,0.56300,42512,0.56207
ur,556,0.55600,42006,0.55538
ma,546,0.54600,41271,0.54566
of,544,0.54400,41103,0.54344
ar,525,0.52500,39656,0.52431
ha,522,0.52200,39431,0.52133
di,493,0.49300,37278,0.49287
nc,480,0.48000,36261,0.47942
if,478,0.47800,36119,0.47754
us,465,0.46500,35116,0.46428
ss,453,0.45300,34233,0.45261
ou,448,0.44800,33883,0.44798
