pair,count,%,raw,raw%
er,2399,2.39900,72270,2.39804
re,2296,2.29600,69178,2.29544
th,2196,2.19600,66152,2.19504
in,2116,2.11600,63752,2.11540
at,2051,2.05100,61795,2.05046
es,1944,1.94400,58575,1.94362
se,1910,1.91000,57547,1.90951
he,1823,1.82300,54908,1.82194
on,1802,1.80200,54284,1.80124
an,1669,1.66900,50281,1.66841
ti,1605,1.60500,48360,1.60467
or,1520,1.52000,45791,1.51942
ta,1485,1.48500,44729,1.48418
te,1464,1.46400,44114,1.46378
st,1195,1.19500,36004,1.19467
en,1183,1.18300,35625,1.18210
to,1151,1.15100,34680,1.15074
ur,1066,1.06600,32112,1.06553
et,1045,1.04500,31479,1.04453
as,1044,1.04400,31449,1.04353
io,1015,1.01500,30572,1.01443
ou,1005,1.00500,30263,1.00418
ed,979,0.97900,29475,0.97803
nt,925,0.92500,27866,0.92464
le,888,0.88800,26755,0.88778
al,878,0.87800,26441,0.87736
da,872,0.87200,26277,0.87192
ec,858,0.85800,25845,0.85758
co,841,0.84100,25326,0.84036
ce,829,0.82900,24966,0.82841
ab,824,0.82400,24817,0.82347
ng,811,0.81100,24434,0.81076
ea,808,0.80800,24340,0.80764
ve,801,0.80100,24122,0.80041
nd,798,0.79800,24023,0.79712
it,762,0.76200,22950,0.76152
is,750,0.75000,22573,0.74901
ic,727,0.72700,21897,0.72658
ne,726,0.72600,21857,0.72525
ma,726,0.72600,21849,0.72499
na,711,0.71100,21398,0.71002
ba,691,0.69100,20813,0.69061
ro,682,0.68200,20526,0.68109
ar,677,0.67700,20386,0.67644
me,670,0.67000,20184,0.66974
ns,669,0.66900,20137,0.66818
ge,649,0.64900,19540,0.64837
de,625,0.62500,18827,0.62471
fo,613,0.61300,18449,0.61217
li,609,0.60900,18350,0.60888
ca,584,0.58400,17592,0.58373
ri,571,0.57100,17188,0.57033
ra,569,0.56900,17123,0.56817
ct,557,0.55700,16768,0.55639
lo,555,0.55500,16702,0.55420
us,553,0.55300,16663,0.55291
sq,526,0.52600,15833,0.52537
ql,525,0.52500,15820,0.52493
el,519,0.51900,15613,0.51807
ac,517,0.51700,15575,0.51681
si,514,0.51400,15478,0.51359
nc,485,0.48500,14600,0.48445
ll,469,0.46900,14121,0.46856
ha,455,0.45500,13691,0.45429
az,446,0.44600,13417,0.44520
ag,431,0.43100,12976,0.43057
rt,429,0.42900,12917,0.42861
il,427,0.42700,12843,0.42615
po,425,0.42500,12807,0.42496
rv,424,0.42400,12767,0.42363
yo,413,0.41300,12426,0.41232
ss,400,0.40000,12053,0.39994
om,400,0.40000,12042,0.39957
zu,395,0.39500,11880,0.39420
pr,394,0.39400,11862,0.39360
ut,393,0.39300,11822,0.39227
pl,389,0.38900,11713,0.38866
ad,387,0.38700,11638,0.38617
pe,384,0.38400,11556,0.38345
vi,379,0.37900,11393,0.37804
cr,375,0.37500,11272,0.37402
am,363,0.36300,10933,0.36278
of,362,0.36200,10908,0.36195
ch,352,0.35200,10584,0.35120
wi,350,0.35000,10526,0.34927
ol,349,0.34900,10511,0.34877
ow,348,0.34800,10472,0.34748
di,343,0.34300,10321,0.34247
la,340,0.34000,10227,0.33935
up,337,0.33700,10143,0.33656
fi,335,0.33500,10087,0.33470
mi,335,0.33500,10083,0.33457
ee,323,0.32300,9719,0.32249
so,323,0.32300,9707,0.32209
em,318,0.31800,9559,0.31718
hi,317,0.31700,9525,0.31606
ts,309,0.30900,9290,0.30826
tr,306,0.30600,9205,0.30544
ef,294,0.29400,8854,0.29379
ry,294,0.29400,8852,0.29372
ex,286,0.28600,8589,0.28500
be,282,0.28200,8498,0.28198
ei,282,0.28200,8472,0.28112
ig,276,0.27600,8308,0.27567
ul,275,0.27500,8276,0.27461
pa,272,0.27200,8197,0.27199
ie,272,0.27200,8187,0.27166
bl,268,0.26800,8074,0.26791
ai,267,0.26700,8031,0.26648
mo,265,0.26500,7985,0.26496
rs,264,0.26400,7945,0.26363
im,261,0.26100,7853,0.26058
su,259,0.25900,7793,0.25859
gr,256,0.25600,7706,0.25570
mp,255,0.25500,7670,0.25450
ty,254,0.25400,7652,0.25391
ot,237,0.23700,7125,0.23642
un,237,0.23700,7125,0.23642
ap,237,0.23700,7123,0.23635
ir,236,0.23600,7111,0.23596
tu,233,0.23300,7012,0.23267
ov,230,0.23000,6915,0.22945
sh,227,0.22700,6831,0.22666
ep,224,0.22400,6743,0.22374
ly,223,0.22300,6710,0.22265
no,223,0.22300,6705,0.22248
op,223,0.22300,6702,0.22238
sc,222,0.22200,6678,0.22159
id,221,0.22100,6631,0.22003
rc,220,0.22000,6608,0.21926
pp,220,0.22000,6602,0.21907
if,218,0.21800,6568,0.21794
ho,211,0.21100,6330,0.21004
ue,209,0.20900,6283,0.20848
cl,205,0.20500,6168,0.20466
va,204,0.20400,6120,0.20307
ev,192,0.19200,5779,0.19176
pt,191,0.19100,5752,0.19086
ni,189,0.18900,5689,0.18877
ip,189,0.18900,5667,0.18804
qu,188,0.18800,5661,0.18784
rm,186,0.18600,5586,0.18535
nn,184,0.18400,5531,0.18353
ck,183,0.18300,5514,0.18296
os,176,0.17600,5289,0.17550
sa,174,0.17400,5241,0.17391
au,172,0.17200,5174,0.17168
cu,172,0.17200,5158,0.17115
wo,170,0.17000,5122,0.16996
ew,170,0.17000,5093,0.16899
lu,167,0.16700,5027,0.16680
nf,162,0.16200,4874,0.16173
av,156,0.15600,4689,0.15559
ls,155,0.15500,4648,0.15423
od,154,0.15400,4636,0.15383
rd,154,0.15400,4616,0.15317
gi,153,0.15300,4596,0.15250
do,151,0.15100,4547,0.15088
lt,150,0.15000,4497,0.14922
ke,149,0.14900,4478,0.14859
ia,145,0.14500,4352,0.14441
iv,140,0.14000,4210,0.13970
og,140,0.14000,4210,0.13970
fa,134,0.13400,4017,0.13329
we,134,0.13400,4015,0.13322
oo,134,0.13400,4012,0.13313
oc,133,0.13300,3983,0.13216
rk,131,0.13100,3945,0.13090
wh,130,0.13000,3901,0.12944
eg,129,0.12900,3859,0.12805
ru,128,0.12800,3833,0.12719
fr,127,0.12700,3820,0.12675
ua,126,0.12600,3797,0.12599
pu,126,0.12600,3791,0.12579
ps,125,0.12500,3766,0.12496
ub,123,0.12300,3697,0.12267
ob,123,0.12300,3694,0.12257
rn,120,0.12000,3608,0.11972
gu,119,0.11900,3566,0.11833
sp,119,0.11900,3561,0.11816
dd,118,0.11800,3539,0.11743
wa,115,0.11500,3457,0.11471
ci,113,0.11300,3385,0.11232
um,112,0.11200,3367,0.11172
fe,111,0.11100,3344,0.11096
cc,110,0.11000,3306,0.10970
ey,110,0.11000,3285,0.10900
du,108,0.10800,3238,0.10744
nu,108,0.10800,3233,0.10728
iz,101,0.10100,3023,0.10031
tt,100,0.10000,3003,0.09964
yp,100,0.10000,2991,0.09925
sy,99,0.09900,2980,0.09888
tw,99,0.09900,2978,0.09882
ui,99,0.09900,2966,0.09842
ys,96,0.09600,2877,0.09546
bi,94,0.09400,2822,0.09364
by,94,0.09400,2814,0.09337
ud,93,0.09300,2795,0.09274
gh,91,0.09100,2722,0.09032
ld,90,0.09000,2695,0.08942
bu,89,0.08900,2654,0.08806
xt,88,0.08800,2639,0.08757
vm,88,0.08800,2637,0.08750
mm,83,0.08300,2495,0.08279
rg,82,0.08200,2443,0.08106
ms,81,0.08100,2425,0.08047
rr,81,0.08100,2424,0.08043
bo,80,0.08000,2394,0.07944
mu,80,0.08000,2394,0.07944
ay,80,0.08000,2389,0.07927
oa,79,0.07900,2353,0.07808
ds,78,0.07800,2346,0.07784
ff,78,0.07800,2334,0.07745
eq,77,0.07700,2298,0.07625
nl,75,0.07500,2246,0.07453
ze,75,0.07500,2236,0.07419
ws,73,0.07300,2181,0.07237
bs,72,0.07200,2151,0.07137
ku,68,0.06800,2033,0.06746
ft,68,0.06800,2022,0.06709
xe,66,0.06600,1973,0.06547
uc,66,0.06600,1965,0.06520
ib,65,0.06500,1938,0.06431
dr,65,0.06500,1935,0.06421
jo,64,0.06400,1903,0.06314
rf,63,0.06300,1886,0.06258
db,62,0.06200,1840,0.06105
dm,59,0.05900,1751,0.05810
yn,58,0.05800,1735,0.05757
oi,56,0.05600,1679,0.05571
ye,53,0.05300,1595,0.05292
ks,53,0.05300,1594,0.05289
cs,53,0.05300,1569,0.05206
mb,50,0.05000,1500,0.04977
ht,50,0.05000,1496,0.04964
pi,49,0.04900,1462,0.04851
