pair,count,%,raw,raw%
th,3759,3.75900,7831115,3.75875
he,2721,2.72100,5667763,2.72039
in,2317,2.31700,4826571,2.31664
on,2104,2.10400,4381818,2.10317
re,2088,2.08800,4349416,2.08762
an,1888,1.88800,3932090,1.88731
at,1658,1.65800,3452652,1.65719
er,1636,1.63600,3407722,1.63563
en,1608,1.60800,3348113,1.60702
ti,1535,1.53500,3197081,1.53452
is,1434,1.43400,2986812,1.43360
es,1396,1.39600,2906803,1.39520
nt,1277,1.27700,2660441,1.27695
or,1266,1.26600,2636272,1.26535
it,1222,1.22200,2544526,1.22131
nd,1197,1.19700,2492625,1.19640
io,1152,1.15200,2398433,1.15119
to,1125,1.12500,2342046,1.12413
te,1109,1.10900,2310065,1.10878
al,1097,1.09700,2284450,1.09648
ha,1091,1.09100,2272259,1.09063
co,1075,1.07500,2238122,1.07425
ar,1045,1.04500,2175247,1.04407
of,992,0.99200,2066697,0.99197
me,989,0.98900,2060008,0.98876
st,980,0.98000,2040905,0.97959
ou,945,0.94500,1968422,0.94480
ve,921,0.92100,1918503,0.92084
ro,917,0.91700,1908530,0.91605
ng,861,0.86100,1792274,0.86025
ed,851,0.85100,1772508,0.85076
se,820,0.82000,1706683,0.81917
ur,778,0.77800,1620306,0.77771
ea,765,0.76500,1593640,0.76491
de,750,0.75000,1560802,0.74915
le,735,0.73500,1529446,0.73410
si,725,0.72500,1508806,0.72419
as,712,0.71200,1482238,0.71144
ic,706,0.70600,1469656,0.70540
hi,694,0.69400,1445300,0.69371
be,675,0.67500,1405819,0.67476
pr,673,0.67300,1401675,0.67277
li,670,0.67000,1395234,0.66968
om,650,0.65000,1352924,0.64937
ri,634,0.63400,1319829,0.63349
pe,612,0.61200,1273576,0.61129
ta,608,0.60800,1266634,0.60795
ra,604,0.60400,1257102,0.60338
ce,581,0.58100,1209606,0.58058
ec,580,0.58000,1207173,0.57941
po,580,0.58000,1206591,0.57914
ns,576,0.57600,1199656,0.57581
ne,569,0.56900,1184795,0.56867
ll,559,0.55900,1163687,0.55854
fo,533,0.53300,1108757,0.53218
op,531,0.53100,1105173,0.53046
un,498,0.49800,1036259,0.49738
we,490,0.49000,1019067,0.48913
ss,488,0.48800,1015350,0.48734
rt,471,0.47100,979588,0.47018
em,469,0.46900,975758,0.46834
us,468,0.46800,974065,0.46753
nc,466,0.46600,970074,0.46561
ct,465,0.46500,967578,0.46441
no,460,0.46000,958157,0.45989
el,447,0.44700,930126,0.44644
ch,440,0.44000,916575,0.43993
il,436,0.43600,907677,0.43566
ma,435,0.43500,905988,0.43485
ot,433,0.43300,901664,0.43278
ul,424,0.42400,882711,0.42368
tr,421,0.42100,876410,0.42066
ca,416,0.41600,866664,0.41598
ee,416,0.41600,865349,0.41535
la,416,0.41600,865014,0.41519
ly,415,0.41500,864286,0.41484
mi,411,0.41100,855418,0.41058
wi,402,0.40200,835876,0.40120
ho,399,0.39900,831257,0.39898
di,395,0.39500,822584,0.39482
ni,388,0.38800,808032,0.38784
ut,385,0.38500,800474,0.38421
ac,381,0.38100,792925,0.38059
wh,378,0.37800,787465,0.37796
ci,374,0.37400,778235,0.37353
so,373,0.37300,775116,0.37204
ts,371,0.37100,771582,0.37034
ie,365,0.36500,759173,0.36439
na,358,0.35800,743776,0.35699
ia,357,0.35700,741832,0.35606
et,355,0.35500,737592,0.35403
su,344,0.34400,716000,0.34366
rs,334,0.33400,695757,0.33395
am,322,0.32200,669635,0.32141
ge,320,0.32000,665041,0.31920
pa,318,0.31800,660940,0.31724
ol,308,0.30800,639665,0.30702
id,307,0.30700,637776,0.30612
im,303,0.30300,630272,0.30252
eu,303,0.30300,630109,0.30244
mo,285,0.28500,592208,0.28425
fi,282,0.28200,585606,0.28108
os,281,0.28100,584457,0.28053
mm,280,0.28000,582028,0.27936
ad,278,0.27800,578967,0.27789
iv,277,0.27700,575982,0.27646
ai,276,0.27600,574213,0.27561
ev,275,0.27500,572208,0.27465
pl,274,0.27400,569789,0.27349
mp,271,0.27100,563119,0.27028
ld,265,0.26500,550161,0.26406
ir,264,0.26400,548122,0.26309
lo,263,0.26300,546417,0.26227
ke,251,0.25100,522772,0.25092
ow,251,0.25100,521380,0.25025
vi,249,0.24900,518093,0.24867
av,249,0.24900,517808,0.24854
wo,242,0.24200,503449,0.24164
gr,242,0.24200,502698,0.24128
bl,237,0.23700,493519,0.23688
sh,237,0.23700,492688,0.23648
ty,233,0.23300,484716,0.23265
sa,232,0.23200,482289,0.23149
tu,229,0.22900,476881,0.22889
ab,219,0.21900,455903,0.21882
ag,215,0.21500,446055,0.21410
ry,214,0.21400,445358,0.21376
ig,210,0.21000,436195,0.20936
eg,205,0.20500,426010,0.20447
wa,204,0.20400,423003,0.20303
ex,192,0.19200,398494,0.19127
sp,192,0.19200,398187,0.19112
ep,189,0.18900,391922,0.18811
ef,187,0.18700,388595,0.18652
do,183,0.18300,379278,0.18204
pp,180,0.18000,374325,0.17967
ov,180,0.18000,373179,0.17912
gh,180,0.18000,373012,0.17904
rd,178,0.17800,368898,0.17706
cu,177,0.17700,368478,0.17686
uc,175,0.17500,363243,0.17435
fe,171,0.17100,355610,0.17068
ay,168,0.16800,348815,0.16742
oc,167,0.16700,346433,0.16628
bu,163,0.16300,339391,0.16290
ue,160,0.16000,332864,0.15977
ap,160,0.16000,332118,0.15941
fr,159,0.15900,330791,0.15877
if,159,0.15900,329885,0.15834
ls,159,0.15900,329340,0.15808
cr,156,0.15600,323361,0.15521
da,156,0.15600,323019,0.15504
mu,154,0.15400,320347,0.15376
ga,154,0.15400,319423,0.15332
ba,150,0.15000,310827,0.14919
gi,148,0.14800,307285,0.14749
od,148,0.14800,306269,0.14700
rm,147,0.14700,306118,0.14693
by,144,0.14400,299399,0.14370
ak,144,0.14400,298827,0.14343
rn,144,0.14400,298184,0.14312
mb,143,0.14300,297381,0.14274
rl,143,0.14300,296814,0.14246
du,141,0.14100,293579,0.14091
up,141,0.14100,292412,0.14035
ff,140,0.14000,290948,0.13965
cl,139,0.13900,288489,0.13847
oo,138,0.13800,286869,0.13769
ei,138,0.13800,286533,0.13753
tt,135,0.13500,281007,0.13488
fa,135,0.13500,279695,0.13425
bo,134,0.13400,279005,0.13392
fu,129,0.12900,266930,0.12812
qu,128,0.12800,265277,0.12733
um,126,0.12600,262479,0.12598
rk,125,0.12500,259937,0.12476
ua,124,0.12400,256929,0.12332
mr,120,0.12000,248734,0.11939
ru,119,0.11900,246595,0.11836
go,119,0.11900,246235,0.11819
lu,117,0.11700,242972,0.11662
lt,114,0.11400,237018,0.11376
ht,111,0.11100,229682,0.11024
ob,108,0.10800,223979,0.10750
yo,107,0.10700,222112,0.10661
ds,104,0.10400,214735,0.10307
rg,103,0.10300,214499,0.10295
ew,103,0.10300,214194,0.10281
au,103,0.10300,214115,0.10277
ib,102,0.10200,211924,0.10172
rr,98,0.09800,202641,0.09726
cy,95,0.09500,196859,0.09449
vo,91,0.09100,189428,0.09092
cc,90,0.09000,186024,0.08929
oi,89,0.08900,184422,0.08852
tl,88,0.08800,182181,0.08744
bi,88,0.08800,181676,0.08720
gu,87,0.08700,180754,0.08676
ey,87,0.08700,180277,0.08653
va,87,0.08700,179520,0.08617
og,87,0.08700,179244,0.08603
ki,85,0.08500,176014,0.08448
ms,83,0.08300,170854,0.08201
pt,82,0.08200,170023,0.08161
ud,82,0.08200,168952,0.08109
ug,81,0.08100,167436,0.08037
af,80,0.08000,165509,0.07944
pu,80,0.08000,164713,0.07906
sc,77,0.07700,159938,0.07677
ub,76,0.07600,156526,0.07513
rc,74,0.07400,154137,0.07398
nf,73,0.07300,152017,0.07296
ye,73,0.07300,150193,0.07209
nv,72,0.07200,148392,0.07122
ui,72,0.07200,148350,0.07120
ny,72,0.07200,148297,0.07118
pi,69,0.06900,142864,0.06857
nn,68,0.06800,140102,0.06725
nk,68,0.06800,139730,0.06707
nl,66,0.06600,137457,0.06598
nu,66,0.06600,136947,0.06573
ck,64,0.06400,132134,0.06342
ik,63,0.06300,130031,0.06241
eo,62,0.06200,127328,0.06111
tw,61,0.06100,126665,0.06080
ys,59,0.05900,121713,0.05842
xt,58,0.05800,120442,0.05781
my,58,0.05800,119235,0.05723
ip,58,0.05800,118878,0.05706
