pair,count,%,raw,raw%
th,3159,3.15900,38514401,3.15835
he,2596,2.59600,31647915,2.59527
on,2539,2.53900,30950485,2.53808
in,2427,2.42700,29587065,2.42627
ti,2175,2.17500,26514202,2.17428
re,1941,1.94100,23666269,1.94074
an,1928,1.92800,23500157,1.92712
at,1882,1.88200,22938501,1.88106
en,1737,1.73700,21172477,1.73624
er,1723,1.72300,20998130,1.72194
io,1603,1.60300,19539745,1.60235
es,1499,1.49900,18269640,1.49819
te,1415,1.41500,17253117,1.41483
nt,1413,1.41300,17225427,1.41256
nd,1372,1.37200,16728156,1.37178
or,1358,1.35800,16557471,1.35779
of,1301,1.30100,15855840,1.30025
it,1286,1.28600,15671102,1.28510
al,1242,1.24200,15138970,1.24146
co,1183,1.18300,14418005,1.18234
ed,1126,1.12600,13722722,1.12532
me,983,0.98300,11980800,0.98248
ar,982,0.98200,11967648,0.98140
to,959,0.95900,11693315,0.95890
st,952,0.95200,11604390,0.95161
ng,869,0.86900,10584353,0.86796
is,867,0.86700,10566388,0.86649
ra,866,0.86600,10551789,0.86529
se,857,0.85700,10445558,0.85658
de,836,0.83600,10192248,0.83581
ve,802,0.80200,9777878,0.80183
ri,791,0.79100,9638488,0.79040
ic,770,0.77000,9378863,0.76911
ce,745,0.74500,9081391,0.74471
ro,744,0.74400,9071202,0.74388
ta,741,0.74100,9030903,0.74057
ns,739,0.73900,9003163,0.73830
na,726,0.72600,8851347,0.72585
ec,706,0.70600,8598444,0.70511
le,702,0.70200,8551075,0.70123
pr,701,0.70100,8540609,0.70037
as,668,0.66800,8135357,0.66714
ou,634,0.63400,7725749,0.63355
ha,629,0.62900,7666995,0.62873
si,604,0.60400,7355017,0.60314
om,599,0.59900,7297123,0.59840
li,590,0.59000,7185636,0.58925
un,587,0.58700,7153866,0.58665
nc,572,0.57200,6963078,0.57100
fo,550,0.55000,6700557,0.54948
ni,545,0.54500,6638924,0.54442
rt,539,0.53900,6569719,0.53875
ne,534,0.53400,6502832,0.53326
ct,517,0.51700,6294204,0.51615
ur,502,0.50200,6114387,0.50141
ss,491,0.49100,5976623,0.49011
ea,489,0.48900,5954693,0.48831
el,484,0.48400,5890629,0.48306
ma,481,0.48100,5865056,0.48096
pe,481,0.48100,5858594,0.48043
em,480,0.48000,5841651,0.47904
ts,473,0.47300,5757900,0.47217
mi,467,0.46700,5688615,0.46649
di,464,0.46400,5656143,0.46383
tr,457,0.45700,5569652,0.45674
ci,454,0.45400,5534270,0.45383
la,450,0.45000,5483679,0.44969
po,448,0.44800,5454604,0.44730
ac,446,0.44600,5434487,0.44565
il,437,0.43700,5323671,0.43656
be,436,0.43600,5315679,0.43591
ie,422,0.42200,5144963,0.42191
ca,410,0.41000,4997098,0.40978
ia,408,0.40800,4963648,0.40704
ch,400,0.40000,4877378,0.39997
ll,392,0.39200,4774085,0.39150
hi,390,0.39000,4743550,0.38899
ge,380,0.38000,4633341,0.37995
vi,380,0.38000,4632613,0.37989
pa,377,0.37700,4594679,0.37678
su,376,0.37600,4573479,0.37505
ee,365,0.36500,4442037,0.36427
so,348,0.34800,4243294,0.34797
ol,342,0.34200,4159431,0.34109
op,340,0.34000,4138138,0.33935
iv,333,0.33300,4050012,0.33212
ad,332,0.33200,4043685,0.33160
et,331,0.33100,4030082,0.33048
ul,326,0.32600,3968435,0.32543
rs,314,0.31400,3819311,0.31320
ut,312,0.31200,3792464,0.31100
no,302,0.30200,3681696,0.30192
im,300,0.30000,3654155,0.29966
lo,299,0.29900,3643250,0.29876
ev,297,0.29700,3613555,0.29633
mm,291,0.29100,3543269,0.29056
ot,290,0.29000,3529594,0.28944
us,287,0.28700,3495533,0.28665
wi,286,0.28600,3482054,0.28554
ai,285,0.28500,3474233,0.28490
ty,284,0.28400,3457982,0.28357
fi,277,0.27700,3366838,0.27610
ly,274,0.27400,3330457,0.27311
ov,267,0.26700,3245227,0.26612
pl,265,0.26500,3228456,0.26475
ho,259,0.25900,3156218,0.25882
ir,258,0.25800,3143285,0.25776
id,257,0.25700,3129595,0.25664
ig,253,0.25300,3083638,0.25287
gr,252,0.25200,3066815,0.25149
ep,251,0.25100,3052612,0.25033
bl,246,0.24600,2998798,0.24591
ld,237,0.23700,2883816,0.23649
mp,237,0.23700,2879046,0.23609
rn,233,0.23300,2840070,0.23290
am,230,0.23000,2801939,0.22977
ag,225,0.22500,2731791,0.22402
eg,224,0.22400,2723136,0.22331
cu,222,0.22200,2706196,0.22192
oc,220,0.22000,2678472,0.21965
os,213,0.21300,2597109,0.21297
ga,213,0.21300,2594085,0.21273
ab,213,0.21300,2588309,0.21225
wo,212,0.21200,2573999,0.21108
ry,210,0.21000,2558907,0.20984
we,209,0.20900,2538991,0.20821
mo,207,0.20700,2519326,0.20660
ex,203,0.20300,2465549,0.20219
rm,199,0.19900,2417332,0.19823
ap,194,0.19400,2355648,0.19317
sh,193,0.19300,2348025,0.19255
sp,193,0.19300,2342912,0.19213
cr,192,0.19200,2335324,0.19151
tu,192,0.19200,2331142,0.19116
gh,191,0.19100,2322502,0.19046
cl,190,0.19000,2313605,0.18973
ff,188,0.18800,2285583,0.18743
da,186,0.18600,2261155,0.18542
um,182,0.18200,2210137,0.18124
fe,177,0.17700,2158245,0.17699
ef,175,0.17500,2123536,0.17414
rd,173,0.17300,2102218,0.17239
by,169,0.16900,2049044,0.16803
lu,168,0.16800,2040862,0.16736
