pair,count,%,raw,raw%
th,3148,3.14800,43094287,3.14749
he,2597,2.59700,35544302,2.59606
on,2542,2.54200,34791763,2.54110
in,2424,2.42400,33185292,2.42376
ti,2159,2.15900,29545636,2.15793
re,1941,1.94100,26570115,1.94061
an,1922,1.92200,26310097,1.92162
at,1872,1.87200,25620102,1.87122
en,1735,1.73500,23742869,1.73411
er,1715,1.71500,23477808,1.71475
io,1594,1.59400,21815823,1.59337
es,1496,1.49600,20474772,1.49542
te,1420,1.42000,19438316,1.41972
nt,1413,1.41300,19334297,1.41212
or,1376,1.37600,18834610,1.37563
nd,1360,1.36000,18618243,1.35983
of,1294,1.29400,17708652,1.29339
it,1264,1.26400,17302479,1.26373
al,1233,1.23300,16871472,1.23225
co,1177,1.17700,16113254,1.17687
ed,1130,1.13000,15465931,1.12959
me,985,0.98500,13477081,0.98433
ar,983,0.98300,13451727,0.98248
st,953,0.95300,13043256,0.95264
to,952,0.95200,13025326,0.95133
ng,878,0.87800,12013102,0.87740
ra,871,0.87100,11916699,0.87036
is,867,0.86700,11867894,0.86680
se,864,0.86400,11819188,0.86324
de,832,0.83200,11378880,0.83108
ve,795,0.79500,10879781,0.79463
ri,780,0.78000,10668945,0.77923
ic,770,0.77000,10539633,0.76979
ro,760,0.76000,10399217,0.75953
ta,747,0.74700,10225041,0.74681
ce,746,0.74600,10203934,0.74527
ns,740,0.74000,10123173,0.73937
ec,710,0.71000,9720134,0.70993
na,708,0.70800,9691126,0.70781
le,702,0.70200,9609135,0.70182
pr,701,0.70100,9586123,0.70014
as,662,0.66200,9060457,0.66175
ou,626,0.62600,8559438,0.62516
ha,621,0.62100,8492717,0.62028
si,618,0.61800,8449201,0.61711
om,593,0.59300,8112210,0.59249
un,580,0.58000,7932546,0.57937
li,578,0.57800,7911199,0.57781
fo,564,0.56400,7711472,0.56322
nc,561,0.56100,7676784,0.56069
ne,543,0.54300,7430430,0.54270
ni,539,0.53900,7366046,0.53800
rt,534,0.53400,7302988,0.53339
ct,513,0.51300,7021634,0.51284
ur,501,0.50100,6853620,0.50057
ss,500,0.50000,6839300,0.49952
ma,487,0.48700,6667235,0.48696
el,486,0.48600,6640535,0.48501
ea,485,0.48500,6639546,0.48493
pe,483,0.48300,6599124,0.48198
em,479,0.47900,6546679,0.47815
ts,467,0.46700,6387231,0.46651
tr,467,0.46700,6385197,0.46636
mi,462,0.46200,6323695,0.46187
di,460,0.46000,6296980,0.45991
la,452,0.45200,6185304,0.45176
ac,447,0.44700,6116039,0.44670
be,446,0.44600,6105908,0.44596
ci,445,0.44500,6089227,0.44474
po,445,0.44500,6085062,0.44444
il,432,0.43200,5905032,0.43129
ie,421,0.42100,5762725,0.42089
ca,415,0.41500,5673364,0.41437
ia,402,0.40200,5503550,0.40196
ch,402,0.40200,5502472,0.40189
ll,401,0.40100,5488941,0.40090
hi,392,0.39200,5354178,0.39105
pa,383,0.38300,5242645,0.38291
vi,379,0.37900,5184492,0.37866
ge,378,0.37800,5172016,0.37775
su,374,0.37400,5114664,0.37356
ee,367,0.36700,5015016,0.36628
et,342,0.34200,4677970,0.34167
op,341,0.34100,4656823,0.34012
so,337,0.33700,4606029,0.33641
ol,337,0.33700,4605542,0.33638
ad,334,0.33400,4561819,0.33318
iv,328,0.32800,4486112,0.32765
ul,327,0.32700,4466759,0.32624
rs,312,0.31200,4268803,0.31178
ut,307,0.30700,4190154,0.30604
lo,303,0.30300,4137349,0.30218
no,303,0.30300,4136086,0.30209
ev,294,0.29400,4020796,0.29367
im,292,0.29200,3997692,0.29198
us,292,0.29200,3988568,0.29131
wi,292,0.29200,3988333,0.29130
ot,290,0.29000,3960133,0.28924
ai,287,0.28700,3919489,0.28627
mm,286,0.28600,3915037,0.28594
fi,283,0.28300,3862490,0.28211
ty,283,0.28300,3862187,0.28208
ly,270,0.27000,3696266,0.26997
ir,267,0.26700,3643450,0.26611
ov,264,0.26400,3602532,0.26312
pl,263,0.26300,3599429,0.26289
ho,257,0.25700,3516913,0.25687
id,257,0.25700,3514441,0.25669
gr,256,0.25600,3496907,0.25540
ep,251,0.25100,3436164,0.25097
bl,247,0.24700,3368419,0.24602
ig,246,0.24600,3366376,0.24587
mp,237,0.23700,3234107,0.23621
am,234,0.23400,3190834,0.23305
ld,232,0.23200,3172303,0.23170
rn,227,0.22700,3094177,0.22599
ag,226,0.22600,3088505,0.22558
eg,225,0.22500,3079823,0.22494
cu,222,0.22200,3037218,0.22183
oc,221,0.22100,3022527,0.22076
os,215,0.21500,2936436,0.21447
ab,212,0.21200,2899590,0.21178
wo,211,0.21100,2883988,0.21064
ga,210,0.21000,2864902,0.20924
ry,209,0.20900,2860044,0.20889
ex,209,0.20900,2853095,0.20838
mo,207,0.20700,2828676,0.20660
rm,206,0.20600,2817301,0.20577
we,204,0.20400,2790908,0.20384
sh,201,0.20100,2738435,0.20001
ap,199,0.19900,2713950,0.19822
sp,196,0.19600,2680393,0.19577
