pair,count,%,raw,raw%
th,2930,2.93000,217255801,2.92988
he,2713,2.71300,201123697,2.71233
in,2542,2.54200,188450126,2.54141
an,2159,2.15900,160078062,2.15879
er,2125,2.12500,157524617,2.12435
on,1733,1.73300,128494201,1.73285
re,1583,1.58300,117324325,1.58222
or,1324,1.32400,98129794,1.32336
nd,1314,1.31400,97389412,1.31338
ed,1300,1.30000,96329745,1.29909
at,1297,1.29700,96171910,1.29696
te,1290,1.29000,95614118,1.28944
ar,1273,1.27300,94356424,1.27248
en,1272,1.27200,94256209,1.27113
al,1182,1.18200,87586168,1.18117
es,1177,1.17700,87236065,1.17645
st,1175,1.17500,87064223,1.17414
ti,1134,1.13400,84070919,1.13377
is,1089,1.08900,80703996,1.08836
as,1063,1.06300,78771433,1.06230
it,1015,1.01500,75236123,1.01462
of,970,0.97000,71903086,0.96967
ng,956,0.95600,70846164,0.95542
to,951,0.95100,70478105,0.95046
nt,915,0.91500,67829111,0.91473
ri,871,0.87100,64525166,0.87018
le,854,0.85400,63309402,0.85378
ra,814,0.81400,60332270,0.81363
ro,811,0.81100,60064233,0.81002
se,809,0.80900,59924822,0.80814
co,796,0.79600,58987091,0.79549
de,789,0.78900,58447635,0.78822
me,754,0.75400,55846784,0.75314
io,742,0.74200,54957641,0.74115
ic,725,0.72500,53706885,0.72428
ne,707,0.70700,52360851,0.70613
ve,701,0.70100,51961433,0.70074
ea,699,0.69900,51816995,0.69880
la,689,0.68900,51034100,0.68824
ha,677,0.67700,50145127,0.67625
hi,668,0.66800,49489590,0.66741
li,665,0.66500,49270112,0.66445
ch,665,0.66500,49255042,0.66425
ma,655,0.65500,48515276,0.65427
ou,650,0.65000,48186692,0.64984
ll,590,0.59000,43733087,0.58978
ca,588,0.58800,43536511,0.58713
ce,587,0.58700,43489106,0.58649
si,577,0.57700,42784236,0.57698
ta,565,0.56500,41888423,0.56490
el,561,0.56100,41542958,0.56024
om,537,0.53700,39788383,0.53658
wa,524,0.52400,38847338,0.52389
na,522,0.52200,38644754,0.52116
il,518,0.51800,38399367,0.51785
be,509,0.50900,37668811,0.50800
fo,505,0.50500,37442963,0.50495
di,496,0.49600,36755353,0.49568
ur,495,0.49500,36651988,0.49428
un,491,0.49100,36397878,0.49086
am,475,0.47500,35192399,0.47460
ho,460,0.46000,34075609,0.45954
ns,453,0.45300,33562145,0.45261
ni,447,0.44700,33123478,0.44670
tr,446,0.44600,33030630,0.44545
ec,443,0.44300,32824115,0.44266
ol,438,0.43800,32455014,0.43768
rs,436,0.43600,32315281,0.43580
us,430,0.43000,31854221,0.42958
ac,430,0.43000,31812412,0.42902
pe,420,0.42000,31099653,0.41941
rt,415,0.41500,30764619,0.41489
lo,414,0.41400,30659246,0.41347
so,412,0.41200,30533668,0.41177
ia,411,0.41100,30474574,0.41098
ge,409,0.40900,30264443,0.40814
ie,399,0.39900,29581916,0.39894
pr,399,0.39900,29559252,0.39863
ad,387,0.38700,28652687,0.38641
et,384,0.38400,28428248,0.38338
ct,379,0.37900,28055923,0.37836
sh,377,0.37700,27944997,0.37686
nc,375,0.37500,27750504,0.37424
pa,359,0.35900,26618669,0.35898
wi,359,0.35900,26610303,0.35886
mi,358,0.35800,26514366,0.35757
ir,357,0.35700,26436295,0.35652
no,350,0.35000,25890341,0.34915
ss,338,0.33800,25024937,0.33748
em,336,0.33600,24869488,0.33539
ai,333,0.33300,24685984,0.33291
ly,331,0.33100,24543186,0.33099
ot,328,0.32800,24286083,0.32752
po,327,0.32700,24195822,0.32630
vi,324,0.32400,24023434,0.32398
ut,318,0.31800,23512735,0.31709
mo,316,0.31600,23402901,0.31561
fi,314,0.31400,23254292,0.31360
ee,311,0.31100,23029067,0.31057
ts,303,0.30300,22414067,0.30227
we,296,0.29600,21910072,0.29548
iv,289,0.28900,21370691,0.28820
ci,288,0.28800,21323882,0.28757
ow,286,0.28600,21175586,0.28557
ba,273,0.27300,20207581,0.27252
os,268,0.26800,19829712,0.26742
id,265,0.26500,19604591,0.26438
ig,261,0.26100,19310727,0.26042
ry,256,0.25600,18943482,0.25547
im,246,0.24600,18229744,0.24584
ul,246,0.24600,18168402,0.24502
su,242,0.24200,17878992,0.24111
fr,241,0.24100,17838866,0.24057
op,239,0.23900,17703846,0.23875
wh,239,0.23900,17702387,0.23873
rd,239,0.23900,17685145,0.23850
pl,239,0.23900,17661658,0.23818
tu,238,0.23800,17601700,0.23737
ag,236,0.23600,17497212,0.23596
ay,236,0.23600,17436414,0.23515
ty,230,0.23000,17001818,0.22928
bo,227,0.22700,16799221,0.22655
ga,226,0.22600,16747048,0.22585
da,226,0.22600,16742114,0.22578
mp,221,0.22100,16365119,0.22070
rn,220,0.22000,16312277,0.21999
oo,220,0.22000,16302390,0.21985
fe,218,0.21800,16137979,0.21763
ev,216,0.21600,15969836,0.21537
ld,214,0.21400,15835015,0.21355
wo,214,0.21400,15804572,0.21314
ke,212,0.21200,15690710,0.21160
ov,210,0.21000,15533945,0.20949
by,209,0.20900,15481794,0.20879
sa,208,0.20800,15411555,0.20784
gh,202,0.20200,14915221,0.20114
oc,199,0.19900,14755885,0.19900
bu,199,0.19900,14689293,0.19810
gr,198,0.19800,14676462,0.19792
ap,194,0.19400,14346287,0.19347
sc,192,0.19200,14212239,0.19166
rm,181,0.18100,13355899,0.18012
bl,180,0.18000,13316866,0.17959
cl,178,0.17800,13196684,0.17797
sp,178,0.17800,13195935,0.17796
ab,176,0.17600,13035337,0.17579
du,174,0.17400,12900775,0.17398
ls,172,0.17200,12747057,0.17191
od,172,0.17200,12699499,0.17126
gi,170,0.17000,12604830,0.16999
do,169,0.16900,12518377,0.16882
ck,169,0.16900,12487854,0.16841
tt,168,0.16800,12438050,0.16774
br,168,0.16800,12431612,0.16765
ep,167,0.16700,12350992,0.16656
pi,164,0.16400,12141337,0.16374
ei,163,0.16300,12052866,0.16254
um,163,0.16300,12033922,0.16229
av,161,0.16100,11917257,0.16071
cr,159,0.15900,11775195,0.15880
uc,158,0.15800,11708147,0.15789
au,158,0.15800,11642067,0.15700
ru,154,0.15400,11380748,0.15348
lu,152,0.15200,11245096,0.15165
ue,151,0.15100,11185168,0.15084
va,150,0.15000,11117573,0.14993
fa,149,0.14900,11017641,0.14858
mb,148,0.14800,10914254,0.14719
eg,147,0.14700,10834556,0.14611
rc,145,0.14500,10684756,0.14409
ua,144,0.14400,10617689,0.14319
ex,144,0.14400,10609953,0.14308
rr,139,0.13900,10240400,0.13810
cu,138,0.13800,10222139,0.13785
nn,135,0.13500,9941697,0.13407
ew,134,0.13400,9870331,0.13311
go,128,0.12800,9441429,0.12733
ye,128,0.12800,9439483,0.12730
up,128,0.12800,9434490,0.12723
ey,128,0.12800,9434197,0.12723
gu,126,0.12600,9311538,0.12557
rk,126,0.12600,9285122,0.12522
bi,125,0.12500,9261424,0.12490
ki,125,0.12500,9231362,0.12449
if,123,0.12300,9083333,0.12250
rg,123,0.12300,9056682,0.12214
mu,123,0.12300,9055226,0.12212
ef,122,0.12200,9012162,0.12154
ug,121,0.12100,8932066,0.12046
ud,121,0.12100,8913527,0.12021
lt,121,0.12100,8912927,0.12020
rl,120,0.12000,8825353,0.11902
pu,118,0.11800,8726838,0.11769
ip,118,0.11800,8686872,0.11715
ds,116,0.11600,8534072,0.11509
ff,115,0.11500,8519714,0.11490
pp,115,0.11500,8512863,0.11480
mm,114,0.11400,8452966,0.11400
ak,112,0.11200,8292074,0.11183
ub,111,0.11100,8218681,0.11084
qu,110,0.11000,8136594,0.10973
ui,110,0.11000,8123143,0.10955
af,109,0.10900,8056275,0.10865
ph,104,0.10400,7708867,0.10396
dr,103,0.10300,7607820,0.10260
ft,102,0.10200,7553591,0.10187
og,101,0.10100,7440451,0.10034
ht,100,0.10000,7400356,0.09980
tl,100,0.10000,7390294,0.09966
nu,99,0.09900,7340808,0.09900
wn,98,0.09800,7247971,0.09775
jo,94,0.09400,6898082,0.09303
oa,92,0.09200,6784936,0.09150
tw,91,0.09100,6729819,0.09076
hr,91,0.09100,6684708,0.09015
hu,88,0.08800,6488812,0.08751
ny,87,0.08700,6425717,0.08666
pt,86,0.08600,6369724,0.08590
ob,85,0.08500,6250855,0.08430
oi,82,0.08200,6068282,0.08184
eo,82,0.08200,6021315,0.08120
ib,81,0.08100,5954433,0.08030
rv,81,0.08100,5939522,0.08010
ja,80,0.08000,5896908,0.07952
aw,79,0.07900,5823328,0.07853
ms,77,0.07700,5699366,0.07686
vo,77,0.07700,5643381,0.07611
gn,76,0.07600,5624194,0.07585
cc,75,0.07500,5522006,0.07447
ju,74,0.07400,5436341,0.07331
ka,73,0.07300,5382087,0.07258
ys,71,0.07100,5260062,0.07094
gl,71,0.07100,5242936,0.07071
ok,69,0.06900,5073737,0.06842
yo,66,0.06600,4873932,0.06573
fu,66,0.06600,4869013,0.06566
fl,66,0.06600,4861754,0.06556
sl,66,0.06600,4860870,0.06555
eb,61,0.06100,4491774,0.06058
iz,61,0.06100,4456907,0.06011
ks,60,0.06000,4417296,0.05957
ze,60,0.06000,4380438,0.05907
sm,56,0.05600,4101548,0.05531
ya,55,0.05500,4068454,0.05487
ps,55,0.05500,4063678,0.05480
nk,55,0.05500,4061981,0.05478
lm,54,0.05400,3944169,0.05319
gs,53,0.05300,3897628,0.05256
eu,52,0.05200,3855447,0.05199
je,50,0.05000,3705962,0.04998
sy,50,0.05000,3665072,0.04943
nf,50,0.05000,3645617,0.04916
sk,49,0.04900,3633269,0.04900
nl,47,0.04700,3468048,0.04677
ik,46,0.04600,3385436,0.04566
oy,45,0.04500,3294618,0.04443
dd,45,0.04500,3287763,0.04434
hn,43,0.04300,3150021,0.04248
nv,42,0.04200,3104373,0.04187
dy,42,0.04200,3082852,0.04157
rp,42,0.04200,3082576,0.04157
rb,41,0.04100,3030739,0.04087
tc,41,0.04100,3023583,0.04078
kn,41,0.04100,2997701,0.04043
lb,40,0.04000,2964208,0.03997
hy,40,0.04000,2948079,0.03976
oh,40,0.04000,2925008,0.03945
ah,40,0.04000,2914882,0.03931
ko,40,0.04000,2898482,0.03909
my,39,0.03900,2874912,0.03877
wr,39,0.03900,2874620,0.03877
ws,39,0.03900,2830800,0.03818
ae,37,0.03700,2726927,0.03677
za,37,0.03700,2725845,0.03676
xp,36,0.03600,2641490,0.03562
rf,36,0.03600,2632335,0.03550
cy,36,0.03600,2622540,0.03537
xt,36,0.03600,2611199,0.03521
bs,36,0.03600,2608085,0.03517
lf,35,0.03500,2586000,0.03487
xi,34,0.03400,2503198,0.03376
oe,34,0.03400,2501110,0.03373
az,34,0.03400,2459701,0.03317
yl,33,0.03300,2423738,0.03269
cs,33,0.03300,2408420,0.03248
lv,32,0.03200,2321153,0.03130
ek,31,0.03100,2273093,0.03065
nm,30,0.03000,2220836,0.02995
eq,30,0.03000,2216559,0.02989
dg,30,0.03000,2192367,0.02957
eh,30,0.03000,2181541,0.02942
dl,29,0.02900,2106798,0.02841
ix,28,0.02800,2069678,0.02791
sw,28,0.02800,2062900,0.02782
gy,28,0.02800,2040755,0.02752
ym,27,0.02700,1979486,0.02670
yi,27,0.02700,1954707,0.02636
zi,26,0.02600,1902597,0.02566
tm,26,0.02600,1899136,0.02561
tb,26,0.02600,1886454,0.02544
iu,26,0.02600,1875798,0.02530
aj,26,0.02600,1856606,0.02504
yn,25,0.02500,1781928,0.02403
ii,24,0.02400,1772271,0.02390
ox,24,0.02400,1718551,0.02318
uk,23,0.02300,1677256,0.02262
lp,23,0.02300,1666192,0.02247
yp,23,0.02300,1646572,0.02221
gg,22,0.02200,1571274,0.02119
hl,21,0.02100,1555727,0.02098
dm,21,0.02100,1546083,0.02085
xa,21,0.02100,1529812,0.02063
lk,21,0.02100,1519932,0.02050
bb,21,0.02100,1489053,0.02008
gt,19,0.01900,1389219,0.01873
xe,19,0.01900,1388885,0.01873
kl,18,0.01800,1379045,0.01860
ku,18,0.01800,1355071,0.01827
dv,17,0.01700,1326068,0.01788
ax,17,0.01700,1323124,0.01784
sb,17,0.01700,1286229,0.01735
uf,17,0.01700,1271079,0.01714
kh,17,0.01700,1270760,0.01714
ky,16,0.01600,1234751,0.01665
sf,16,0.01600,1228500,0.01657
rw,16,0.01600,1228108,0.01656
rh,16,0.01600,1226875,0.01655
nh,16,0.01600,1223022,0.01649
dw,16,0.01600,1211521,0.01634
ji,16,0.01600,1193720,0.01610
hm,16,0.01600,1192691,0.01608
yc,15,0.01500,1181122,0.01593
hs,15,0.01500,1180425,0.01592
nr,15,0.01500,1173839,0.01583
zo,15,0.01500,1136744,0.01533
aa,15,0.01500,1135832,0.01532
pm,15,0.01500,1116841,0.01506
sq,14,0.01400,1110073,0.01497
yr,14,0.01400,1097473,0.01480
mc,14,0.01400,1078598,0.01455
nb,14,0.01400,1065652,0.01437
sn,13,0.01300,1035035,0.01396
hw,13,0.01300,1031789,0.01391
nj,13,0.01300,1031226,0.01391
xc,13,0.01300,1008138,0.01360
tn,13,0.01300,989735,0.01335
lc,13,0.01300,977611,0.01318
lw,13,0.01300,971925,0.01311
kr,12,0.01200,950312,0.01282
ez,12,0.01200,948539,0.01279
oj,12,0.01200,944226,0.01273
yt,12,0.01200,942657,0.01271
dh,12,0.01200,937055,0.01264
km,12,0.01200,916708,0.01236
lg,12,0.01200,913087,0.01231
yd,12,0.01200,897179,0.01210
sr,12,0.01200,892099,0.01203
wl,12,0.01200,890358,0.01201
nz,11,0.01100,883609,0.01192
dn,11,0.01100,817667,0.01103
tz,10,0.01000,809541,0.01092
ao,10,0.01000,768591,0.01037
dc,10,0.01000,753621,0.01016
tv,10,0.01000,752542,0.01015
