rating_rank,bigram,mirror,tier,majority_rank,rating,deviation,effort,distance,matches,majority_score,majority_wins,majority_losses,majority_ties,majority_unseen
1,"DF","KJ",1/30,5,2596.999459,153.000431,1.000000,1.000,45,11,11,0,0,198
2,"FD","JK",1/30,3,2529.281873,138.850052,1.000000,1.000,47,11,12,1,0,196
3,"SD","LK",2/30,9,2384.043919,120.617183,2.259909,1.000,46,9,11,2,0,196
4,"SF","LJ",3/30,13,2289.362367,113.414214,2.920355,2.000,47,8,11,3,0,195
5,"FS","JL",3/30,23,2258.023874,126.004368,2.920355,2.000,49,7,8,1,0,200
6,"DS","KL",3/30,28,2232.097696,116.106342,2.920355,1.000,45,6,9,3,0,197
7,"RE","UI",4/30,2,2190.904008,114.672216,3.320230,1.000,46,12,13,1,1,194
8,"ER","IU",4/30,11,2190.138894,106.952089,3.320230,1.000,51,9,9,0,1,199
9,"EF","IJ",4/30,14,2171.506947,106.715408,3.320230,1.601,53,8,11,3,0,195
10,"DV","KM",4/30,1,2163.141794,100.926459,3.320230,1.803,42,12,15,3,0,191
11,"FE","JI",5/30,31,2106.873337,101.091802,3.706624,1.601,31,5,9,4,1,195
12,"WE","OI",5/30,12,2087.810079,107.161193,3.706624,1.000,48,9,9,0,3,197
13,"VD","MK",6/30,4,2059.838467,107.941951,3.966751,1.803,48,11,12,1,2,194
14,"ES","IL",6/30,73,2052.383283,103.794218,3.966751,1.250,40,3,6,3,1,199
15,"AD",";K",6/30,20,2047.034944,100.628188,3.966751,2.000,53,7,10,3,1,195
16,"AF",";J",6/30,41,2044.329699,100.996907,3.966751,3.000,30,5,7,2,2,198
17,"WF","OJ",6/30,36,2039.191403,107.675058,3.966751,2.462,30,5,8,3,2,196
18,"FA","J;",6/30,55,2028.170138,101.430647,3.966751,3.000,30,4,7,3,2,197
19,"SV","LM",6/30,8,2014.136969,95.848039,3.966751,2.693,29,9,13,4,0,192
20,"SE","LI",7/30,66,1983.740749,95.164458,4.300539,1.250,28,3,8,5,2,194
21,"DA","K;",7/30,32,1975.830657,92.441220,4.300539,2.000,27,5,9,4,2,194
22,"VS","ML",7/30,6,1953.214518,97.482428,4.300539,2.693,32,10,13,3,0,193
23,"WR","OU",7/30,37,1952.213812,103.882375,4.300539,2.000,30,5,8,3,1,197
24,"CV",",M",8/30,15,1941.239558,98.033637,4.488354,1.000,31,8,11,3,0,195
25,"SA","L;",8/30,27,1938.211914,95.425066,4.488354,1.000,32,6,10,4,2,193
26,"FW","JO",8/30,50,1935.551677,94.897041,4.488354,2.462,27,4,8,4,2,195
27,"DX","K.",8/30,29,1929.576999,95.158312,4.488354,1.118,31,5,10,5,0,194
28,"CF",",J",8/30,21,1921.068996,98.050875,4.488354,1.118,30,7,10,3,1,195
29,"XD",".K",8/30,7,1914.285165,104.898668,4.488354,1.118,46,10,10,0,1,198
30,"DE","KI",8/30,56,1908.443453,86.583070,4.488354,1.031,38,4,7,3,5,194
31,"RW","UO",8/30,38,1899.583052,108.891492,4.488354,2.000,32,5,8,3,0,198
32,"AS",";L",9/30,22,1866.884108,96.446054,4.902543,1.000,27,7,10,3,2,194
33,"RS","UL",9/30,57,1849.391512,99.253299,4.902543,2.016,31,4,7,3,2,197
34,"EW","IO",9/30,44,1843.739126,105.437247,4.902543,1.000,30,4,9,5,0,195
35,"GD","HK",9/30,10,1836.584002,94.501658,4.902543,2.000,36,9,10,1,3,195
36,"FC","J,",9/30,78,1835.690571,95.007966,4.902543,1.118,27,2,8,6,0,195
37,"FX","J.",9/30,39,1829.774382,93.019262,4.902543,1.803,29,5,8,3,2,196
38,"ED","IK",9/30,79,1826.915616,98.749392,4.902543,1.031,30,2,8,6,0,195
39,"XV",".M",9/30,86,1826.444447,96.853137,4.902543,2.000,25,2,7,5,1,196
40,"CX",",.",9/30,30,1824.701958,91.947415,4.902543,1.000,31,5,10,5,0,194
41,"XF",".J",9/30,19,1820.660008,93.740248,4.902543,1.803,46,7,11,4,0,194
42,"EA","I;",9/30,60,1819.762562,90.253703,4.902543,2.016,38,3,9,6,1,193
43,"DC","K,",9/30,96,1817.131182,87.226216,4.902543,1.118,33,1,7,6,2,194
44,"XC",".,",9/30,51,1815.301346,94.641771,4.902543,1.000,35,4,8,4,1,196
45,"DR","KU",9/30,93,1815.151919,88.820894,4.902543,1.250,28,1,8,7,2,192
46,"VC","M,",9/30,45,1814.165243,83.380513,4.902543,1.000,90,4,9,5,1,194
47,"VA","M;",9/30,42,1813.847213,81.579813,4.902543,3.640,98,4,10,6,2,191
48,"DW","KO",9/30,74,1806.098353,84.926156,4.902543,1.601,48,2,10,8,1,190
49,"CS",",L",10/30,46,1782.708564,98.552883,5.152631,1.803,32,4,9,5,0,195
50,"WD","OK",10/30,61,1779.972361,102.174171,5.152631,1.601,33,3,9,6,1,193
51,"DG","KH",10/30,87,1778.218815,92.409846,5.152631,2.000,25,2,7,5,4,193
52,"FV","JM",10/30,62,1777.174833,97.498429,5.152631,1.118,25,3,9,6,1,193
53,"GS","HL",10/30,52,1772.296433,93.969051,5.152631,3.000,25,4,8,4,2,195
54,"VX","M.",10/30,80,1753.240362,92.840329,5.152631,2.000,27,2,8,6,2,193
55,"AE",";I",10/30,88,1751.929171,101.514471,5.152631,2.016,31,2,7,5,1,196
56,"VF","MJ",10/30,81,1746.645100,92.043834,5.152631,1.118,24,2,8,6,3,192
57,"SG","LH",11/30,115,1739.354544,93.973818,5.354182,3.000,24,-1,7,8,1,193
58,"SR","LU",11/30,116,1737.251895,96.335637,5.354182,2.016,27,-1,7,8,0,194
59,"SC","L,",11/30,63,1728.657605,94.154310,5.354182,1.803,29,3,9,6,1,193
60,"AV",";M",11/30,25,1722.606515,98.338595,5.354182,3.640,25,6,12,6,0,191
61,"SX","L.",11/30,94,1721.280704,97.248662,5.354182,1.118,24,1,8,7,0,194
62,"RD","UK",11/30,43,1713.696656,96.778728,5.354182,1.250,29,4,10,6,1,192
63,"CD",",K",11/30,106,1696.795576,97.577898,5.354182,1.118,24,0,7,7,0,195
64,"FG","JH",11/30,64,1694.189417,94.726020,5.354182,1.000,24,3,9,6,1,193
65,"TE","YI",12/30,24,1667.760761,99.714787,5.626680,2.000,30,7,8,1,1,199
66,"GA","H;",12/30,26,1665.722206,92.617057,5.626680,4.000,25,6,11,5,1,192
67,"AG",";H",12/30,75,1659.566525,92.758389,5.626680,4.000,23,2,9,7,1,192
68,"RA","U;",12/30,107,1656.442562,95.946365,5.626680,2.926,27,0,7,7,3,192
69,"EG","IH",12/30,47,1655.754517,94.069303,5.626680,2.462,26,4,9,5,0,195
70,"RF","UJ",12/30,33,1654.794702,100.708234,5.626680,1.031,31,5,9,4,2,194
71,"GE","HI",12/30,100,1654.441244,89.131913,5.626680,2.462,26,1,6,5,3,195
72,"DB","KN",12/30,117,1654.295903,95.412238,5.626680,2.693,27,-1,7,8,2,192
73,"VE","MI",12/30,130,1642.140863,97.710671,5.626680,2.658,23,-2,6,8,2,193
74,"ZD","/K",12/30,18,1641.428996,97.383481,5.626680,1.803,36,8,9,1,2,197
75,"FR","JU",12/30,131,1640.548131,96.915324,5.626680,1.031,27,-2,6,8,2,193
76,"BD","NK",12/30,34,1639.530907,102.371672,5.626680,2.693,31,5,9,4,0,196
77,"SW","LO",13/30,123,1617.692480,92.299484,5.849783,1.031,25,-1,6,7,2,194
78,"EV","IM",13/30,95,1615.034593,94.452221,5.849783,2.658,29,1,8,7,1,193
79,"SZ","L/",13/30,67,1595.041348,96.066183,5.849783,1.118,27,3,8,5,1,195
80,"AR",";U",13/30,82,1592.568544,90.008944,5.849783,2.926,29,2,8,6,3,192
81,"VZ","M/",13/30,92,1592.162711,85.481030,5.849783,3.000,37,1,9,8,0,192
82,"TW","YO",13/30,16,1585.197998,98.206596,5.849783,3.000,29,8,10,2,1,196
83,"DZ","K/",13/30,164,1584.787376,94.693706,5.849783,1.803,29,-5,5,10,2,192
84,"FZ","J/",14/30,132,1564.991539,92.160145,6.051276,2.693,33,-2,6,8,1,194
85,"WA","O;",14/30,83,1562.200003,98.051968,6.051276,1.250,26,2,8,6,1,194
86,"WS","OL",14/30,40,1555.614498,93.923633,6.051276,1.031,29,5,8,3,3,195
87,"TD","YK",14/30,65,1548.016499,97.125238,6.051276,2.016,26,3,9,6,0,194
88,"ZV","/M",14/30,101,1544.527858,96.453175,6.051276,3.000,24,1,6,5,3,195
89,"BS","NL",14/30,35,1541.973091,100.793466,6.051276,3.640,30,5,9,4,1,195
90,"ET","IY",14/30,76,1538.534664,90.172087,6.051276,2.000,24,2,9,7,1,192
91,"CG",",H",14/30,59,1535.848724,97.873135,6.051276,1.803,32,3,10,7,0,192
92,"QE","PI",14/30,17,1532.108797,102.178153,6.051276,2.000,45,8,10,2,3,194
93,"CA",",;",15/30,108,1529.347391,97.197399,6.183009,2.693,24,0,7,7,1,194
94,"RQ","UP",15/30,118,1526.368906,95.652618,6.183009,3.000,30,-1,7,8,0,194
95,"XS",".L",15/30,84,1525.379270,94.080452,6.183009,1.118,31,2,8,6,0,195
96,"ZF","/J",15/30,102,1523.429982,96.579348,6.183009,2.693,24,1,6,5,2,196
97,"CZ",",/",15/30,77,1522.936728,91.926019,6.183009,2.000,32,2,9,7,1,192
98,"WG","OH",15/30,126,1518.862722,96.102526,6.183009,3.400,23,-1,5,6,1,197
99,"GF","HJ",15/30,113,1515.829765,84.145468,6.183009,1.000,51,0,5,5,5,194
100,"QR","PU",15/30,68,1514.668297,98.293008,6.183009,3.000,27,3,8,5,1,195
101,"XZ","./",15/30,89,1510.308076,94.794170,6.183009,1.000,24,2,7,5,2,195
102,"XG",".H",15/30,69,1508.205045,92.785911,6.183009,2.693,30,3,8,5,1,195
103,"WT","OY",15/30,127,1506.672373,95.986272,6.183009,3.000,23,-1,5,6,4,194
104,"AC",";,",15/30,103,1504.351115,92.879264,6.183009,2.693,28,1,6,5,4,194
105,"ZC","/,",15/30,85,1503.090515,93.902143,6.183009,2.000,24,2,8,6,1,194
106,"DT","KY",15/30,167,1501.366885,98.710574,6.183009,2.016,31,-5,4,9,1,195
107,"BC","N,",15/30,58,1497.102185,93.372146,6.183009,2.000,30,4,7,3,1,198
108,"GX","H.",16/30,128,1481.882826,88.134441,6.394539,2.693,28,-2,7,9,2,191
109,"TS","YL",16/30,48,1479.413548,94.616488,6.394539,2.926,28,4,9,5,1,194
110,"GC","H,",16/30,70,1470.330018,79.940020,6.394539,1.803,91,3,8,5,2,194
111,"RT","UY",16/30,53,1469.796394,91.605514,6.394539,1.000,31,4,8,4,3,194
112,"VW","MO",16/30,124,1469.424489,93.294694,6.394539,3.400,30,-1,6,7,1,195
113,"EX","I.",16/30,133,1462.282165,89.927318,6.394539,2.016,40,-2,6,8,1,194
114,"SB","LN",16/30,150,1459.896993,103.098652,6.394539,3.640,30,-3,4,7,1,197
115,"EQ","IP",16/30,71,1457.785684,85.752191,6.394539,2.000,46,3,8,5,0,196
116,"ZS","/L",16/30,91,1455.812613,96.624091,6.394539,1.118,28,2,6,4,3,196
117,"AB",";N",16/30,134,1454.940971,95.980298,6.394539,4.610,26,-2,6,8,1,194
118,"GW","HO",16/30,192,1453.534323,87.753807,6.394539,3.400,52,-8,2,10,2,195
119,"GR","HU",16/30,145,1444.201436,80.852226,6.394539,1.601,91,-3,6,9,0,194
120,"ZX","/.",16/30,147,1441.700877,91.431692,6.394539,1.000,26,-3,5,8,2,194
121,"RG","UH",16/30,109,1439.863282,95.729608,6.394539,1.601,27,0,7,7,1,194
122,"VB","MN",17/30,119,1423.631038,97.404567,6.607522,1.000,30,-1,7,8,0,194
123,"AW",";O",17/30,97,1423.131173,97.402290,6.607522,1.250,26,1,7,6,2,194
124,"RC","U,",17/30,104,1421.008323,92.570551,6.607522,2.016,27,1,6,5,3,195
125,"WV","OM",17/30,125,1418.146183,90.989605,6.607522,3.400,30,-1,6,7,1,195
126,"XE",".I",17/30,139,1406.807770,95.202086,6.607522,2.016,24,-2,5,7,1,196
127,"ST","LY",17/30,180,1403.892176,98.431170,6.607522,2.926,29,-6,3,9,1,196
128,"BV","NM",17/30,49,1403.000901,85.146015,6.607522,1.000,36,4,9,5,1,194
129,"FB","JN",17/30,151,1400.117134,90.242618,6.607522,1.803,38,-3,4,7,2,196
130,"BX","N.",17/30,160,1395.650792,89.419907,6.607522,3.000,28,-4,3,7,2,197
131,"TA","Y;",17/30,98,1393.406109,97.757706,6.607522,3.881,28,1,7,6,1,195
132,"AX",";.",17/30,143,1390.029296,96.720227,6.607522,1.803,29,-2,3,5,3,198
133,"VG","MH",17/30,168,1385.464040,96.168725,6.607522,1.118,33,-5,4,9,0,196
134,"BA","N;",18/30,72,1373.375870,89.234681,6.807472,4.610,30,3,8,5,3,193
135,"CB",",N",18/30,142,1373.243461,93.031158,6.807472,2.000,24,-2,4,6,3,196
136,"QF","PJ",18/30,110,1371.238855,91.252720,6.807472,3.400,26,0,6,6,4,193
137,"GV","HM",18/30,105,1368.661904,89.352717,6.807472,1.118,39,1,6,5,2,196
138,"CW",",O",18/30,169,1368.516156,97.201768,6.807472,2.658,23,-5,3,8,3,195
139,"EC","I,",18/30,148,1365.735096,93.211824,6.807472,2.136,23,-3,5,8,2,194
140,"CR",",U",18/30,170,1353.470961,89.594019,6.807472,2.016,26,-5,3,8,3,195
141,"XA",".;",18/30,135,1352.101112,89.160697,6.807472,1.803,32,-2,6,8,1,194
142,"EZ","I/",18/30,184,1347.387040,87.876112,6.807472,2.358,29,-6,1,7,5,196
143,"QW","PO",18/30,114,1343.516984,95.073865,6.807472,1.000,24,0,5,5,3,196
144,"XR",".U",18/30,140,1343.381292,95.739196,6.807472,2.358,28,-2,5,7,1,196
145,"TF","YJ",18/30,54,1339.659832,93.971818,6.807472,1.250,26,4,8,4,4,193
146,"GB","HN",18/30,146,1336.069817,87.085692,6.807472,1.118,30,-3,6,9,0,194
147,"RX","U.",18/30,161,1333.950517,91.406850,6.807472,2.358,31,-4,3,7,3,196
148,"WQ","OP",18/30,129,1332.560207,94.666659,6.807472,1.000,28,-2,7,9,1,192
149,"GZ","H/",19/30,154,1319.292119,95.619975,7.018066,3.640,25,-4,5,9,1,194
150,"AT",";Y",19/30,157,1316.303332,98.484327,7.018066,3.881,29,-4,4,8,2,195
151,"ZE","/I",19/30,120,1302.002098,97.987662,7.018066,2.358,27,-1,7,8,0,194
152,"BF","NJ",19/30,158,1296.209205,89.776232,7.018066,1.803,25,-4,4,8,3,194
153,"WC","O,",19/30,159,1287.792085,98.385882,7.018066,2.658,30,-4,4,8,1,196
154,"XB",".N",19/30,165,1287.012618,96.038087,7.018066,3.000,23,-5,5,10,1,193
155,"CE",",I",19/30,179,1280.526752,96.921281,7.018066,2.136,34,-6,4,10,0,195
156,"EB","IN",20/30,193,1262.499205,92.099422,7.197850,3.400,28,-8,2,10,3,194
157,"TQ","YP",20/30,90,1262.147026,90.018219,7.197850,4.000,28,2,7,5,3,194
158,"FQ","JP",20/30,181,1261.795209,100.575543,7.197850,3.400,40,-6,3,9,1,196
159,"ZG","/H",20/30,99,1259.973741,98.432686,7.197850,3.640,27,1,7,6,1,195
160,"FT","JY",20/30,153,1247.254855,109.624431,7.197850,1.250,34,-3,3,6,1,199
161,"RV","UM",20/30,136,1245.636528,98.313232,7.197850,2.136,25,-2,6,8,1,194
162,"TR","YU",20/30,186,1235.178982,94.991202,7.197850,1.000,27,-7,4,11,0,194
163,"GT","HY",20/30,171,1233.886906,93.421025,7.197850,1.031,26,-5,3,8,2,196
164,"BE","NI",21/30,178,1226.738645,88.294883,7.364598,3.400,38,-6,5,11,0,193
165,"DQ","KP",21/30,190,1220.571508,131.203565,7.364598,2.462,45,-8,3,11,1,194
166,"BG","NH",21/30,182,1217.634896,91.457154,7.364598,1.118,25,-6,3,9,3,194
167,"BZ","N/",21/30,111,1216.366915,91.887389,7.364598,4.000,27,0,6,6,3,194
168,"ZB","/N",21/30,155,1215.601815,101.315620,7.364598,4.000,38,-4,5,9,0,195
169,"VR","MU",21/30,172,1212.291362,107.578130,7.364598,2.136,32,-5,3,8,0,198
170,"QD","PK",21/30,137,1210.749385,97.803547,7.364598,2.462,28,-2,6,8,1,194
171,"SQ","LP",21/30,203,1198.422052,128.980829,7.364598,1.601,46,-10,1,11,2,195
172,"TC","Y,",21/30,149,1192.573986,93.485358,7.364598,2.358,28,-3,5,8,2,194
173,"QG","PH",21/30,121,1185.184496,96.737941,7.364598,4.366,29,-1,7,8,2,192
174,"GQ","HP",21/30,187,1178.369825,88.402141,7.364598,4.366,54,-7,2,9,2,196
175,"QS","PL",22/30,122,1160.842131,98.349275,7.624704,1.601,32,-1,7,8,2,192
176,"BW","NO",22/30,141,1153.808572,96.707019,7.624704,4.250,24,-2,5,7,2,195
177,"QT","PY",22/30,144,1146.879044,96.665559,7.624704,4.000,24,-3,7,10,2,190
178,"TG","YH",22/30,162,1142.763040,95.715490,7.624704,1.031,29,-4,3,7,2,197
179,"WX","O.",22/30,183,1115.500107,102.598809,7.624704,2.136,30,-6,3,9,2,195
180,"CT",",Y",22/30,189,1103.007256,112.202189,7.624704,2.358,41,-7,1,8,1,199
181,"ZR","/U",23/30,152,1082.923058,103.877954,7.899529,3.010,30,-3,4,7,1,197
