rating_rank,bigram,mirror,tier,majority_rank,rating,deviation,effort,distance,matches,majority_score,majority_wins,majority_losses,majority_ties,majority_unseen
1,"DF","KJ",1/10,5,2596.499285,152.999004,1.000000,1.000,45,11,11,0,0,198
2,"FD","JK",1/10,3,2528.377666,138.923046,1.000000,1.000,47,11,12,1,0,196
3,"SD","LK",1/10,9,2383.620616,120.611937,1.000000,1.000,46,9,11,2,0,196
4,"SF","LJ",2/10,13,2288.995581,113.391687,3.065055,2.000,47,8,11,3,0,195
5,"FS","JL",2/10,23,2256.886606,126.089756,3.065055,2.000,49,7,8,1,0,200
6,"DS","KL",2/10,28,2231.201353,116.174158,3.065055,1.000,45,6,9,3,0,197
7,"RE","UI",2/10,2,2190.263443,114.671874,3.065055,1.000,46,12,13,1,1,194
8,"ER","IU",2/10,11,2185.634921,107.086955,3.065055,1.000,49,9,9,0,1,199
9,"EF","IJ",2/10,14,2169.861852,106.620145,3.065055,1.601,53,8,11,3,0,195
10,"DV","KM",2/10,1,2162.576417,100.901863,3.065055,1.803,42,12,15,3,0,191
11,"FE","JI",2/10,32,2106.151969,101.064450,3.065055,1.601,31,5,9,4,1,195
12,"WE","OI",2/10,12,2085.734365,107.099997,3.065055,1.000,48,9,9,0,3,197
13,"VD","MK",3/10,4,2059.948354,107.928905,4.110249,1.803,48,11,12,1,2,194
14,"ES","IL",3/10,73,2055.338844,104.183208,4.110249,1.250,38,3,6,3,1,199
15,"AD",";K",3/10,20,2046.211262,100.620445,4.110249,2.000,53,7,10,3,1,195
16,"AF",";J",3/10,41,2042.532388,100.989712,4.110249,3.000,30,5,7,2,2,198
17,"WF","OJ",3/10,37,2038.434105,107.637150,4.110249,2.462,30,5,8,3,2,196
18,"FA","J;",3/10,50,2027.629395,101.354713,4.110249,3.000,30,4,7,3,2,197
19,"SV","LM",3/10,8,2014.358880,95.843878,4.110249,2.693,29,9,13,4,0,192
20,"SE","LI",3/10,61,1983.809334,95.178778,4.110249,1.250,28,3,8,5,2,194
21,"DA","K;",3/10,33,1973.915510,92.433706,4.110249,2.000,27,5,9,4,2,194
22,"VS","ML",3/10,6,1953.989471,97.512965,4.110249,2.693,32,10,13,3,0,193
23,"WR","OU",3/10,38,1951.630085,103.783782,4.110249,2.000,30,5,8,3,1,197
24,"CV",",M",3/10,15,1949.811847,99.039559,4.110249,1.000,30,8,11,3,0,195
25,"SA","L;",3/10,27,1937.842434,95.474659,4.110249,1.000,32,6,10,4,2,193
26,"DX","K.",3/10,30,1928.092712,95.103545,4.110249,1.118,31,5,10,5,0,194
27,"FW","JO",3/10,88,1923.362733,96.261077,4.110249,2.462,25,2,6,4,4,195
28,"CF",",J",3/10,21,1921.611864,98.235047,4.110249,1.118,30,7,10,3,1,195
29,"XD",".K",3/10,7,1915.625311,104.930853,4.110249,1.118,46,10,10,0,1,198
30,"DE","KI",3/10,70,1899.203759,88.016908,4.110249,1.031,33,3,7,4,4,194
31,"RW","UO",3/10,39,1897.975123,108.971591,4.110249,2.000,32,5,8,3,0,198
