keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_c1_ratio,left_c2_ratio,left_c3_ratio,left_c4_ratio,left_c5_ratio,right_c1_ratio,right_c2_ratio,right_c3_ratio,right_c4_ratio,right_c5_ratio,top_row_ratio,home_row_ratio,bottom_row_ratio,left_row_balance,home_row_balance,bottom_row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls,left_top_row_ratio,left_home_row_ratio,left_bottom_row_ratio,right_top_row_ratio,right_home_row_ratio,right_bottom_row_ratio
_lucj,iresm,_v_wy,kdhf_,gtnao,zpbxq,mtgap-2,487.247727,19.18%,→0.53%,40.33%,←0.85%,57357945423.39,←2.93%,←8.21%,1.66,←4.73%,1.69,1.62,6.83%,11.18%,10.58%,12.38%,9.76%,9.59%,10.46%,11.25%,13.67%,4.30%,27.14%,61.30%,11.56%,→9.12%,←4.77%,←25.69%,50.72%,49.28%,50.21%,49.79%,29093591562.72,28264353860.67,8673195729,8599814724,6965799486,1652403064,1661242149,3555973597,3286126572,12.92%,31.36%,6.44%,14.22%,29.93%,5.12%
_ymdf,aersg,xzcv_,jpluq,btnio,kwh__,capewell-0.9.3,462.359001,19.58%,→6.09%,39.21%,←1.24%,59417864189.11,←3.25%,→6.71%,1.69,→5.47%,1.64,1.74,10.36%,12.90%,10.77%,10.98%,5.80%,3.52%,10.64%,15.09%,10.59%,9.36%,24.25%,60.65%,15.11%,←14.31%,←11.59%,→36.24%,50.80%,49.20%,50.31%,49.69%,30183770324.93,29234093864.18,8689855385,8583155068,6772457123,1638148261,1744366649,3395681521,3639761011,12.93%,31.98%,5.88%,11.31%,28.66%,9.23%
_ymdg,aersf,xzcvj,_wh__,ktnio,bpluq,capewell-0.9.2,460.925040,19.56%,←2.92%,39.28%,←2.18%,59464968389.45,←4.99%,→5.39%,1.69,→5.14%,1.64,1.73,10.40%,12.98%,10.75%,10.98%,6.11%,3.40%,10.71%,14.69%,10.68%,9.30%,19.51%,59.77%,20.73%,←91.68%,←16.67%,→57.14%,51.22%,48.78%,50.54%,49.46%,30456939834.83,29008028554.62,8729616184,8543394269,6784503692,1713874092,1665253593,3414496957,3608899006,12.82%,32.18%,6.22%,6.69%,27.58%,14.51%
qwjfg,asetd,zxcvb,ypul_,hnior,km___,asset,151.830596,15.21%,→13.90%,44.27%,←7.93%,58091310064.67,←6.70%,→5.63%,1.55,→7.19%,1.50,1.62,10.87%,7.65%,11.81%,10.65%,10.64%,9.72%,10.70%,7.78%,12.29%,7.89%,21.97%,65.33%,12.70%,→41.60%,←16.60%,←92.11%,51.62%,48.38%,51.91%,48.09%,29987039749.75,28104270314.92,8966056718,8306953735,7647263494,1215221925,1411326006,2991172499,3169463662,8.10%,35.17%,8.35%,13.87%,30.16%,4.35%
jloy_,presf,xmbu_,kgihz,_tand,_cwvq,dnat,112.973554,32.39%,→13.81%,35.00%,←0.94%,57485188098.62,←0.81%,→0.43%,1.82,→1.11%,1.81,1.83,3.07%,10.99%,17.26%,15.39%,3.50%,5.06%,14.61%,15.68%,13.13%,1.31%,35.79%,46.57%,17.65%,→14.13%,←3.67%,←29.77%,50.20%,49.80%,50.23%,49.77%,28859035949.66,28626152148.96,8676938443,8596072010,6045388428,2590080491,3004924440,3872919483,3889591744,16.53%,23.70%,9.97%,19.25%,22.86%,7.68%
_uofj,ieacy,___gp,qkhlv,wtnrs,bdmxz,dhorf,106.238653,15.21%,←10.66%,53.71%,→0.75%,54399439814.26,←2.06%,←19.06%,1.36,←6.67%,1.40,1.31,6.48%,8.08%,12.55%,13.94%,9.46%,10.18%,10.70%,11.33%,12.28%,5.00%,29.20%,53.44%,17.35%,←10.15%,←16.77%,→41.36%,50.51%,49.49%,49.81%,50.19%,27476758295.35,26922681518.91,8603946139,8669064314,9277913118,1380397589,1247444753,2462032655,2067953882,15.31%,28.79%,6.42%,13.90%,24.65%,10.94%
__ufz,oaenp,x__hb,kmlcy,gtrsi,jdwvq,isrt-standard,79.804718,16.37%,←20.52%,46.83%,→3.84%,56943074253.69,→10.72%,←6.87%,1.49,←5.37%,1.54,1.46,5.72%,14.35%,10.49%,7.00%,9.62%,13.51%,11.56%,8.98%,14.53%,4.25%,22.93%,60.22%,16.85%,→59.26%,←15.18%,→2.98%,47.17%,52.83%,49.02%,50.98%,26859206538.15,30083867715.54,8467328052,8805682401,8089647911,1545151981,1282122893,2954029710,2764222034,6.64%,32.23%,8.30%,16.29%,27.99%,8.55%
_pufj,ioeny,___lk,bwrdq,gthsa,vcmxz,workman,74.078895,18.59%,←6.30%,44.40%,→5.20%,57494615954.29,→15.72%,←2.76%,1.55,←4.55%,1.59,1.52,3.96%,14.52%,8.70%,9.47%,9.09%,11.27%,10.33%,12.67%,13.07%,6.93%,25.22%,58.73%,16.06%,→44.38%,←5.52%,→30.75%,45.73%,54.27%,48.67%,51.33%,26294566916.30,31200049037.99,8405955177,8867055276,7668874917,1654678160,1556601502,3111238059,3027786679,9.01%,30.15%,6.57%,16.20%,28.57%,9.49%
qwdfk,asetg,zxcvb,jurl_,ynioh,pm___,norman,72.862987,19.72%,→17.45%,44.15%,←10.19%,57152135193.47,←8.20%,→1.05%,1.56,→5.84%,1.51,1.61,10.98%,7.78%,15.96%,10.82%,6.43%,6.35%,12.16%,11.68%,12.51%,5.33%,26.71%,58.06%,15.23%,→38.98%,←35.11%,←25.73%,51.97%,48.03%,52.42%,47.58%,29701898769.58,27450236423.89,9055227040,8217783413,7626560133,1540470918,1866049272,3074391276,3106948246,10.12%,33.36%,8.49%,16.59%,24.69%,6.75%
__ufz,oaenp,x__hb,kmlcy,gtrsi,qjdwv,isrt-angle-mod,68.052216,16.37%,←20.52%,46.83%,→3.84%,57485647677.56,→12.30%,←6.87%,1.49,←5.37%,1.54,1.46,5.66%,14.21%,10.39%,6.93%,9.53%,15.36%,12.06%,11.71%,10.13%,4.02%,22.73%,59.98%,17.29%,→59.30%,←13.83%,→9.42%,46.72%,53.28%,49.02%,50.98%,26859206538.15,30626441139.41,8467328052,8805682401,8089647911,1545151981,1282122893,2954029710,2764222034,6.57%,31.93%,8.22%,16.15%,28.05%,9.07%
