keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_bumy,laerd,wqkcz,xgnpj,hitos,vf___,!laerdhitos,1214.764727,19.73%,←002.43%,36.17%,→001.75%,57668530361.91,→001.48%,→001.38%,1.78,←000.29%,1.78,1.78,07.90% │ 09.96% │ 11.62% │ 11.58% │ 08.57%,08.88% │ 11.44% │ 12.44% │ 09.70% │ 07.91%,05.96% │ 09.99% │ 15.49% │ 12.46% │ 05.66%,05.95% │ 11.82% │ 16.28% │ 09.71% │ 06.68%,→000.23% │ ←002.67% │ →006.55% │ ←001.22% │ →003.53%,24.75%,63.11%,12.13%,→015.04% │ →006.44% │ ←076.74%,49.63%,50.37%,49.56%,50.44%,28618856416.90,29049673945.01,8560302930,8712707523,6248072275,1724627059,1683753233,3753703933,3806123447
_bumy,laerd,wqkcz,jgnpx,hitos,vf___,laerdhitos,1214.532546,19.73%,←002.43%,36.17%,→001.75%,57664379421.66,→001.47%,→001.38%,1.78,←000.29%,1.78,1.78,07.90% │ 09.96% │ 11.62% │ 11.58% │ 08.57%,08.93% │ 11.44% │ 12.45% │ 09.69% │ 07.86%,05.96% │ 09.99% │ 15.49% │ 12.46% │ 05.66%,05.99% │ 11.82% │ 16.28% │ 09.71% │ 06.64%,←000.46% │ ←002.80% │ →006.64% │ ←001.22% │ →004.04%,24.76%,63.11%,12.13%,→015.06% │ →006.40% │ ←076.75%,49.63%,50.37%,49.56%,50.44%,28618856416.90,29045523004.76,8560302930,8712707523,6248072275,1724627059,1683753233,3753703933,3806123447
_bumy,laerd,wzkcq,xgnpj,hitos,vf___,laerdhitos,1214.360381,19.73%,←002.43%,36.17%,→001.75%,57667487851.26,→001.49%,→001.38%,1.78,←000.29%,1.78,1.78,07.90% │ 10.01% │ 11.63% │ 11.58% │ 08.52%,08.88% │ 11.44% │ 12.44% │ 09.70% │ 07.91%,05.96% │ 10.02% │ 15.49% │ 12.46% │ 05.63%,05.95% │ 11.82% │ 16.28% │ 09.71% │ 06.68%,→000.23% │ ←003.11% │ →006.51% │ ←001.22% │ →004.09%,24.77%,63.10%,12.13%,→014.90% │ →006.48% │ ←076.58%,49.63%,50.37%,49.56%,50.44%,28617813906.25,29049673945.01,8560302930,8712707523,6248072275,1724627059,1683753233,3753703933,3806123447
_jpmv,rtehu,qgkly,wcofz,dnais,xb___,rtehudnais,1209.647889,16.51%,←000.65%,38.22%,→001.28%,57892790570.06,←001.49%,→000.63%,1.72,←000.47%,1.72,1.71,08.28% │ 09.51% │ 11.90% │ 12.18% │ 08.50%,08.14% │ 11.59% │ 12.29% │ 09.67% │ 07.94%,06.63% │ 11.08% │ 14.86% │ 11.55% │ 05.56%,05.71% │ 12.44% │ 15.83% │ 09.77% │ 06.58%,←004.22% │ →001.70% │ →003.14% │ ←005.11% │ ←004.47%,25.11%,61.00%,13.89%,→058.79% │ ←005.43% │ ←445.77%,50.37%,49.63%,49.68%,50.32%,29160904855.12,28731885714.94,8580705160,8692305293,6602072239,1430894419,1421670037,3591452734,3614374682
_xpmv,rtehu,qgkly,wcofz,dnais,jb___,rtehudnais,1209.059977,16.69%,←000.36%,38.05%,→001.44%,57964788573.40,←001.16%,→000.39%,1.72,←000.76%,1.73,1.71,08.26% │ 09.53% │ 11.87% │ 12.17% │ 08.45%,08.19% │ 11.56% │ 12.39% │ 09.64% │ 07.93%,06.63% │ 11.04% │ 14.86% │ 11.55% │ 05.56%,05.74% │ 12.44% │ 15.83% │ 09.77% │ 06.58%,←004.20% │ →001.15% │ →004.21% │ ←005.27% │ ←003.25%,25.16%,60.91%,13.93%,→058.88% │ ←005.23% │ ←431.86%,50.29%,49.71%,49.64%,50.36%,29149590556.20,28815198017.20,8574063585,8698946868,6571857002,1443835123,1438608473,3610945021,3625097632
_jpmv,rtehu,qgkly,wcofx,dnais,zb___,rtehudnais,1208.251534,16.48%,←001.02%,38.22%,→001.28%,57888035945.59,←001.51%,→000.63%,1.72,←000.47%,1.72,1.71,08.28% │ 09.51% │ 11.90% │ 12.18% │ 08.50%,08.06% │ 11.58% │ 12.29% │ 09.68% │ 08.02%,06.63% │ 11.08% │ 14.86% │ 11.55% │ 05.56%,05.64% │ 12.44% │ 15.83% │ 09.77% │ 06.64%,←003.19% │ →001.72% │ →003.13% │ ←005.18% │ ←005.51%,25.19%,61.00%,13.81%,→058.97% │ ←005.43% │ ←466.90%,50.37%,49.63%,49.68%,50.32%,29160904855.12,28727131090.47,8580705160,8692305293,6602072239,1430894419,1416403333,3591452734,3614374682
_xpmv,rtehu,qgkly,wcofz,dians,jb___,rtehudians,1207.771492,16.69%,←000.36%,38.05%,→001.44%,58487993873.42,→000.64%,→000.39%,1.72,←000.76%,1.73,1.71,08.19% │ 09.45% │ 11.77% │ 12.06% │ 08.38%,08.11% │ 12.71% │ 12.26% │ 09.30% │ 07.78%,06.63% │ 11.04% │ 14.86% │ 11.55% │ 05.56%,05.74% │ 12.54% │ 15.83% │ 09.68% │ 06.58%,←005.25% │ ←001.61% │ →004.06% │ →005.11% │ ←003.27%,24.87%,61.30%,13.82%,→058.74% │ ←001.99% │ ←427.09%,49.84%,50.16%,49.64%,50.36%,29149590556.20,29338403317.22,8574063585,8698946868,6571857002,1443835123,1438608473,3610945021,3625097632
_jpmv,rtehu,qgkly,wcofz,dians,xb___,rtehudians,1207.613112,16.51%,←000.65%,38.22%,→001.28%,58419214138.18,→000.33%,→000.63%,1.72,←000.47%,1.72,1.71,08.20% │ 09.42% │ 11.80% │ 12.07% │ 08.43%,08.07% │ 12.76% │ 12.16% │ 09.31% │ 07.79%,06.63% │ 11.08% │ 14.86% │ 11.55% │ 05.56%,05.71% │ 12.54% │ 15.83% │ 09.68% │ 06.58%,←005.26% │ ←001.21% │ →002.99% │ →005.39% │ ←004.47%,24.83%,61.39%,13.78%,→058.65% │ ←002.16% │ ←440.38%,49.92%,50.08%,49.68%,50.32%,29160904855.12,29258309283.06,8580705160,8692305293,6602072239,1430894419,1421670037,3591452734,3614374682
_jpmv,rtehu,qgkly,wcofx,dians,zb___,rtehudians,1207.059231,16.48%,←001.02%,38.22%,→001.28%,58413912862.13,→000.31%,→000.63%,1.72,←000.47%,1.72,1.71,08.20% │ 09.42% │ 11.80% │ 12.07% │ 08.43%,07.99% │ 12.75% │ 12.16% │ 09.31% │ 07.87%,06.63% │ 11.08% │ 14.86% │ 11.55% │ 05.56%,05.64% │ 12.54% │ 15.83% │ 09.68% │ 06.64%,←004.20% │ ←001.22% │ →002.97% │ →005.33% │ ←005.49%,24.90%,61.39%,13.71%,→058.83% │ ←002.18% │ ←460.71%,49.92%,50.08%,49.68%,50.32%,29160904855.12,29253008007.01,8580705160,8692305293,6602072239,1430894419,1416403333,3591452734,3614374682
_bumy,daerl,wxkcz,jgnpq,hitos,vf___,daerlhitos,1206.159924,19.64%,←003.04%,36.22%,→001.39%,57616244482.00,→000.51%,→000.56%,1.78,←000.65%,1.78,1.77,07.23% │ 10.14% │ 11.57% │ 11.55% │ 09.38%,08.93% │ 11.42% │ 12.40% │ 09.66% │ 07.71%,05.51% │ 10.08% │ 15.49% │ 12.46% │ 06.10%,05.99% │ 11.82% │ 16.28% │ 09.71% │ 06.55%,→006.31% │ ←004.97% │ →006.68% │ ←001.15% │ ←004.99%,24.52%,63.21%,12.28%,→014.45% │ →005.70% │ ←079.96%,49.87%,50.13%,49.65%,50.35%,28733851989.93,28882392492.07,8576212555,8696797898,6255433421,1721246399,1670519127,3765703108,3786763126
