keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_bpmy,daenl,fxkc_,qurg_,hitos,vwzj_,daenlhitos,1178.888658,17.26%,→001.29%,38.66%,←001.39%,57389104994.79,←000.73%,→001.66%,1.70,→002.12%,1.68,1.72,08.05% │ 09.87% │ 10.92% │ 12.21% │ 09.13%,08.93% │ 12.42% │ 11.23% │ 09.49% │ 07.75%,06.01% │ 10.08% │ 14.86% │ 13.42% │ 05.97%,05.86% │ 12.06% │ 15.45% │ 09.84% │ 06.45%,←003.86% │ ←004.03% │ →002.72% │ →001.70% │ ←002.23%,23.45%,63.90%,12.65%,→020.03% │ →003.87% │ ←100.55%,50.18%,49.82%,50.34%,49.66%,28798966807.00,28590138187.79,8696083248,8576927205,6678225346,1480784660,1500102503,3535019697,3594654612
_bpmy,daenl,fxkc_,vurg_,hitos,qwzj_,daenlhitos,1177.790182,17.31%,→001.89%,38.66%,←001.39%,57413173916.49,←000.65%,→001.66%,1.70,→002.12%,1.68,1.72,08.04% │ 09.86% │ 10.92% │ 12.21% │ 09.13%,08.96% │ 12.43% │ 11.22% │ 09.49% │ 07.74%,06.01% │ 10.08% │ 14.86% │ 13.42% │ 05.97%,05.86% │ 12.06% │ 15.45% │ 09.84% │ 06.45%,←003.86% │ ←003.97% │ →002.71% │ →001.77% │ ←001.90%,25.16%,63.86%,10.98%,→029.35% │ →003.84% │ ←232.18%,50.16%,49.84%,50.34%,49.66%,28798966807.00,28614207109.49,8696083248,8576927205,6678225346,1480784660,1509309545,3535019697,3594654612
_bpmy,daenl,fxkc_,vurg_,hitos,zwqj_,daenlhitos,1177.535377,17.31%,→001.89%,38.66%,←001.39%,57413122088.57,←000.65%,→001.66%,1.70,→002.12%,1.68,1.72,08.04% │ 09.86% │ 10.92% │ 12.21% │ 09.13%,09.03% │ 12.40% │ 11.18% │ 09.49% │ 07.74%,06.01% │ 10.08% │ 14.86% │ 13.42% │ 05.97%,05.89% │ 12.06% │ 15.42% │ 09.84% │ 06.45%,←003.86% │ ←003.94% │ →002.29% │ →001.60% │ ←001.14%,25.13%,63.88%,11.00%,→029.19% │ →003.88% │ ←229.88%,50.16%,49.84%,50.34%,49.66%,28798966807.00,28614155281.57,8696083248,8576927205,6678225346,1480784660,1509309545,3535019697,3594654612
_bufy,laend,wxkc_,vgrp_,hitos,qmjz_,laendhitos,1176.155062,16.66%,→000.24%,40.04%,←000.26%,56714527697.31,→001.22%,→001.85%,1.66,→001.40%,1.65,1.68,08.05% │ 09.90% │ 11.04% │ 11.96% │ 08.76%,08.92% │ 12.41% │ 11.13% │ 10.18% │ 07.66%,05.96% │ 10.08% │ 15.49% │ 13.00% │ 05.53%,05.86% │ 12.24% │ 15.55% │ 09.84% │ 06.45%,←004.97% │ →002.77% │ →000.85% │ →003.65% │ →001.85%,24.46%,63.86%,11.68%,→023.48% │ →004.36% │ ←106.70%,49.69%,50.31%,50.06%,49.94%,28182860097.42,28531667599.89,8647685815,8625324638,6916724783,1436830836,1440234429,3413478324,3477696548
_bucy,daenl,wxkf_,zmrp_,hotis,vgjq_,daenlhotis,1175.517847,16.49%,→001.14%,40.04%,←000.26%,56959123326.89,→001.09%,→001.85%,1.66,→001.40%,1.65,1.68,07.37% │ 09.93% │ 11.16% │ 12.08% │ 09.17%,08.93% │ 12.22% │ 11.25% │ 10.13% │ 07.74%,05.51% │ 10.08% │ 15.49% │ 13.00% │ 05.97%,05.89% │ 12.22% │ 15.55% │ 09.83% │ 06.45%,→004.74% │ →001.93% │ →000.80% │ →001.14% │ ←002.71%,25.00%,63.91%,11.10%,→005.18% │ →005.12% │ ←038.57%,49.72%,50.28%,50.06%,49.94%,28322827225.54,28636296101.35,8647685815,8625324638,6916724783,1416002474,1432357743,3413478324,3477696548
_bucy,daenl,wxkf_,vmrp_,hotis,zgjq_,daenlhotis,1175.347568,16.38%,←000.20%,40.04%,←000.26%,56982972167.37,→001.18%,→001.85%,1.66,→001.40%,1.65,1.68,07.37% │ 09.93% │ 11.16% │ 12.08% │ 09.17%,08.95% │ 12.22% │ 11.25% │ 10.15% │ 07.74%,05.51% │ 10.08% │ 15.49% │ 13.00% │ 05.97%,05.89% │ 12.22% │ 15.55% │ 09.83% │ 06.45%,→004.74% │ →002.15% │ →000.80% │ →001.12% │ ←002.45%,26.62%,63.90%,09.48%,→015.90% │ →005.18% │ ←112.20%,49.70%,50.30%,50.06%,49.94%,28322827225.54,28660144941.83,8647685815,8625324638,6916724783,1416002474,1413238563,3413478324,3477696548
_bufy,laend,wxkc_,vmrp_,hitos,qgjz_,laendhitos,1174.934253,16.50%,←001.67%,40.04%,←000.26%,56821970124.42,→001.59%,→001.85%,1.66,→001.40%,1.65,1.68,08.03% │ 09.88% │ 11.02% │ 11.93% │ 08.74%,08.92% │ 12.54% │ 11.21% │ 10.08% │ 07.66%,05.96% │ 10.08% │ 15.49% │ 13.00% │ 05.53%,05.86% │ 12.24% │ 15.55% │ 09.84% │ 06.45%,←004.90% │ →002.05% │ →001.70% │ →004.82% │ →001.98%,25.27%,63.80%,10.93%,→027.93% │ →004.53% │ ←155.28%,49.60%,50.40%,50.06%,49.94%,28182860097.42,28639110027.00,8647685815,8625324638,6916724783,1436830836,1413238563,3413478324,3477696548
_bufy,daenl,wxkc_,vmrp_,hotis,qgjz_,daenlhotis,1174.931647,16.50%,←001.67%,40.04%,←000.26%,56757301848.53,→001.89%,→001.85%,1.66,→001.40%,1.65,1.68,07.40% │ 09.91% │ 11.05% │ 11.95% │ 09.22%,08.92% │ 12.26% │ 11.29% │ 10.24% │ 07.77%,05.51% │ 10.08% │ 15.49% │ 13.00% │ 05.97%,05.86% │ 12.22% │ 15.55% │ 09.86% │ 06.45%,→004.75% │ →003.18% │ →002.18% │ →002.55% │ ←003.39%,25.13%,63.97%,10.90%,→026.91% │ →005.70% │ ←159.19%,49.52%,50.48%,50.06%,49.94%,28108558659.09,28648743189.44,8647685815,8625324638,6916724783,1436830836,1413238563,3413478324,3477696548
_bufy,laend,wxkc_,vmrp_,hotis,qgjz_,laendhotis,1174.432348,16.50%,←001.67%,40.04%,←000.26%,56831603286.86,→001.63%,→001.85%,1.66,→001.40%,1.65,1.68,08.03% │ 09.88% │ 11.01% │ 11.93% │ 08.74%,08.91% │ 12.24% │ 11.28% │ 10.22% │ 07.76%,05.96% │ 10.08% │ 15.49% │ 13.00% │ 05.53%,05.86% │ 12.22% │ 15.55% │ 09.86% │ 06.45%,←003.49% │ →003.40% │ →002.35% │ →002.53% │ →001.88%,25.08%,64.04%,10.88%,→027.02% │ →005.24% │ ←159.12%,49.59%,50.41%,50.06%,49.94%,28182860097.42,28648743189.44,8647685815,8625324638,6916724783,1436830836,1413238563,3413478324,3477696548
_bucy,laend,wxkf_,qmrp_,hitos,vgjz_,laendhitos,1174.186197,16.49%,→001.17%,40.04%,←000.26%,57035443284.01,→000.77%,→001.85%,1.66,→001.40%,1.65,1.68,08.02% │ 09.90% │ 11.13% │ 12.06% │ 08.70%,08.85% │ 12.51% │ 11.16% │ 10.04% │ 07.63%,05.96% │ 10.08% │ 15.49% │ 13.00% │ 05.53%,05.86% │ 12.24% │ 15.55% │ 09.84% │ 06.45%,←005.16% │ →001.43% │ →000.31% │ →003.53% │ →001.80%,25.06%,63.77%,11.17%,→006.09% │ →003.94% │ ←035.51%,49.81%,50.19%,50.06%,49.94%,28407821973.24,28627621310.77,8647685815,8625324638,6916724783,1416002474,1432746599,3413478324,3477696548
