keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_wumg,rtehc,_vxdk,qpof_,sainl,_yzjb,lniaschetr,1186.573204,16.47%,→000.97%,38.26%,←001.06%,58478866032.90,←000.96%,→001.36%,1.71,→001.72%,1.70,1.73,07.93% │ 09.97% │ 11.98% │ 11.83% │ 08.53%,08.77% │ 11.47% │ 12.16% │ 09.53% │ 07.83%,05.89% │ 09.91% │ 15.28% │ 12.12% │ 06.55%,06.13% │ 11.11% │ 14.94% │ 11.56% │ 06.53%,←001.37% │ ←004.55% │ →001.47% │ ←003.14% │ →002.78%,24.49% │ 63.20% │ 12.31%,→018.16% │ ←003.53% │ ←034.89%,50.24%,49.76%,50.26%,49.74%,29379390144.63,29099475888.27,8682134573,8590875880,6608799722,1415203080,1429029074,3574951385,3624148548
_wumg,rtehc,_vxdk,zpof_,sainl,_yqjb,lniaschetr,1186.403118,16.45%,→000.76%,38.26%,←001.06%,58499628554.73,←000.89%,→001.36%,1.71,→001.72%,1.70,1.73,07.93% │ 09.97% │ 11.98% │ 11.83% │ 08.52%,08.83% │ 11.48% │ 12.11% │ 09.53% │ 07.82%,05.89% │ 09.91% │ 15.25% │ 12.12% │ 06.58%,06.13% │ 11.11% │ 14.94% │ 11.56% │ 06.53%,←001.36% │ ←004.55% │ →001.04% │ ←002.97% │ →003.52%,24.54% │ 63.20% │ 12.26%,→018.55% │ ←003.47% │ ←036.14%,50.22%,49.78%,50.26%,49.74%,29379390144.63,29120238410.10,8682134573,8590875880,6608799722,1415203080,1426031170,3574951385,3624148548
_wumg,rtehc,_vxdk,zfop_,sainl,_yqjb,lniaschetr,1185.474476,16.45%,→000.76%,38.26%,←001.06%,58298729792.53,←001.59%,→001.36%,1.71,→001.72%,1.70,1.73,07.96% │ 10.00% │ 12.02% │ 11.87% │ 08.55%,08.86% │ 11.32% │ 12.14% │ 09.42% │ 07.87%,05.89% │ 09.87% │ 15.25% │ 12.16% │ 06.58%,06.13% │ 11.11% │ 14.94% │ 11.56% │ 06.53%,←001.09% │ ←006.21% │ →000.99% │ ←004.85% │ →003.50%,24.33% │ 63.37% │ 12.30%,→016.74% │ ←003.63% │ ←036.15%,50.39%,49.61%,50.26%,49.74%,29379390144.63,28919339647.90,8682134573,8590875880,6608799722,1415203080,1426031170,3574951385,3624148548
_kumg,rtehc,_wxdv,bpof_,lains,_yqzj,snialchetr,1182.436539,16.16%,←000.39%,38.26%,←001.06%,58816811981.19,←001.27%,→001.36%,1.71,→001.72%,1.70,1.73,07.89% │ 09.68% │ 12.04% │ 11.81% │ 08.89%,08.58% │ 11.84% │ 12.01% │ 09.36% │ 07.90%,06.68% │ 09.80% │ 15.25% │ 12.12% │ 05.89%,06.46% │ 11.11% │ 14.94% │ 11.23% │ 06.53%,→000.14% │ ←003.46% │ ←000.24% │ →000.20% │ ←003.65%,25.69% │ 63.06% │ 11.25%,→036.07% │ ←004.11% │ ←160.81%,50.32%,49.68%,50.26%,49.74%,29594008036.77,29222803944.42,8682134573,8590875880,6608799722,1398469488,1393064356,3574951385,3624148548
_wumg,rtehd,_vxck,jpof_,sainl,_yqzb,lniasdhetr,1181.553045,16.25%,→000.47%,38.26%,←001.06%,58559796956.54,←001.08%,→001.36%,1.71,→001.72%,1.70,1.73,07.91% │ 09.89% │ 12.00% │ 11.19% │ 09.28%,08.96% │ 11.48% │ 12.07% │ 09.40% │ 07.82%,05.89% │ 09.80% │ 15.25% │ 12.12% │ 06.68%,06.62% │ 10.61% │ 14.94% │ 11.56% │ 06.53%,←001.23% │ ←005.15% │ →000.57% │ →002.53% │ ←003.51%,24.63% │ 63.73% │ 11.64%,→019.34% │ ←005.35% │ ←029.89%,50.27%,49.73%,50.26%,49.74%,29436732063.60,29123064892.94,8682134573,8590875880,6608799722,1399911098,1406531804,3574951385,3624148548
_wumg,rtehc,_vxdk,zpof_,sianl,_yqjb,lnaischetr,1181.263450,16.45%,→000.76%,38.26%,←001.06%,58215349910.21,←001.88%,→001.36%,1.71,→001.72%,1.70,1.73,07.97% │ 10.01% │ 12.04% │ 11.88% │ 08.56%,08.89% │ 11.01% │ 12.15% │ 09.57% │ 07.90%,05.89% │ 09.91% │ 15.93% │ 11.44% │ 06.58%,06.13% │ 11.11% │ 14.94% │ 11.56% │ 06.53%,←000.81% │ ←004.62% │ →000.94% │ ←007.88% │ →003.67%,24.51% │ 63.29% │ 12.20%,→017.63% │ ←004.20% │ ←039.24%,50.47%,49.53%,50.26%,49.74%,29379390144.63,28835959765.58,8682134573,8590875880,6608799722,1415203080,1426031170,3574951385,3624148548
_wumg,rtehc,_vxdk,qpof_,sianl,_yzjb,lnaischetr,1180.959620,16.47%,→000.97%,38.26%,←001.06%,58192950801.38,←001.96%,→001.36%,1.71,→001.72%,1.70,1.73,07.97% │ 10.02% │ 12.04% │ 11.89% │ 08.57%,08.82% │ 11.01% │ 12.21% │ 09.58% │ 07.91%,05.89% │ 09.91% │ 15.96% │ 11.44% │ 06.55%,06.13% │ 11.11% │ 14.94% │ 11.56% │ 06.53%,←000.82% │ ←004.62% │ →001.35% │ ←008.02% │ →002.86%,24.45% │ 63.30% │ 12.25%,→017.19% │ ←004.25% │ ←037.94%,50.49%,49.51%,50.26%,49.74%,29379390144.63,28813560656.75,8682134573,8590875880,6608799722,1415203080,1429029074,3574951385,3624148548
_wumg,rtehd,_vxck,jpof_,sianl,_yqzb,lnaisdhetr,1180.889688,16.25%,→000.47%,38.26%,←001.06%,58270250172.42,←002.09%,→001.36%,1.71,→001.72%,1.70,1.73,07.95% │ 09.94% │ 12.06% │ 11.25% │ 09.32%,09.01% │ 11.00% │ 12.13% │ 09.45% │ 07.90%,05.89% │ 09.80% │ 15.93% │ 11.44% │ 06.68%,06.62% │ 10.61% │ 14.94% │ 11.56% │ 06.53%,←000.68% │ ←005.16% │ →000.56% │ ←002.26% │ ←003.48%,24.59% │ 63.83% │ 11.58%,→018.38% │ ←006.10% │ ←032.82%,50.52%,49.48%,50.26%,49.74%,29436732063.60,28833518108.82,8682134573,8590875880,6608799722,1399911098,1406531804,3574951385,3624148548
_wumg,rtehd,_vxck,jpof_,sainl,_yzqb,lniasdhetr,1180.685857,16.25%,→000.47%,38.26%,←001.06%,58564801304.50,←001.06%,→001.36%,1.71,→001.72%,1.70,1.73,07.91% │ 09.89% │ 12.00% │ 11.19% │ 09.28%,08.96% │ 11.48% │ 12.13% │ 09.36% │ 07.81%,05.89% │ 09.78% │ 15.28% │ 12.12% │ 06.68%,06.62% │ 10.61% │ 14.94% │ 11.56% │ 06.53%,←001.23% │ ←005.65% │ →001.03% │ →002.50% │ ←003.52%,24.63% │ 63.73% │ 11.64%,→019.35% │ ←005.34% │ ←029.72%,50.26%,49.74%,50.26%,49.74%,29436732063.60,29128069240.90,8682134573,8590875880,6608799722,1399911098,1406531804,3574951385,3624148548
_kumg,rtehc,_wzdv,bpof_,lains,_yxjq,snialchetr,1180.645376,16.07%,→001.67%,38.39%,←000.81%,58778763798.39,←000.98%,→001.90%,1.71,→001.92%,1.69,1.73,07.90% │ 09.66% │ 11.97% │ 11.82% │ 08.89%,08.58% │ 11.85% │ 12.13% │ 09.49% │ 07.71%,06.55% │ 09.91% │ 15.34% │ 12.12% │ 05.89%,06.46% │ 11.11% │ 14.88% │ 11.23% │ 06.53%,←002.44% │ ←001.85% │ →001.26% │ →000.27% │ ←003.57%,25.73% │ 63.08% │ 11.19%,→036.16% │ ←004.16% │ ←154.39%,50.24%,49.76%,50.20%,49.80%,29532162576.29,29246601222.10,8671251280,8601759173,6631309744,1376537246,1399863873,3553885641,3622704270
_wumg,rtehc,_vzdk,xpof_,sianl,_yqjb,lnaischetr,1180.325653,16.27%,→001.72%,38.39%,←000.81%,58208661253.82,←001.48%,→001.90%,1.71,→001.92%,1.69,1.73,07.97% │ 09.99% │ 11.96% │ 11.88% │ 08.56%,08.96% │ 11.06% │ 12.13% │ 09.57% │ 07.90%,05.89% │ 09.91% │ 15.93% │ 11.44% │ 06.64%,06.13% │ 11.11% │ 14.88% │ 11.56% │ 06.53%,←000.83% │ ←004.34% │ →001.39% │ ←007.44% │ →004.50%,24.62% │ 63.29% │ 12.09%,→018.27% │ ←004.23% │ ←037.22%,50.37%,49.63%,50.20%,49.80%,29317502180.07,28891159073.75,8671251280,8601759173,6631309744,1393126444,1417568439,3553885641,3622704270
_wumg,rtehd,_vkcx,qfop_,sainl,_yzjb,lniasdhetr,1180.302169,16.38%,→002.04%,38.26%,←001.06%,58213463144.16,←001.44%,→001.36%,1.71,→001.72%,1.70,1.73,07.96% │ 09.95% │ 12.77% │ 11.26% │ 08.42%,08.81% │ 11.31% │ 12.21% │ 09.43% │ 07.88%,05.89% │ 09.87% │ 15.28% │ 12.16% │ 06.55%,06.07% │ 10.61% │ 15.49% │ 11.56% │ 06.53%,←000.94% │ ←005.55% │ ←004.60% │ →000.51% │ →004.39%,24.29% │ 64.02% │ 11.69%,→016.44% │ ←005.56% │ ←022.05%,50.36%,49.64%,50.26%,49.74%,29314827693.32,28898635450.84,8682134573,8590875880,6608799722,1399911098,1429029074,3574951385,3624148548
_wumg,rtehd,_vkcx,qpof_,sianl,_yzjb,lnaisdhetr,1180.189407,16.38%,→002.04%,38.26%,←001.06%,58128388350.07,←001.74%,→001.36%,1.71,→001.72%,1.70,1.73,07.97% │ 09.97% │ 12.79% │ 11.27% │ 08.43%,08.83% │ 11.02% │ 12.22% │ 09.59% │ 07.92%,05.89% │ 09.91% │ 15.96% │ 11.44% │ 06.55%,06.07% │ 10.61% │ 15.49% │ 11.56% │ 06.53%,←000.66% │ ←003.96% │ ←004.67% │ ←002.33% │ →004.50%,24.46% │ 63.95% │ 11.59%,→017.30% │ ←006.13% │ ←024.80%,50.43%,49.57%,50.26%,49.74%,29314827693.32,28813560656.75,8682134573,8590875880,6608799722,1399911098,1429029074,3574951385,3624148548
_wumg,rtehd,_vxck,jpof_,sianl,_yzqb,lnaisdhetr,1180.022801,16.25%,→000.47%,38.26%,←001.06%,58275480549.04,←002.07%,→001.36%,1.71,→001.72%,1.70,1.73,07.95% │ 09.93% │ 12.06% │ 11.24% │ 09.32%,09.01% │ 10.99% │ 12.19% │ 09.40% │ 07.90%,05.89% │ 09.78% │ 15.96% │ 11.44% │ 06.68%,06.62% │ 10.61% │ 14.94% │ 11.56% │ 06.53%,←000.69% │ ←005.70% │ →001.04% │ ←002.28% │ ←003.48%,24.59% │ 63.83% │ 11.59%,→018.38% │ ←006.09% │ ←032.71%,50.51%,49.49%,50.26%,49.74%,29436732063.60,28838748485.44,8682134573,8590875880,6608799722,1399911098,1406531804,3574951385,3624148548
_kumg,rtehc,_wzdv,bfop_,lains,_yxqj,snialchetr,1179.807935,16.07%,→001.67%,38.39%,←000.81%,58617526465.81,←001.54%,→001.90%,1.71,→001.92%,1.69,1.73,07.92% │ 09.69% │ 12.01% │ 11.85% │ 08.91%,08.59% │ 11.69% │ 12.16% │ 09.24% │ 07.93%,06.68% │ 09.74% │ 15.34% │ 12.16% │ 05.89%,06.46% │ 11.11% │ 14.88% │ 11.23% │ 06.53%,→000.19% │ ←004.87% │ →001.29% │ ←001.43% │ ←003.70%,25.54% │ 63.20% │ 11.26%,→035.12% │ ←004.35% │ ←151.85%,50.38%,49.62%,50.20%,49.80%,29532162576.29,29085363889.52,8671251280,8601759173,6631309744,1376537246,1399863873,3553885641,3622704270
_kumg,rtehc,_wzdv,bpof_,lians,_yqxj,snailchetr,1179.074726,16.07%,→001.67%,38.39%,←000.81%,58407198150.25,←002.28%,→001.90%,1.71,→001.92%,1.69,1.73,07.95% │ 09.73% │ 12.05% │ 11.90% │ 08.94%,08.58% │ 11.29% │ 12.14% │ 09.49% │ 07.95%,06.68% │ 09.87% │ 15.93% │ 11.44% │ 05.89%,06.46% │ 11.11% │ 14.88% │ 11.23% │ 06.53%,←000.02% │ ←002.45% │ →000.70% │ ←005.39% │ ←004.29%,25.71% │ 63.10% │ 11.19%,→035.42% │ ←005.45% │ ←160.58%,50.56%,49.44%,50.20%,49.80%,29532162576.29,28875035573.96,8671251280,8601759173,6631309744,1376537246,1399863873,3553885641,3622704270
_kumg,rtehc,_wxdv,bpof_,lians,_yzqj,snailchetr,1178.864217,16.16%,←000.39%,38.26%,←001.06%,58421672854.23,←002.66%,→001.36%,1.71,→001.72%,1.70,1.73,07.94% │ 09.75% │ 12.12% │ 11.89% │ 08.95%,08.57% │ 11.25% │ 12.21% │ 09.37% │ 07.94%,06.68% │ 09.78% │ 15.96% │ 11.44% │ 05.89%,06.46% │ 11.11% │ 14.94% │ 11.23% │ 06.53%,←000.01% │ ←004.00% │ →000.72% │ ←005.77% │ ←004.37%,25.68% │ 63.09% │ 11.23%,→035.31% │ ←005.42% │ ←169.51%,50.66%,49.34%,50.26%,49.74%,29594008036.77,28827664817.46,8682134573,8590875880,6608799722,1398469488,1393064356,3574951385,3624148548
_kumg,rtehc,_wzdv,bpof_,lians,_yxqj,snailchetr,1177.998506,16.07%,→001.67%,38.39%,←000.81%,58406853987.68,←002.28%,→001.90%,1.71,→001.92%,1.69,1.73,07.95% │ 09.73% │ 12.05% │ 11.90% │ 08.94%,08.58% │ 11.29% │ 12.25% │ 09.38% │ 07.95%,06.68% │ 09.78% │ 16.02% │ 11.44% │ 05.89%,06.46% │ 11.11% │ 14.88% │ 11.23% │ 06.53%,←000.02% │ ←003.72% │ →001.67% │ ←005.42% │ ←004.29%,25.71% │ 63.10% │ 11.19%,→035.42% │ ←005.45% │ ←160.69%,50.56%,49.44%,50.20%,49.80%,29532162576.29,28874691411.39,8671251280,8601759173,6631309744,1376537246,1399863873,3553885641,3622704270
