keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
pbmuv,daerl,zxfwj,__sgq,hiton,kcy__,daerlhiton,997.303525,19.30%,←001.18%,35.73%,→001.93%,59328212408.84,←000.73%,→001.93%,1.79,→000.00%,1.79,1.79,08.40% │ 09.91% │ 13.40% │ 10.36% │ 08.11%,08.13% │ 10.04% │ 13.17% │ 09.65% │ 08.83%,06.10% │ 10.08% │ 16.76% │ 11.00% │ 05.57%,07.59% │ 09.61% │ 16.95% │ 10.92% │ 05.43%,→004.87% │ ←002.61% │ ←001.81% │ ←003.18% │ →000.19%,22.96% │ 64.53% │ 12.51%,←042.03% │ →004.21% │ →030.32%,50.18%,49.82%,49.51%,50.49%,29771913581.57,29556298827.27,8552337878,8720672575,6170842379,1676515851,1656968657,3781253305,3855803971
_ymg_,doenr,kxfcq,busp_,hatil,_vwzj,litahrneod,926.930018,18.24%,→001.42%,36.69%,←001.14%,58283545141.73,→000.84%,→000.35%,1.76,→001.12%,1.75,1.77,05.81% │ 09.40% │ 13.41% │ 11.95% │ 09.21%,09.30% │ 12.28% │ 13.06% │ 09.90% │ 05.67%,04.57% │ 09.46% │ 16.76% │ 12.87% │ 06.63%,04.50% │ 09.86% │ 16.93% │ 12.13% │ 06.30%,←002.38% │ →004.99% │ ←002.70% │ →002.69% │ →000.91%,22.93% │ 64.95% │ 12.12%,→048.42% │ ←007.40% │ ←121.80%,49.79%,50.21%,50.28%,49.72%,29019200196.67,29264344945.06,8685253847,8587756606,6337533040,1563621975,1586133138,3728607895,3741758720
wbofy,mrael,jv___,qgup_,sitnh,zcdkx,hntislearm,911.420153,18.08%,→001.44%,37.02%,→001.16%,58987832126.33,→000.16%,←002.34%,1.75,←002.65%,1.78,1.73,06.31% │ 09.14% │ 12.60% │ 13.10% │ 08.81%,08.82% │ 13.10% │ 12.61% │ 09.23% │ 06.28%,04.53% │ 09.23% │ 15.83% │ 14.16% │ 05.97%,04.87% │ 10.38% │ 15.40% │ 12.97% │ 06.68%,←000.33% │ →000.99% │ →000.08% │ ←000.02% │ →000.03%,26.42% │ 61.34% │ 12.24%,←109.74% │ →002.85% │ →082.27%,49.96%,50.04%,49.71%,50.29%,29470394931.86,29517437194.47,8586126244,8686884209,6394401183,1550493301,1573107362,3749697243,3663801229
_mgup,hread,xzfyk,qlsj_,ntioc,__wbv,coitndaerh,883.528207,16.87%,←000.93%,39.58%,→000.76%,59519078259.63,→000.60%,→000.57%,1.68,←000.13%,1.68,1.68,05.50% │ 09.15% │ 13.34% │ 12.30% │ 09.56%,10.09% │ 12.11% │ 13.19% │ 09.13% │ 05.63%,04.87% │ 09.26% │ 16.21% │ 12.75% │ 06.72%,04.41% │ 09.41% │ 15.73% │ 13.06% │ 07.59%,→002.25% │ ←000.21% │ ←001.12% │ ←001.58% │ →005.26%,23.91% │ 64.30% │ 11.79%,→001.32% │ →002.09% │ ←009.56%,49.85%,50.15%,49.81%,50.19%,29670562840.69,29848515418.94,8603357951,8669652502,6837054220,1463720576,1450258200,3475393090,3495452345
jbmfu,lread,_xcw_,kgnyq,sitoh,zpv__,lreadsitoh,861.912508,17.91%,←000.51%,37.82%,→002.03%,57885224046.88,←000.53%,→002.17%,1.73,→000.11%,1.73,1.73,05.74% │ 08.12% │ 14.79% │ 11.58% │ 09.90%,09.96% │ 11.15% │ 13.93% │ 08.73% │ 06.10%,04.50% │ 08.34% │ 17.90% │ 12.15% │ 06.60%,04.78% │ 09.26% │ 17.36% │ 11.78% │ 07.32%,→005.81% │ →007.03% │ ←006.19% │ ←003.88% │ →000.60%,25.69% │ 63.79% │ 10.51%,→009.14% │ →001.90% │ ←050.20%,50.13%,49.87%,49.49%,50.51%,29019757186.32,28865466860.56,8548159510,8724850943,6531864838,1550889137,1543036470,3598160653,3677874164
__lmw,hretc,vuxbz,kfopq,dinas,jgy__,sanidcterh,860.988762,16.87%,→001.45%,38.84%,→001.35%,57910966545.01,←001.16%,←001.44%,1.70,←001.97%,1.71,1.68,07.53% │ 09.29% │ 14.76% │ 11.71% │ 07.00%,06.79% │ 11.14% │ 14.52% │ 09.38% │ 07.89%,05.76% │ 09.31% │ 16.43% │ 13.02% │ 05.15%,06.55% │ 10.42% │ 16.75% │ 11.82% │ 04.80%,→004.52% │ →000.98% │ ←001.71% │ ←005.06% │ ←003.14%,24.58% │ 62.75% │ 12.67%,→028.55% │ ←005.57% │ ←061.16%,50.29%,49.71%,49.66%,50.34%,29122426079.96,28788540465.05,8577638033,8695372420,6709480354,1445977105,1467246974,3574584919,3523834382
_mupk,rneod,zxfw_,jylb_,hitas,_gcvq,satihdoenr,837.917352,17.62%,←000.61%,36.49%,→000.62%,57589722740.21,→001.64%,←000.27%,1.77,←000.69%,1.77,1.76,08.37% │ 09.56% │ 13.69% │ 11.22% │ 06.74%,07.39% │ 10.96% │ 13.25% │ 11.04% │ 07.78%,06.66% │ 10.28% │ 16.93% │ 11.40% │ 04.57%,06.55% │ 10.97% │ 16.39% │ 11.34% │ 04.91%,←007.71% │ →013.42% │ ←003.34% │ ←002.35% │ →008.76%,19.15% │ 67.40% │ 13.45%,←012.42% │ ←002.99% │ →035.87%,49.59%,50.41%,49.85%,50.15%,28556146719.32,29033576020.89,8609738045,8663272408,6303292786,1526606268,1517363058,3757426131,3747180738
zpumk,hretc,xywgv,_dof_,sinal,__bqj,hretcsinal,710.152936,16.64%,→001.47%,38.01%,←001.69%,58264277826.51,←001.97%,←000.89%,1.72,→000.57%,1.72,1.73,06.45% │ 10.52% │ 14.62% │ 11.82% │ 07.07%,08.65% │ 11.36% │ 14.23% │ 09.67% │ 05.60%,05.00% │ 10.38% │ 16.44% │ 13.45% │ 05.15%,04.50% │ 10.56% │ 16.67% │ 11.41% │ 06.45%,←015.17% │ ←008.81% │ ←002.71% │ ←004.06% │ →018.18%,25.39% │ 63.63% │ 10.98%,→036.17% │ ←001.75% │ ←243.64%,50.49%,49.51%,50.42%,49.58%,29416352992.20,28847924834.31,8709023612,8563986841,6566010636,1426699202,1447969826,3636964503,3604924516
kpluy,raesd,___vx,qgcw_,hiton,jfmbz,notihdsear,703.007739,18.10%,→000.01%,36.10%,→000.20%,58280859794.46,→000.58%,→000.18%,1.78,←000.02%,1.78,1.78,09.61% │ 09.76% │ 12.40% │ 09.63% │ 08.45%,07.42% │ 11.84% │ 10.46% │ 11.39% │ 09.03%,07.28% │ 10.42% │ 16.24% │ 10.30% │ 05.72%,07.62% │ 10.87% │ 14.73% │ 11.82% │ 05.01%,←006.35% │ →014.27% │ ←018.47% │ →018.64% │ ←013.94%,23.31% │ 66.83% │ 09.87%,←076.04% │ ←000.13% │ →081.28%,49.85%,50.15%,49.95%,50.05%,29055478323.78,29225381470.68,8627805299,8645205154,6236087279,1563567428,1563678978,3782496702,3789315674
jgmup,noerd,_zxf_,qylb_,hitas,kcwv_,satihdreon,671.443340,18.55%,←000.46%,35.20%,→001.24%,58269893979.82,→001.88%,←000.77%,1.81,←001.64%,1.82,1.79,09.42% │ 09.87% │ 09.78% │ 11.50% │ 08.97%,08.47% │ 12.74% │ 10.70% │ 11.00% │ 07.57%,07.72% │ 09.74% │ 14.76% │ 11.49% │ 05.97%,06.45% │ 10.97% │ 14.75% │ 12.62% │ 05.53%,←024.41% │ →010.29% │ →008.57% │ →009.78% │ ←005.89%,22.08% │ 66.36% │ 11.56%,←055.22% │ →000.13% │ →065.91%,49.53%,50.47%,49.69%,50.31%,28858484708.47,29411409271.35,8582703550,8690306903,6080550362,1605871073,1598594208,3878449820,3848899473
_gubk,rneod,_vwfz,_ylcq,sitah,_pmxj,hatisdoenr,594.746049,18.41%,←001.50%,35.83%,→001.39%,58310208156.82,→002.41%,→001.48%,1.79,→000.07%,1.79,1.79,07.99% │ 10.38% │ 13.14% │ 11.02% │ 06.86%,08.55% │ 10.91% │ 12.37% │ 12.17% │ 06.61%,06.53% │ 10.62% │ 16.44% │ 11.37% │ 04.70%,05.01% │ 11.79% │ 15.67% │ 11.44% │ 06.45%,←020.91% │ →014.73% │ ←006.20% │ ←001.00% │ →019.73%,19.82% │ 67.42% │ 12.76%,→017.77% │ ←002.22% │ →000.44%,49.39%,50.61%,49.65%,50.35%,28799074281.89,29511133874.93,8576217918,8696792535,6188199054,1601842155,1578098839,3781483618,3838216983
