keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_pumy,hterc,kzqdv,bfow_,lians,_gxj_,hterclians,1190.683744,16.89%,←000.25%,37.39%,←001.65%,57439019960.95,←001.74%,→000.55%,1.74,→001.60%,1.73,1.76,07.39% │ 09.42% │ 12.86% │ 11.94% │ 08.83%,08.60% │ 11.65% │ 12.61% │ 09.00% │ 07.70%,05.43% │ 11.07% │ 14.85% │ 12.96% │ 06.11%,05.89% │ 11.82% │ 16.02% │ 09.41% │ 06.45%,→004.11% │ ←004.59% │ ←001.97% │ ←002.43% │ ←002.71%,26.47%,62.99%,10.54%,→022.50% │ →000.87% │ ←148.61%,50.43%,49.57%,50.41%,49.59%,28966698054.22,28472321906.73,8707116483,8565893970,6457569108,1460673094,1456959522,3665104073,3685226474
_pumy,hterc,kqzdv,bfow_,lians,_gxj_,hterclians,1190.409136,16.89%,←000.25%,37.39%,←001.65%,57435284781.07,←001.72%,→000.55%,1.74,→001.60%,1.73,1.76,07.39% │ 09.38% │ 12.89% │ 11.94% │ 08.83%,08.60% │ 11.65% │ 12.61% │ 09.00% │ 07.70%,05.43% │ 11.04% │ 14.88% │ 12.96% │ 06.11%,05.89% │ 11.82% │ 16.02% │ 09.41% │ 06.45%,→004.12% │ ←004.18% │ ←002.22% │ ←002.43% │ ←002.71%,26.47%,63.00%,10.53%,→022.58% │ →000.84% │ ←148.44%,50.43%,49.57%,50.41%,49.59%,28962962874.34,28472321906.73,8707116483,8565893970,6457569108,1460673094,1456959522,3665104073,3685226474
_pumk,hterc,vzqdy,bfow_,lians,_gxj_,hterclians,1190.401738,16.89%,←000.26%,37.39%,←001.65%,57425677643.64,←001.69%,→000.55%,1.74,→001.60%,1.73,1.76,07.82% │ 09.42% │ 12.87% │ 11.94% │ 08.36%,08.60% │ 11.66% │ 12.62% │ 09.01% │ 07.70%,05.76% │ 11.07% │ 14.85% │ 12.96% │ 05.78%,05.89% │ 11.82% │ 16.02% │ 09.41% │ 06.45%,←001.43% │ ←004.65% │ ←002.05% │ ←002.45% │ →002.74%,24.86%,63.01%,12.13%,→033.40% │ →000.84% │ ←201.32%,50.42%,49.58%,50.41%,49.59%,28953355736.91,28472321906.73,8707116483,8565893970,6457569108,1460815608,1456959522,3665104073,3685226474
_pumj,hterd,vkzcy,bwof_,lians,_gqx_,hterdlians,1189.836913,16.53%,←001.13%,37.53%,←002.18%,57390305912.69,←001.77%,←000.07%,1.74,→001.53%,1.72,1.75,07.72% │ 10.18% │ 12.87% │ 11.44% │ 08.22%,08.60% │ 11.09% │ 12.43% │ 09.74% │ 07.71%,05.76% │ 11.69% │ 14.88% │ 12.46% │ 05.76%,05.89% │ 11.33% │ 15.93% │ 09.87% │ 06.45%,←000.24% │ ←004.57% │ ←003.58% │ ←003.19% │ →004.48%,24.03%,63.62%,12.35%,→040.63% │ ←001.16% │ ←232.26%,50.44%,49.56%,50.54%,49.46%,28946482194.54,28443823718.15,8729667683,8543342770,6482828789,1435361974,1419318717,3663769312,3661301554
_mpug,hterd,vjqcz,wfob_,lians,_yxk_,hterdlians,1189.721139,16.45%,←000.12%,37.89%,←000.96%,58057911676.20,←001.34%,←000.32%,1.73,→000.46%,1.72,1.73,07.76% │ 09.95% │ 11.89% │ 12.38% │ 08.35%,08.50% │ 11.56% │ 12.36% │ 09.58% │ 07.67%,05.76% │ 11.63% │ 14.22% │ 12.64% │ 06.00%,05.96% │ 11.48% │ 16.02% │ 09.86% │ 06.45%,←001.08% │ ←003.90% │ →003.78% │ ←007.16% │ →001.76%,26.70%,63.64%,09.66%,→018.62% │ ←002.87% │ ←070.15%,50.33%,49.67%,50.24%,49.76%,29222794356.96,28835117319.24,8677912663,8595097790,6544832528,1421420077,1419657546,3637351681,3625715446
_pumj,hterd,vkzcy,wbof_,lians,_gqx_,hterdlians,1189.679328,16.53%,←001.13%,37.53%,←002.18%,57494737052.34,←001.39%,←000.07%,1.74,→001.53%,1.72,1.75,07.71% │ 10.16% │ 12.85% │ 11.42% │ 08.20%,08.60% │ 11.16% │ 12.45% │ 09.75% │ 07.69%,05.76% │ 11.69% │ 14.88% │ 12.46% │ 05.76%,05.96% │ 11.26% │ 15.93% │ 09.87% │ 06.45%,←000.24% │ ←004.24% │ ←003.20% │ ←002.34% │ →004.64%,24.09%,63.58%,12.33%,→041.03% │ ←000.91% │ ←232.27%,50.35%,49.65%,50.54%,49.46%,28946482194.54,28548254857.80,8729667683,8543342770,6482828789,1435361974,1419318717,3663769312,3661301554
_mpuw,hterd,vzqck,byof_,lains,_gxj_,hterdlains,1189.663386,16.71%,→000.92%,37.70%,←001.60%,58231260048.20,←001.62%,→000.21%,1.73,→001.30%,1.72,1.74,07.80% │ 09.80% │ 11.99% │ 12.05% │ 08.76%,08.55% │ 11.62% │ 12.19% │ 09.61% │ 07.62%,05.76% │ 11.53% │ 14.22% │ 12.64% │ 06.26%,05.89% │ 12.02% │ 15.34% │ 09.91% │ 06.45%,←002.35% │ ←001.99% │ →001.69% │ ←003.68% │ ←002.47%,26.89%,63.16%,09.95%,→028.49% │ ←004.06% │ ←135.28%,50.40%,49.60%,50.40%,49.60%,29349588309.45,28881671738.75,8704947158,8568063295,6511938972,1436352917,1449703086,3644145982,3651814701
_mpug,hterd,vjzcx,bfow_,lains,_yqk_,hterdlains,1189.456808,16.42%,←001.89%,37.85%,←001.34%,58403571435.95,←000.86%,←001.19%,1.73,→000.11%,1.73,1.73,07.71% │ 09.93% │ 11.92% │ 12.24% │ 08.41%,08.50% │ 11.74% │ 12.31% │ 09.59% │ 07.64%,05.76% │ 11.63% │ 14.24% │ 12.64% │ 06.07%,05.89% │ 12.16% │ 15.25% │ 09.93% │ 06.45%,←000.96% │ ←003.47% │ →003.18% │ ←004.29% │ →001.07%,26.66%,63.51%,09.83%,→019.65% │ ←002.42% │ ←070.95%,50.21%,49.79%,50.33%,49.67%,29326522695.87,29077048740.08,8693822288,8579188165,6537277614,1431659768,1405100762,3656808886,3613813155
_mpuw,hterd,vqzck,byof_,lains,_gxj_,hterdlains,1189.304254,16.71%,→000.92%,37.70%,←001.60%,58233601382.09,←001.63%,→000.21%,1.73,→001.30%,1.72,1.74,07.80% │ 09.77% │ 12.03% │ 12.05% │ 08.76%,08.55% │ 11.62% │ 12.19% │ 09.61% │ 07.62%,05.76% │ 11.50% │ 14.24% │ 12.64% │ 06.26%,05.89% │ 12.02% │ 15.34% │ 09.91% │ 06.45%,←002.34% │ ←001.62% │ →001.36% │ ←003.68% │ ←002.47%,26.89%,63.16%,09.95%,→028.49% │ ←004.09% │ ←135.09%,50.40%,49.60%,50.40%,49.60%,29351929643.34,28881671738.75,8704947158,8568063295,6511938972,1436352917,1449703086,3644145982,3651814701
_pumy,hterc,kzqdv,bfow_,lains,_gxj_,hterclains,1187.644438,16.89%,←000.25%,37.39%,←001.65%,57726521192.39,←000.72%,→000.55%,1.74,→001.60%,1.73,1.76,07.35% │ 09.37% │ 12.80% │ 11.88% │ 08.79%,08.62% │ 11.94% │ 12.63% │ 08.95% │ 07.68%,05.43% │ 11.07% │ 14.85% │ 12.96% │ 06.11%,05.89% │ 12.51% │ 15.34% │ 09.41% │ 06.45%,→004.25% │ ←004.65% │ ←001.31% │ →000.57% │ ←001.99%,26.50%,63.03%,10.47%,→023.31% │ →001.98% │ ←149.84%,50.18%,49.82%,50.41%,49.59%,28966698054.22,28759823138.17,8707116483,8565893970,6457569108,1460673094,1456959522,3665104073,3685226474
