keys_1, keys_2, keys_3, keys_4, keys_5, keys_6, fitness, count_ratio, effort, left_effort, left_effort_ratio, left_count, left_count_ratio, right_effort, right_effort_ratio, right_count, right_count_ratio, bigram_switches, switch_ratio, row_switch_cost, row_switch_ratio
_cthq, usnig, zkwd_, jfom_, paerl, _ybvx, 5.3316, 0.99, 15503921.54, 7901341.73, 50.96%, 2474915, 49.64%, 7602579.81, 49.04%, 2510777, 50.36%, 1793453, 35.97%, 1095100, 21.96%
jmofx, lreap, _vby_, qhtc_, ginsu, _dwkz, 5.3286, 1.01, 15515063.24, 7613721.51, 49.07%, 2510777, 50.36%, 7901341.73, 50.93%, 2474915, 49.64%, 1793453, 35.97%, 1093468, 21.93%
xmofj, lreap, _vby_, qhtc_, ginsu, _dwkz, 5.3284, 1.01, 15515649.99, 7614308.26, 49.08%, 2510777, 50.36%, 7901341.73, 50.92%, 2474915, 49.64%, 1793453, 35.97%, 1093468, 21.93%
_cthq, usnik, zgwd_, jfom_, paerl, _ybvx, 5.3280, 0.99, 15438755.09, 7836175.28, 50.76%, 2474915, 49.64%, 7602579.81, 49.24%, 2510777, 50.36%, 1793453, 35.97%, 1149409, 23.05%
_cthz, usnig, qkwd_, jfom_, paerl, _ybvx, 5.3278, 0.99, 15516056.00, 7913476.20, 51.00%, 2474915, 49.64%, 7602579.81, 49.00%, 2510777, 50.36%, 1793453, 35.97%, 1094478, 21.95%
_cthq, usnig, zkwd_, xfom_, paerl, _ybvj, 5.3277, 0.99, 15508374.22, 7901341.73, 50.95%, 2474915, 49.64%, 7607032.48, 49.05%, 2510777, 50.36%, 1793453, 35.97%, 1100136, 22.07%
jmofx, lreap, _vby_, _htc_, ginsu, qdwkz, 5.3273, 1.01, 15518243.65, 7613721.51, 49.06%, 2510777, 50.36%, 7904522.14, 50.94%, 2474915, 49.64%, 1793453, 35.97%, 1093778, 21.94%
qmofj, lreap, xvby_, _htc_, ginsu, _dwkz, 5.3263, 1.02, 15520830.47, 7642670.77, 49.24%, 2515759, 50.46%, 7878159.70, 50.76%, 2469933, 49.54%, 1797311, 36.05%, 1091320, 21.89%
jmofq, lreap, xvby_, _htc_, ginsu, _dwkz, 5.3262, 1.02, 15521104.10, 7642944.40, 49.24%, 2515759, 50.46%, 7878159.70, 50.76%, 2469933, 49.54%, 1797311, 36.05%, 1091320, 21.89%
jmofx, lreap, qvby_, _htc_, ginsu, _dwkz, 5.3259, 1.02, 15524115.37, 7645955.67, 49.25%, 2515759, 50.46%, 7878159.70, 50.75%, 2469933, 49.54%, 1797311, 36.05%, 1089850, 21.86%
_cthq, usnig, zkwd_, jfom_, paerl, _byvx, 5.3259, 0.99, 15520664.51, 7901341.73, 50.91%, 2474915, 49.64%, 7619322.78, 49.09%, 2510777, 50.36%, 1793453, 35.97%, 1095100, 21.96%
