keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
bpmu_,dneal,_vxwy,_cofj,rtsih,_gqzk,histrlaend,1159.492833,18.34%,→000.19%,37.52%,→001.46%,58813197528.12,→000.88%,→001.75%,1.74,→000.22%,1.73,1.74,07.51% │ 09.84% │ 10.99% │ 12.40% │ 09.04%,08.74% │ 12.94% │ 11.29% │ 09.89% │ 07.37%,05.44% │ 10.71% │ 14.76% │ 12.74% │ 05.97%,06.53% │ 14.17% │ 14.11% │ 09.90% │ 05.66%,←001.95% │ →000.54% │ →002.63% │ →004.18% │ ←003.51%,26.60%,62.86%,10.54%,→026.17% │ ←003.23% │ ←064.28%,49.78%,50.22%,49.63%,50.37%,29276629531.43,29536567996.69,8572816048,8700194405,6481533064,1582387234,1585326362,3630795519,3695571072
bpmu_,dneal,_vxwy,_cofj,rtsih,_gzqk,histrlaend,1159.387816,18.34%,→000.19%,37.52%,→001.46%,58811123369.78,→000.87%,→001.75%,1.74,→000.22%,1.73,1.74,07.51% │ 09.84% │ 10.99% │ 12.40% │ 09.04%,08.74% │ 12.94% │ 11.34% │ 09.83% │ 07.37%,05.44% │ 10.71% │ 14.76% │ 12.74% │ 05.97%,06.53% │ 14.17% │ 14.14% │ 09.87% │ 05.66%,←001.95% │ ←000.03% │ →003.10% │ →004.18% │ ←003.51%,26.60%,62.85%,10.55%,→026.18% │ ←003.24% │ ←064.25%,49.78%,50.22%,49.63%,50.37%,29276629531.43,29534493838.35,8572816048,8700194405,6481533064,1582387234,1585326362,3630795519,3695571072
jgcuk,sntih,_vmpz,bof__,dlear,xqwy_,sntihdlear,1159.021596,16.60%,→001.29%,38.80%,←000.35%,58631360378.58,→000.40%,←001.58%,1.70,←000.85%,1.71,1.69,07.98% │ 10.01% │ 10.95% │ 12.64% │ 08.33%,08.03% │ 13.03% │ 11.00% │ 09.59% │ 08.45%,06.68% │ 10.62% │ 14.73% │ 12.51% │ 05.55%,05.63% │ 11.93% │ 15.85% │ 09.97% │ 06.53%,→005.65% │ ←004.37% │ →000.49% │ →002.99% │ ←003.79%,25.27%,62.30%,12.43%,→019.82% │ ←001.43% │ ←041.62%,49.90%,50.10%,50.09%,49.91%,29257665244.89,29373695133.69,8651740861,8621269592,6701092352,1424288895,1442953200,3581169061,3525638242
xbcuk,sntih,_vmpj,wof__,dlear,qzgy_,sntihdlear,1158.102320,14.92%,←000.01%,40.08%,→001.11%,58055015778.02,→001.88%,→001.76%,1.66,→000.43%,1.66,1.67,07.99% │ 09.13% │ 11.12% │ 12.86% │ 08.43%,08.07% │ 12.98% │ 11.32% │ 09.55% │ 08.56%,06.64% │ 10.19% │ 14.73% │ 12.51% │ 05.66%,05.61% │ 11.96% │ 16.21% │ 09.97% │ 06.53%,→006.63% │ →004.42% │ →001.79% │ →000.94% │ ←004.52%,24.69%,62.49%,12.82%,→026.77% │ ←001.97% │ ←042.74%,49.52%,50.48%,49.72%,50.28%,28751723974.74,29303291803.28,8588169611,8684840842,6923847503,1288705454,1288542230,3411541796,3472510356
bpum_,dneal,_vxwy,_cofj,rtsih,_gqzk,histrlaend,1158.059234,18.34%,→000.19%,37.52%,→001.46%,58916964562.86,→000.53%,→001.75%,1.74,→000.22%,1.73,1.74,07.48% │ 09.71% │ 11.33% │ 12.37% │ 08.98%,08.72% │ 12.92% │ 11.27% │ 09.87% │ 07.35%,05.44% │ 10.71% │ 14.94% │ 12.56% │ 05.97%,06.53% │ 14.17% │ 14.11% │ 09.90% │ 05.66%,←001.69% │ →001.64% │ ←000.52% │ →004.24% │ ←003.00%,26.57%,62.89%,10.53%,→026.03% │ ←003.71% │ ←064.44%,49.87%,50.13%,49.63%,50.37%,29380396566.17,29536567996.69,8572816048,8700194405,6481533064,1582387234,1585326362,3630795519,3695571072
xbcuk,sntih,_vmpj,wof__,dlear,zqgy_,sntihdlear,1157.946859,14.92%,←000.01%,40.08%,→001.11%,58081867404.20,→001.97%,→001.76%,1.66,→000.43%,1.66,1.67,07.98% │ 09.12% │ 11.12% │ 12.85% │ 08.43%,08.11% │ 12.94% │ 11.34% │ 09.56% │ 08.55%,06.64% │ 10.19% │ 14.73% │ 12.51% │ 05.66%,05.64% │ 11.93% │ 16.21% │ 09.97% │ 06.53%,→006.64% │ →004.55% │ →001.97% │ →000.65% │ ←003.88%,24.68%,62.49%,12.82%,→026.78% │ ←001.86% │ ←042.44%,49.50%,50.50%,49.72%,50.28%,28751723974.74,29330143429.46,8588169611,8684840842,6923847503,1288705454,1288542230,3411541796,3472510356
jbcuk,sntih,_ympx,wof__,ldear,qzvg_,sntihldear,1157.759824,15.34%,→001.25%,39.68%,←001.40%,58728240505.73,→000.70%,→001.51%,1.67,→001.94%,1.66,1.69,08.01% │ 10.02% │ 11.01% │ 12.50% │ 08.28%,08.63% │ 12.20% │ 10.92% │ 09.98% │ 08.44%,06.68% │ 10.81% │ 14.73% │ 12.51% │ 05.62%,06.06% │ 11.51% │ 15.23% │ 10.32% │ 06.53%,→005.09% │ ←000.38% │ ←000.81% │ ←002.48% │ →004.10%,24.44%,62.73%,12.83%,→026.27% │ →001.74% │ ←087.19%,49.82%,50.18%,50.35%,49.65%,29260365962.10,29467874543.63,8696417387,8576593066,6853866978,1316363325,1333025617,3450529915,3503502762
_bmuy,lnead,vwkfz,_crpj,sitoh,_gxq_,lneadsitoh,1157.621885,17.53%,←000.63%,38.89%,←001.43%,57818278419.77,←001.80%,←000.72%,1.70,→000.49%,1.69,1.70,06.94% │ 10.05% │ 11.80% │ 12.82% │ 08.83%,08.44% │ 12.81% │ 11.63% │ 10.13% │ 06.55%,05.34% │ 10.80% │ 15.32% │ 13.24% │ 05.66%,06.45% │ 12.97% │ 15.52% │ 09.81% │ 04.91%,←005.98% │ →000.74% │ ←001.45% │ ←000.11% │ ←004.65%,24.90%,64.86%,10.24%,→020.67% │ →002.70% │ ←166.39%,50.45%,49.55%,50.35%,49.65%,29166744471.01,28651533948.76,8697764303,8575246150,6717747573,1518540122,1509085009,3557758626,3532393456
_bmuy,lnead,vwkfz,_crpj,sitoh,_gqx_,lneadsitoh,1157.544991,17.53%,←000.63%,38.89%,←001.43%,57827903977.93,←001.76%,←000.72%,1.70,→000.49%,1.69,1.70,06.94% │ 10.05% │ 11.80% │ 12.82% │ 08.83%,08.44% │ 12.81% │ 11.52% │ 10.25% │ 06.55%,05.34% │ 10.80% │ 15.32% │ 13.24% │ 05.66%,06.45% │ 12.97% │ 15.42% │ 09.90% │ 04.91%,←005.97% │ →001.94% │ ←002.42% │ ←000.09% │ ←004.65%,24.91%,64.85%,10.24%,→020.75% │ →002.69% │ ←165.81%,50.44%,49.56%,50.35%,49.65%,29166744471.01,28661159506.92,8697764303,8575246150,6717747573,1518540122,1509085009,3557758626,3532393456
_bmuy,lnead,vwkfq,_grpj,sitoh,_czx_,lneadsitoh,1157.532953,17.62%,←001.58%,38.81%,←001.31%,57622304622.80,←002.35%,←000.38%,1.70,→000.64%,1.69,1.70,06.96% │ 10.08% │ 11.78% │ 12.94% │ 08.81%,08.47% │ 12.77% │ 11.47% │ 10.20% │ 06.51%,05.34% │ 10.80% │ 15.32% │ 13.24% │ 05.63%,06.45% │ 12.97% │ 15.45% │ 09.90% │ 04.91%,←006.95% │ →001.14% │ ←002.75% │ ←001.34% │ ←004.00%,23.32%,64.72%,11.96%,→008.21% │ →002.17% │ ←063.10%,50.58%,49.42%,50.33%,49.67%,29145959254.87,28476345367.93,8692737971,8580272482,6703918101,1534041979,1510229622,3558804347,3545177207
