keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,roll_imbalance,hands_imbalance,row_switch_ratio,switch_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,bigram_switches,row_switch_cost,left_rolls,right_rolls
xmcpk,lreab,vywdz,quof_,_nits,_hgj_,00-80-*,29.8825,0.43%,0.44%,25.32%,34.46%,53.05%,46.95%,50.11%,49.89%,9667511.50,5128168.80,4539342.70,2498318,2487374,1718138,1262269,1131343,1136211
_pofx,mseru,qyblz,_htg_,kinac,_dwvj,00-80-**,29.8501,0.07%,0.97%,24.56%,35.05%,50.96%,49.04%,50.24%,49.76%,9538611.20,4860861.40,4677749.80,2504905,2480787,1747719,1224505,1119396,1118577
_uspq,laerv,zkyd_,jfom_,bnitc,_hwgx,r00b10,29.8430,0.01%,0.04%,24.58%,36.09%,49.36%,50.64%,49.99%,50.01%,9501732.20,4689874.20,4811858.00,2492373,2493319,1799333,1225719,1093146,1093213
_psuq,laerv,zkyd_,jfom_,bnitc,_hwgx,00-15,29.8382,0.01%,0.04%,24.58%,36.09%,49.37%,50.63%,49.99%,50.01%,9504422.80,4692564.80,4811858.00,2492373,2493319,1799333,1225719,1093146,1093213
_uspq,laerv,zkyd_,xfom_,bnitc,_hwgj,00-20,29.8350,0.01%,0.04%,24.70%,36.09%,49.34%,50.66%,49.99%,50.01%,9506169.80,4689874.20,4816295.60,2492373,2493319,1799333,1231527,1093146,1093213
_uspq,laerv,zkyd_,_fom_,bnitc,xhwgj,00-20-**,29.8327,0.01%,0.04%,24.73%,36.09%,49.33%,50.67%,49.99%,50.01%,9507499.30,4689874.20,4817625.10,2492373,2493319,1799333,1233051,1093146,1093213
_uspq,laerk,zvyd_,jfom_,bnitc,_hwgx,00-30,29.8325,0.01%,0.04%,25.15%,36.09%,49.39%,50.61%,49.99%,50.01%,9507570.40,4695712.40,4811858.00,2492373,2493319,1799333,1254010,1093146,1093213
_uspq,learv,zkyd_,jfom_,bnitc,_hwgx,00-32,29.8321,0.01%,0.04%,24.58%,36.09%,49.39%,50.61%,49.99%,50.01%,9507793.70,4695935.70,4811858.00,2492373,2493319,1799333,1225719,1093146,1093213
_psuq,laerv,zkyd_,xfom_,bnitc,_hwgj,00-33,29.8302,0.01%,0.04%,24.70%,36.09%,49.35%,50.65%,49.99%,50.01%,9508860.40,4692564.80,4816295.60,2492373,2493319,1799333,1231527,1093146,1093213
qpofx,mseru,zybl_,_gnd_,kitac,jhwv_,00-40-*,29.8183,0.07%,0.97%,26.23%,35.05%,50.86%,49.14%,50.24%,49.76%,9556242.80,4860099.30,4696143.50,2504905,2480787,1747719,1307572,1119396,1118577
