keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,roll_imbalance,hands_imbalance,row_switch_ratio,switch_ratio,streak_ratio,mean_streak,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,bigram_switches,row_switch_cost,left_rolls,right_rolls,left_streak,right_streak
_uofy,daeiw,qxzk_,chts_,gnrlp,_mbvj,50-80/0,18.5871,5.44%,4.98%,10.48%,53.28%,1.00,1.36,44.31%,55.69%,48.72%,51.28%,8542824.70,3784919.10,4757905.60,2429234,2556458,2656468,522376,646040,683184,1.36,1.36
_uofy,daeiw,zxqk_,chts_,gnrlp,_mbvj,daeiwgnrlp,18.5866,5.44%,4.98%,10.48%,53.28%,1.00,1.36,44.31%,55.69%,48.72%,51.28%,8543654.30,3785748.70,4757905.60,2429234,2556458,2656468,522376,646040,683184,1.36,1.36
_uofy,daeiw,qzxk_,chts_,gnrlp,_mbvj,daeiwgnrlp,18.5852,5.44%,4.98%,10.48%,53.28%,1.00,1.36,44.33%,55.67%,48.72%,51.28%,8546426.80,3788521.20,4757905.60,2429234,2556458,2656468,522376,646040,683184,1.36,1.36
_uofy,daeiw,xzqk_,chts_,gnrlp,_mbvj,daeiwgnrlp,18.5849,5.44%,4.98%,10.48%,53.28%,1.00,1.36,44.33%,55.67%,48.72%,51.28%,8546998.20,3789092.60,4757905.60,2429234,2556458,2656468,522376,646040,683184,1.36,1.36
_uofy,daeiw,xqzk_,chts_,gnrlp,_mbvj,daeiwgnrlp,18.5839,5.44%,4.98%,10.48%,53.28%,1.00,1.36,44.34%,55.66%,48.72%,51.28%,8548703.00,3790797.40,4757905.60,2429234,2556458,2656468,522376,646040,683184,1.36,1.36
_uofy,daeiw,zqxk_,chts_,gnrlp,_mbvj,daeiwgnrlp,18.5838,5.44%,4.98%,10.48%,53.28%,1.00,1.36,44.35%,55.65%,48.72%,51.28%,8548961.20,3791055.60,4757905.60,2429234,2556458,2656468,522376,646040,683184,1.36,1.36
_uofg,caety,zxjk_,bprm_,disnl,_hwvq,50-76/0*,18.2236,0.87%,0.23%,12.31%,49.42%,1.00,1.44,46.08%,53.92%,49.94%,50.06%,8435688.40,3887466.90,4548221.50,2490013,2495679,2463703,613746,757663,764326,1.44,1.44
_uofg,caety,jxzk_,bprm_,disnl,_hwvq,caetydisnl,18.2227,0.87%,0.23%,12.31%,49.42%,1.00,1.44,46.10%,53.90%,49.94%,50.06%,8437748.30,3889526.80,4548221.50,2490013,2495679,2463703,613746,757663,764326,1.44,1.44
_uofg,caety,zjxk_,bprm_,disnl,_hwvq,caetydisnl,18.2221,0.87%,0.23%,12.31%,49.42%,1.00,1.44,46.10%,53.90%,49.94%,50.06%,8438933.70,3890712.20,4548221.50,2490013,2495679,2463703,613746,757663,764326,1.44,1.44
_uofg,caety,xjzk_,bprm_,disnl,_hwvq,caetydisnl,18.2219,0.87%,0.23%,12.31%,49.42%,1.00,1.44,46.11%,53.89%,49.94%,50.06%,8439502.70,3891281.20,4548221.50,2490013,2495679,2463703,613746,757663,764326,1.44,1.44
_uofg,caety,xzjk_,bprm_,disnl,_hwvq,caetydisnl,18.2216,0.87%,0.23%,12.31%,49.42%,1.00,1.44,46.11%,53.89%,49.94%,50.06%,8440025.00,3891803.50,4548221.50,2490013,2495679,2463703,613746,757663,764326,1.44,1.44
_uofg,caety,jzxk_,bprm_,disnl,_hwvq,caetydisnl,18.2209,0.87%,0.23%,12.31%,49.42%,1.00,1.44,46.12%,53.88%,49.94%,50.06%,8441515.90,3893294.40,4548221.50,2490013,2495679,2463703,613746,757663,764326,1.44,1.44
_uopy,daeiw,zxjk_,gfnr_,ctshl,_mbvq,77/*,18.0251,0.91%,4.61%,10.56%,54.04%,1.01,1.35,44.99%,55.01%,48.82%,51.18%,8581680.40,3860525.90,4721154.50,2433990,2551702,2694049,526579,642870,648773,1.36,1.34
_uopy,daeiw,jxzk_,gfnr_,ctshl,_mbvq,daeiwctshl,18.0235,0.91%,4.61%,10.56%,54.04%,1.01,1.35,45.01%,54.99%,48.82%,51.18%,8584826.60,3863672.10,4721154.50,2433990,2551702,2694049,526579,642870,648773,1.36,1.34
_uopy,daeiw,xzjk_,gfnr_,ctshl,_mbvq,daeiwctshl,18.0234,0.91%,4.61%,10.56%,54.04%,1.01,1.35,45.01%,54.99%,48.82%,51.18%,8585025.80,3863871.30,4721154.50,2433990,2551702,2694049,526579,642870,648773,1.36,1.34
_uopy,daeiw,zxjk_,gfnr_,ctshl,_mbqv,daeiwctshl,18.0226,0.91%,4.61%,10.56%,54.04%,1.01,1.35,44.96%,55.04%,48.82%,51.18%,8586547.90,3860525.90,4726022.00,2433990,2551702,2694049,526579,642870,648773,1.36,1.34
_uopy,daeiw,xjzk_,gfnr_,ctshl,_mbvq,daeiwctshl,18.0222,0.91%,4.61%,10.56%,54.04%,1.01,1.35,45.02%,54.98%,48.82%,51.18%,8587207.00,3866052.50,4721154.50,2433990,2551702,2694049,526579,642870,648773,1.36,1.34
