keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_fomb,snaid,__qpx,_wugj,lterh,yczvk,!snaidlterh,1199.519890,16.67%,←000.50%,38.59%,←000.10%,57407611943.98,←000.38%,→000.53%,1.71,→000.45%,1.70,1.71,07.70% │ 09.39% │ 12.34% │ 12.49% │ 08.17%,08.59% │ 12.26% │ 12.40% │ 09.20% │ 07.45%,06.45% │ 09.68% │ 15.93% │ 12.34% │ 05.63%,05.97% │ 13.81% │ 14.88% │ 09.66% │ 05.66%,←003.36% │ ←002.08% │ →000.53% │ ←001.90% │ →004.90%,24.06%,63.18%,12.76%,←112.88% │ →006.97% │ →065.52%,50.09%,49.91%,50.02%,49.98%,28757540719.43,28650071224.55,8640817306,8632193147,6665025756,1443494145,1436261571,3561891502,3580982397
_mofb,sniad,__xgj,_wpuq,lterh,yczkv,sniadlterh,1199.241998,17.06%,→002.08%,37.81%,←000.24%,57782777033.17,→001.20%,→000.84%,1.73,→000.78%,1.72,1.73,07.67% │ 09.85% │ 12.32% │ 11.65% │ 08.21%,08.63% │ 12.28% │ 11.59% │ 10.22% │ 07.59%,06.45% │ 10.09% │ 15.34% │ 12.51% │ 05.67%,05.97% │ 13.81% │ 14.24% │ 10.05% │ 05.86%,←001.10% │ →003.64% │ ←006.36% │ →005.15% │ →004.85%,23.93%,63.41%,12.66%,←108.26% │ →007.59% │ →067.91%,49.70%,50.30%,50.06%,49.94%,28717477111.91,29065299921.26,8646882227,8626128226,6531386491,1457491460,1488433415,3622974900,3653538264
_fomp,sanid,__qgz,_wbuj,lterh,yckxv,sanidlterh,1192.667650,17.09%,→001.45%,37.47%,←001.58%,58392148287.05,←001.53%,←002.69%,1.74,←000.80%,1.75,1.73,07.60% │ 09.73% │ 12.33% │ 11.86% │ 08.85%,08.60% │ 12.16% │ 11.93% │ 09.25% │ 07.68%,06.45% │ 10.46% │ 15.15% │ 12.24% │ 06.10%,05.97% │ 13.81% │ 14.34% │ 09.50% │ 05.99%,→001.00% │ ←005.24% │ ←003.38% │ →002.48% │ ←002.92%,24.44%,63.24%,12.32%,←131.66% │ →006.12% │ →072.10%,50.38%,49.62%,50.39%,49.61%,29418355949.04,28973792338.01,8704388556,8568621897,6471654793,1465136428,1486732909,3716826673,3619418189
jmofv,snaid,__zbk,_gcu_,ltehr,ypxwq,snaidltehr,1186.694928,16.94%,→000.56%,38.21%,→000.92%,57660956193.52,→001.24%,→001.11%,1.72,→000.14%,1.71,1.72,08.09% │ 09.89% │ 12.15% │ 11.19% │ 08.37%,08.71% │ 11.42% │ 11.77% │ 10.09% │ 08.32%,06.68% │ 10.09% │ 15.96% │ 11.39% │ 05.65%,05.97% │ 12.99% │ 15.49% │ 09.15% │ 06.63%,→002.73% │ →001.98% │ ←003.20% │ →002.01% │ →003.95%,25.00%,63.67%,11.34%,←069.80% │ →007.49% │ →057.86%,49.69%,50.31%,49.77%,50.23%,28650245710.51,29010710483.01,8596715777,8676294676,6600538139,1458533387,1466781748,3583549889,3623811627
_frux,sitoh,__jwv,bmpy_,lnead,qckzg,sitohlnead,1185.306904,19.10%,→001.68%,37.04%,→000.98%,58158182562.51,→000.79%,←000.02%,1.75,←000.75%,1.76,1.74,07.72% │ 09.91% │ 11.37% │ 11.96% │ 08.84%,08.74% │ 12.09% │ 11.06% │ 10.27% │ 08.04%,06.45% │ 09.77% │ 15.55% │ 12.03% │ 05.95%,05.99% │ 13.42% │ 14.86% │ 10.10% │ 05.87%,→003.98% │ →003.54% │ ←002.84% │ →001.10% │ ←001.22%,23.37%,64.09%,12.54%,←027.53% │ ←003.88% │ →052.34%,49.80%,50.20%,49.75%,50.25%,28963809492.31,29194373070.20,8593987605,8679022848,6397371707,1635664689,1663601194,3705555115,3704972833
_frux,sotih,__jwv,ympb_,lnead,qckzg,sotihlnead,1185.193269,19.10%,→001.68%,37.04%,→000.98%,58112734158.37,→000.32%,←000.02%,1.75,←000.75%,1.76,1.74,07.63% │ 09.89% │ 11.31% │ 12.24% │ 08.85%,09.20% │ 12.12% │ 10.99% │ 09.72% │ 08.05%,06.45% │ 09.75% │ 15.55% │ 12.06% │ 05.95%,06.07% │ 13.42% │ 14.86% │ 10.02% │ 05.87%,→005.27% │ ←001.71% │ ←002.93% │ ←000.99% │ →003.73%,23.72%,63.81%,12.47%,←030.80% │ ←003.86% │ →053.31%,49.92%,50.08%,49.75%,50.25%,29010380013.42,29102354144.95,8593987605,8679022848,6397371707,1635664689,1663601194,3705555115,3704972833
_grpb,sotih,__qm_,yuckj,daenl,xwzfv,sotihdaenl,1183.238755,16.39%,→001.32%,40.21%,←000.48%,57060386062.25,←000.67%,←000.73%,1.66,←000.17%,1.66,1.66,07.64% │ 09.57% │ 11.00% │ 12.50% │ 09.45%,09.00% │ 12.37% │ 11.26% │ 09.81% │ 07.38%,06.45% │ 09.61% │ 15.42% │ 12.34% │ 06.30%,05.72% │ 12.74% │ 15.43% │ 10.42% │ 05.57%,←003.53% │ →002.47% │ →002.33% │ ←001.04% │ ←005.01%,25.86%,63.90%,10.24%,←029.00% │ ←002.13% │ →052.14%,50.17%,49.83%,50.12%,49.88%,28626126055.55,28434260006.70,8657087643,8615922810,6945164359,1406232343,1425071002,3443909232,3418826064
qmuxv,rhetc,_bzly,wfopj,dians,kg___,rhetcdians,1182.329986,16.78%,→001.05%,37.66%,→000.91%,58540758942.64,←001.40%,←001.81%,1.73,←002.00%,1.75,1.72,07.99% │ 09.31% │ 12.37% │ 11.81% │ 08.87%,08.96% │ 11.55% │ 11.93% │ 09.23% │ 07.98%,06.63% │ 08.90% │ 14.88% │ 13.25% │ 06.11%,06.26% │ 11.82% │ 15.83% │ 09.64% │ 06.68%,←000.16% │ ←000.79% │ ←003.66% │ ←002.25% │ →001.00%,23.99%,62.05%,13.97%,→046.78% │ ←004.53% │ ←181.37%,50.35%,49.65%,49.77%,50.23%,29473358501.58,29067400441.06,8597016957,8675993496,6505591064,1441549167,1456907940,3683846364,3618462227
_grpb,sotih,__zm_,juckq,laend,yvxfw,sotihlaend,1182.154738,16.46%,→000.33%,40.12%,←000.59%,57210953223.97,←000.42%,←001.08%,1.66,←000.32%,1.66,1.66,07.62% │ 09.55% │ 11.02% │ 12.48% │ 09.43%,09.27% │ 12.05% │ 11.09% │ 09.82% │ 07.66%,06.45% │ 09.61% │ 15.45% │ 12.34% │ 06.30%,06.20% │ 12.13% │ 15.49% │ 10.42% │ 05.61%,→000.50% │ →002.76% │ →000.67% │ ←003.61% │ ←001.70%,23.03%,63.83%,13.15%,←071.00% │ ←001.95% │ →065.76%,50.10%,49.90%,50.15%,49.85%,28665057288.76,28545895935.21,8662113975,8610896478,6930549301,1419047486,1423761261,3457085776,3420264578
zgupv,rtehc,_jqly,wmofx,dians,kb___,rtehcdians,1181.421813,16.74%,←000.70%,38.01%,→000.86%,58608746277.63,→000.54%,←001.39%,1.72,←001.63%,1.74,1.71,08.25% │ 09.41% │ 11.50% │ 11.96% │ 08.74%,08.95% │ 11.80% │ 12.15% │ 09.33% │ 07.91%,06.66% │ 11.08% │ 14.85% │ 11.09% │ 06.11%,06.26% │ 11.81% │ 15.83% │ 09.68% │ 06.64%,←004.26% │ ←000.92% │ →005.33% │ ←001.40% │ →002.38%,26.10%,62.25%,11.65%,→040.46% │ ←003.26% │ ←169.60%,49.86%,50.14%,49.78%,50.22%,29224612592.66,29384133684.97,8599093731,8673916722,6565121773,1450794764,1440657863,3646323100,3596454782
