keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,left_finger_row_switch_ratio,right_finger_row_switch_ratio,finger_row_switch_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_wofz,cnais,_kbmq,vyup_,hretd,jlgx_,cnaishretd,124454.385891,4.44%,→001.93%,37.48%,→000.96%,57725749973.38,→000.06%,←000.70%,1.74,←001.24%,1.75,1.73,04.00% │ 09.78% │ 14.81% │ 12.31% │ 09.08%,08.84% │ 12.08% │ 15.25% │ 09.31% │ 04.54%,03.33% │ 09.93% │ 17.45% │ 12.38% │ 06.68%,05.99% │ 12.50% │ 16.80% │ 11.13% │ 03.82%,→011.81% │ ←005.00% │ →002.89% │ ←001.91% │ ←002.82%,00.00% │ 01.79% │ 05.43% │ 05.62%,05.95% │ 05.73% │ 01.59% │ 00.00%,·000.00% │ ←000.37% │ →001.59% │ →002.60%,22.69%,62.57%,14.74%,←031.04% │ →004.55% │ →019.82%,49.98%,50.02%,49.76%,50.24%,28853749419.39,28872000553.99,8594705923,8678304530,6473583625,379495666,386965097,3679996060,3654319970
_wamz,cnois,_kbfq,vyup_,hretd,jlgx_,cnoishretd,115476.530491,4.54%,←002.64%,37.48%,→000.96%,58070607982.89,←001.13%,←000.70%,1.74,←001.24%,1.75,1.73,04.02% │ 09.82% │ 15.04% │ 12.30% │ 09.11%,08.78% │ 12.01% │ 15.16% │ 09.26% │ 04.51%,03.33% │ 09.93% │ 17.45% │ 12.38% │ 06.68%,05.99% │ 12.50% │ 16.80% │ 11.13% │ 03.82%,→011.01% │ ←006.07% │ →000.76% │ ←002.41% │ ←003.68%,00.00% │ 01.79% │ 06.02% │ 05.62%,05.95% │ 05.73% │ 01.59% │ 00.00%,·000.00% │ ←000.37% │ ←009.08% │ →002.64%,23.59%,62.43%,13.97%,←041.70% │ →003.83% │ →028.17%,50.28%,49.72%,49.76%,50.24%,29198607428.90,28872000553.99,8594705923,8678304530,6473583625,397172462,386965097,3679996060,3654319970
_wigj,cnaos,_kbfq,vump_,hretd,zlyx_,cnaoshretd,114727.932476,5.90%,→000.51%,37.50%,→002.74%,58477995045.29,→000.89%,→003.76%,1.74,→000.78%,1.73,1.74,04.06% │ 09.84% │ 14.42% │ 12.33% │ 09.13%,08.48% │ 13.13% │ 14.79% │ 09.32% │ 04.50%,03.33% │ 09.93% │ 17.48% │ 11.80% │ 06.78%,05.89% │ 13.57% │ 16.28% │ 11.13% │ 03.82%,→009.74% │ ←005.53% │ →002.50% │ →006.12% │ ←007.66%,00.00% │ 01.79% │ 07.26% │ 08.06%,07.80% │ 07.77% │ 01.59% │ 00.00%,·000.00% │ ←000.37% │ ←000.38% │ →001.36%,23.15%,63.00%,13.85%,←025.61% │ →003.76% │ →023.75%,49.78%,50.22%,49.31%,50.69%,29108800774.66,29369194270.63,8516725168,8756285285,6477268127,508417034,511037080,3595114896,3735516632
_fhlj,ctoin,_xgwz,qdpv_,raesu,kybm_,ctoinraesu,112426.992329,5.19%,→000.91%,35.85%,←000.75%,61235739983.34,←002.42%,←005.51%,1.79,←003.71%,1.82,1.76,03.74% │ 09.76% │ 13.43% │ 13.39% │ 10.28%,10.04% │ 13.46% │ 12.70% │ 09.80% │ 03.41%,03.33% │ 11.17% │ 14.29% │ 13.55% │ 07.85%,07.38% │ 13.80% │ 15.74% │ 10.13% │ 02.78%,←009.76% │ →000.49% │ ←005.82% │ →000.50% │ ←002.40%,00.00% │ 01.01% │ 06.70% │ 07.06%,07.09% │ 06.27% │ 01.16% │ 00.00%,·000.00% │ →003.19% │ →002.84% │ ←000.54%,21.80%,64.67%,13.52%,←062.13% │ →001.80% │ →040.00%,50.60%,49.40%,50.19%,49.81%,30984570040.85,30251169942.49,8668583561,8604426892,6191587955,445853012,449926548,3910246943,3706064757
_fhlz,ctoin,_xgwj,qdpv_,raesu,kybm_,ctoinraesu,112346.518687,5.18%,→000.98%,35.85%,←000.75%,61234591918.67,←002.42%,←005.51%,1.79,←003.71%,1.82,1.76,03.74% │ 09.76% │ 13.43% │ 13.39% │ 10.29%,10.04% │ 13.46% │ 12.70% │ 09.80% │ 03.41%,03.33% │ 11.17% │ 14.29% │ 13.55% │ 07.85%,07.38% │ 13.80% │ 15.74% │ 10.13% │ 02.78%,←009.76% │ →000.49% │ ←005.76% │ →000.50% │ ←002.47%,00.00% │ 01.01% │ 06.70% │ 07.05%,07.09% │ 06.27% │ 01.16% │ 00.00%,·000.00% │ →003.19% │ →002.84% │ ←000.41%,21.69%,64.67%,13.65%,←060.74% │ →001.82% │ →038.57%,50.60%,49.40%,50.19%,49.81%,30983421976.18,30251169942.49,8668583561,8604426892,6191587955,445500768,449926548,3910246943,3706064757
_fhlz,ctoin,_xgwq,jdpv_,raesu,kybm_,ctoinraesu,111761.229366,5.22%,→003.59%,35.88%,←000.22%,61229408305.12,←001.30%,←004.89%,1.79,←003.65%,1.82,1.76,03.74% │ 09.76% │ 13.34% │ 13.38% │ 10.10%,10.22% │ 13.52% │ 12.75% │ 09.80% │ 03.39%,03.33% │ 11.17% │ 14.29% │ 13.55% │ 07.72%,07.51% │ 13.80% │ 15.74% │ 10.13% │ 02.78%,←010.32% │ →000.49% │ ←004.68% │ →000.98% │ →001.18%,00.00% │ 01.01% │ 06.70% │ 07.02%,07.31% │ 06.27% │ 01.16% │ 00.00%,·000.00% │ →003.19% │ →002.84% │ →004.09%,21.87%,64.67%,13.46%,←057.28% │ →002.38% │ →040.76%,50.32%,49.68%,50.06%,49.94%,30812356103.39,30417052201.73,8646032361,8626978092,6197850348,442992272,459473016,3895820667,3714228640
_fhlj,utoin,_xgwq,kypm_,raesc,zdbv_,utoinraesc,111550.896891,5.17%,→005.08%,36.43%,→001.56%,60361311345.75,←001.29%,←004.28%,1.77,←004.54%,1.81,1.73,03.47% │ 09.92% │ 12.84% │ 13.55% │ 10.54%,10.20% │ 13.42% │ 12.84% │ 09.50% │ 03.72%,02.78% │ 11.17% │ 14.29% │ 13.55% │ 07.82%,07.40% │ 13.80% │ 15.74% │ 10.13% │ 03.33%,→006.81% │ ←004.35% │ ←000.02% │ ←001.02% │ ←003.37%,00.00% │ 01.01% │ 06.70% │ 06.78%,07.32% │ 06.27% │ 01.16% │ 00.00%,·000.00% │ →003.19% │ →002.84% │ →006.64%,22.18%,64.96%,12.86%,←054.05% │ →004.57% │ →033.17%,50.32%,49.68%,49.61%,50.39%,30374646860.20,29986664485.55,8568698141,8704312312,6293354595,435170069,458447248,3836065547,3678479513
_fhlj,utoin,_xgwq,zdpm_,raesc,kybv_,utoinraesc,111305.864016,5.17%,→005.08%,36.43%,→001.56%,60636771074.46,←000.37%,←004.28%,1.77,←004.54%,1.81,1.73,03.45% │ 09.87% │ 12.79% │ 13.49% │ 10.49%,10.09% │ 13.67% │ 12.97% │ 09.47% │ 03.71%,02.78% │ 11.17% │ 14.29% │ 13.55% │ 07.82%,07.40% │ 13.80% │ 15.74% │ 10.13% │ 03.33%,→006.79% │ ←004.23% │ →001.41% │ →001.31% │ ←003.94%,00.00% │ 01.01% │ 06.70% │ 06.78%,07.32% │ 06.27% │ 01.16% │ 00.00%,·000.00% │ →003.19% │ →002.84% │ →006.64%,23.36%,64.86%,11.79%,←034.35% │ →005.13% │ →023.01%,50.09%,49.91%,49.61%,50.39%,30374646860.20,30262124214.26,8568698141,8704312312,6293354595,435170069,458447248,3836065547,3678479513
_fhlj,utoin,_xgwq,kybm_,raesc,zdpv_,utoinraesc,111197.213927,5.17%,→005.08%,36.43%,→001.56%,60417935082.45,←001.10%,←004.28%,1.77,←004.54%,1.81,1.73,03.47% │ 09.91% │ 12.83% │ 13.54% │ 10.53%,10.21% │ 13.30% │ 12.99% │ 09.50% │ 03.72%,02.78% │ 11.17% │ 14.29% │ 13.55% │ 07.82%,07.40% │ 13.80% │ 15.74% │ 10.13% │ 03.33%,→006.77% │ ←004.23% │ →001.25% │ ←001.83% │ ←003.10%,00.00% │ 01.01% │ 06.70% │ 06.78%,07.32% │ 06.27% │ 01.16% │ 00.00%,·000.00% │ →003.19% │ →002.84% │ →006.64%,21.49%,64.95%,13.57%,←066.99% │ →004.71% │ →038.91%,50.27%,49.73%,49.61%,50.39%,30374646860.20,30043288222.25,8568698141,8704312312,6293354595,435170069,458447248,3836065547,3678479513
_folz,uthin,_xgwq,kybm_,raesc,jdpv_,uthinraesc,111076.753238,5.25%,→002.51%,36.50%,→001.96%,60805750082.87,←001.76%,←003.99%,1.77,←004.63%,1.81,1.73,03.50% │ 09.92% │ 13.29% │ 13.20% │ 10.54%,10.29% │ 13.23% │ 12.90% │ 09.44% │ 03.69%,02.78% │ 11.17% │ 14.29% │ 13.55% │ 07.72%,07.51% │ 13.80% │ 15.74% │ 10.13% │ 03.33%,→005.38% │ ←005.01% │ ←002.99% │ →000.27% │ ←002.40%,00.00% │ 01.01% │ 06.90% │ 07.02%,07.31% │ 06.27% │ 01.16% │ 00.00%,·000.00% │ →003.19% │ ←000.07% │ →004.09%,23.41%,62.75%,13.84%,←092.97% │ →010.21% │ →037.37%,50.44%,49.56%,49.51%,50.49%,30668106148.93,30137643933.94,8551173273,8721837180,6303993424,447953861,459473016,3825320068,3678586163
