keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,sfs_ratio,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,left_finger_row_switch_ratio,right_finger_row_switch_ratio,finger_row_switch_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls,sfs_count,home_row_balance,left_pinky_ratio,left_ring_ratio,left_middle_ratio,left_index_inner_ratio,left_index_outer_ratio,right_pinky_ratio,right_ring_ratio,right_middle_ratio,right_index_inner_ratio,right_index_outer_ratio,left_pinky_row_switch_ratio,left_ring_row_switch_ratio,left_middle_row_switch_ratio,left_index_row_switch_ratio,right_pinky_row_switch_ratio,right_ring_row_switch_ratio,right_middle_row_switch_ratio,right_index_row_switch_ratio,pinky_balance,ring_balance,middle_balance,index_inner_balance,index_outer_balance,pinky_row_switch_balance,ring_row_switch_balance,middle_row_switch_balance,index_row_switch_balance
_kigz,uaeho,_xqyj,bpsm_,ltnrc,vdfw_,max hand switches,56172.940683,2.85%,006.61%→,56.79%,007.70%→,7.80%,52100114873.11,013.43%→,006.80%←,1.30,004.51%←,1.33,1.27,04.11% │ 08.52% │ 13.60% │ 08.71% │ 11.46%,10.79% │ 14.61% │ 12.44% │ 11.49% │ 04.26%,02.78% │ 09.21% │ 19.66% │ 08.43% │ 07.92%,06.96% │ 14.76% │ 16.12% │ 10.82% │ 03.33%,003.46%→ │ 025.83%→ │ 009.25%← │ 040.38%→ │ 006.16%←,00.00% │ 01.85% │ 02.50% │ 04.37%,03.71% │ 02.98% │ 01.72% │ 00.00%,000.00%· │ 008.80%→ │ 002.17%← │ 011.32%→,27.86%,57.41%,14.74%,023.64%→ │ 019.86%← │ 073.98%→,46.40%,53.60%,48.00%,52.00%,24174617849.83,27925497023.28,8290511112,8982499341,9808651463,237764394,254582279,2065364979,1933883213,1347968206,019.86%←,4.11%,8.52%,13.60%,8.71%,11.46%,4.26%,11.49%,12.44%,14.61%,10.79%,0.00%,1.85%,2.50%,4.37%,0.00%,1.72%,2.98%,3.71%,003.46%→,025.83%→,009.25%←,040.38%→,006.16%←,000.00%·,008.80%→,002.17%←,011.32%→
bldwz,nrtsg,qxmcv,_fouj,yhaei,kp___,graphite,22684.701411,0.77%,009.96%←,55.18%,000.57%←,5.60%,54273882997.34,005.54%←,021.45%→,1.33,007.78%→,1.28,1.39,12.07% │ 11.05% │ 11.82% │ 11.34% │ 05.07%,03.64% │ 08.96% │ 12.06% │ 14.07% │ 09.91%,09.21% │ 10.99% │ 15.22% │ 11.47% │ 03.26%,02.45% │ 09.01% │ 15.83% │ 14.75% │ 07.82%,021.74%← │ 021.50%→ │ 002.04%→ │ 026.60%← │ 039.16%←,00.16% │ 00.87% │ 00.44% │ 01.56%,01.15% │ 00.43% │ 01.06% │ 00.17%,006.59%← │ 039.08%→ │ 000.55%→ │ 073.70%←,30.13%,56.12%,13.75%,000.89%← │ 009.91%→ │ 132.77%←,51.35%,48.65%,50.14%,49.86%,27867736468.70,26406146528.64,8660931290,8612079163,9531992112,70099219,63750404,1881119674,2394787869,966685361,009.91%→,12.07%,11.05%,11.82%,11.34%,5.07%,9.91%,14.07%,12.06%,8.96%,3.64%,0.16%,0.87%,0.44%,1.56%,0.17%,1.06%,0.43%,1.15%,021.74%←,021.50%→,002.04%→,026.60%←,039.16%←,006.59%←,039.08%→,000.55%→,073.70%←
_fhdk,oantg,qxbpz,jcul_,mseri,yw_v_,mtgap-2,17416.998484,1.28%,045.01%→,40.33%,000.85%→,6.33%,57357945423.39,002.85%→,007.59%→,1.66,004.51%→,1.62,1.69,09.59% │ 10.46% │ 11.25% │ 13.67% │ 04.30%,06.83% │ 11.18% │ 10.58% │ 12.38% │ 09.76%,07.66% │ 10.65% │ 13.79% │ 14.76% │ 02.93%,04.54% │ 11.47% │ 14.75% │ 11.87% │ 07.59%,001.75%→ │ 015.50%→ │ 006.34%← │ 022.33%← │ 036.96%→,00.01% │ 02.29% │ 00.49% │ 00.81%,02.95% │ 01.06% │ 01.69% │ 00.00%,100.00%← │ 021.87%← │ 056.97%→ │ 069.71%→,27.14%,61.30%,11.56%,010.03%← │ 004.55%→ │ 020.44%→,49.28%,50.72%,49.79%,50.21%,28264353860.67,29093591562.72,8599814724,8673195729,6965799486,78658378,143030292,3286126572,3555973597,1092788954,004.55%→,9.59%,10.46%,11.25%,13.67%,4.30%,9.76%,12.38%,10.58%,11.18%,6.83%,0.01%,2.29%,0.49%,0.81%,0.00%,1.69%,1.06%,2.95%,001.75%→,015.50%→,006.34%←,022.33%←,036.96%→,100.00%←,021.87%←,056.97%→,069.71%→
vlhkq,srntw,zxmdb,jfou_,ycaei,pg___,dhorf,17106.423858,0.57%,011.10%→,53.71%,000.76%←,6.04%,54399439814.26,002.02%→,016.01%→,1.36,006.25%→,1.31,1.40,10.18% │ 10.70% │ 11.33% │ 12.28% │ 05.00%,06.48% │ 08.08% │ 12.55% │ 13.94% │ 09.46%,07.65% │ 10.99% │ 14.77% │ 13.36% │ 03.41%,04.08% │ 07.57% │ 15.83% │ 14.75% │ 07.59%,007.62%← │ 023.19%→ │ 009.77%→ │ 051.89%← │ 022.79%→,00.10% │ 00.87% │ 00.69% │ 00.38%,00.68% │ 00.43% │ 01.06% │ 00.00%,100.00%← │ 039.08%→ │ 052.45%← │ 019.42%→,29.20%,53.44%,17.35%,009.21%→ │ 014.36%→ │ 070.53%←,49.49%,50.51%,50.19%,49.81%,26922681518.91,27476758295.35,8669064314,8603946139,9277913118,46432899,52227580,2067953882,2462032655,1043319899,014.36%→,10.18%,10.70%,11.33%,12.28%,5.00%,9.46%,13.94%,12.55%,8.08%,6.48%,0.10%,0.87%,0.69%,0.38%,0.00%,1.06%,0.43%,0.68%,007.62%←,023.19%→,009.77%→,051.89%←,022.79%→,100.00%←,039.08%→,052.45%←,019.42%→
bldcv,nrtsg,xqmwz,jfou_,yhaei,kp___,gallium-rowstag,15432.024254,0.76%,012.59%←,55.18%,000.57%←,5.61%,54320170762.39,006.16%←,021.45%→,1.33,007.78%→,1.28,1.39,12.18% │ 10.87% │ 11.95% │ 11.44% │ 05.05%,04.01% │ 08.95% │ 12.03% │ 14.03% │ 09.49%,09.30% │ 10.90% │ 15.22% │ 11.47% │ 03.26%,02.68% │ 09.01% │ 15.83% │ 14.75% │ 07.59%,028.40%← │ 022.49%→ │ 000.66%→ │ 027.74%← │ 025.97%←,00.15% │ 00.87% │ 00.44% │ 01.56%,01.16% │ 00.43% │ 01.06% │ 00.00%,100.00%← │ 039.10%→ │ 000.55%→ │ 068.46%←,33.76%,56.18%,10.05%,026.35%← │ 009.31%→ │ 043.56%←,51.49%,48.51%,50.14%,49.86%,27971161174.18,26349009588.21,8660931290,8612079163,9531992112,69936743,62117432,1881119674,2394787869,969191566,009.31%→,12.18%,10.87%,11.95%,11.44%,5.05%,9.49%,14.03%,12.03%,8.95%,4.01%,0.15%,0.87%,0.44%,1.56%,0.00%,1.06%,0.43%,1.16%,028.40%←,022.49%→,000.66%→,027.74%←,025.97%←,100.00%←,039.10%→,000.55%→,068.46%←
qwfpb,arstg,zxcdv,jluy_,mneio,kh___,colemak-ortho,14204.464509,0.97%,015.04%→,46.48%,006.26%→,7.26%,57341342325.24,003.47%→,032.77%→,1.50,015.18%→,1.39,1.63,11.10% │ 08.32% │ 09.17% │ 13.68% │ 06.85%,05.22% │ 16.65% │ 11.07% │ 08.68% │ 09.27%,08.50% │ 08.41% │ 11.96% │ 14.76% │ 04.75%,03.58% │ 16.44% │ 14.75% │ 09.29% │ 07.56%,019.79%← │ 004.11%→ │ 017.16%→ │ 017.85%→ │ 031.19%←,00.65% │ 00.49% │ 01.47% │ 00.90%,01.70% │ 01.06% │ 00.34% │ 00.00%,100.00%← │ 031.61%← │ 012.91%← │ 048.53%→,20.33%,62.48%,17.19%,015.45%→ │ 012.87%→ │ 065.33%←,49.12%,50.88%,48.38%,51.62%,28164273660.41,29177068664.83,8357371531,8915638922,8027754532,77319827,91005926,2323842639,3456302484,1254152608,012.87%→,11.10%,8.32%,9.17%,13.68%,6.85%,9.27%,8.68%,11.07%,16.65%,5.22%,0.65%,0.49%,1.47%,0.90%,0.00%,0.34%,1.06%,1.70%,019.79%←,004.11%→,017.16%→,017.85%→,031.19%←,100.00%←,031.61%←,012.91%←,048.53%→
zhigk,dnat_,qvwc_,_yolj,fserp,_ubmx,dnat,14030.221862,4.53%,002.62%←,35.00%,000.93%→,7.41%,57485188098.62,000.81%→,000.43%←,1.82,001.12%←,1.83,1.81,05.06% │ 14.61% │ 15.68% │ 13.13% │ 01.31%,03.07% │ 10.99% │ 17.26% │ 15.39% │ 03.50%,04.05% │ 13.25% │ 17.55% │ 14.17% │ 00.75%,02.19% │ 10.93% │ 21.15% │ 13.40% │ 02.57%,044.53%← │ 005.02%→ │ 009.16%→ │ 019.51%← │ 057.18%→,00.08% │ 00.62% │ 09.07% │ 04.14%,05.99% │ 05.24% │ 02.27% │ 01.52%,091.96%→ │ 072.90%→ │ 043.66%← │ 021.30%→,35.79%,46.57%,17.65%,016.45%← │ 003.54%→ │ 022.94%→,49.80%,50.20%,49.77%,50.23%,28626152148.96,28859035949.66,8596072010,8676938443,6045388428,396453643,386314257,3889591744,3872919483,1280045801,003.54%→,5.06%,14.61%,15.68%,13.13%,1.31%,3.50%,15.39%,17.26%,10.99%,3.07%,0.08%,0.62%,9.07%,4.14%,1.52%,2.27%,5.24%,5.99%,044.53%←,005.02%→,009.16%→,019.51%←,057.18%→,091.96%→,072.90%→,043.66%←,021.30%→
bldcv,nrtsg,xqmwz,jyou_,phaei,kf___,gallium-colstag,13748.986459,0.75%,018.37%←,55.18%,000.57%←,5.61%,54815787920.62,004.20%←,021.45%→,1.33,007.78%→,1.28,1.39,12.07% │ 10.78% │ 11.84% │ 11.33% │ 05.01%,04.70% │ 08.75% │ 12.15% │ 13.99% │ 09.37%,09.30% │ 10.90% │ 15.22% │ 11.47% │ 03.26%,03.12% │ 08.57% │ 15.83% │ 14.75% │ 07.59%,028.77%← │ 023.00%→ │ 002.55%→ │ 029.47%← │ 006.55%←,00.15% │ 00.87% │ 00.44% │ 01.56%,01.01% │ 00.43% │ 01.06% │ 00.00%,100.00%← │ 039.10%→ │ 000.55%→ │ 093.42%←,33.24%,56.48%,10.28%,028.30%← │ 011.75%→ │ 033.10%←,51.03%,48.97%,50.14%,49.86%,27971161174.18,26844626746.44,8660931290,8612079163,9531992112,69936743,59083429,1881119674,2394787869,969191566,011.75%→,12.07%,10.78%,11.84%,11.33%,5.01%,9.37%,13.99%,12.15%,8.75%,4.70%,0.15%,0.87%,0.44%,1.56%,0.00%,1.06%,0.43%,1.01%,028.77%←,023.00%→,002.55%→,029.47%←,006.55%←,100.00%←,039.10%→,000.55%→,093.42%←
qwfpg,arstd,zxcvb,jluy_,hneio,km___,colemak,13660.758812,1.01%,016.09%→,46.48%,006.26%→,7.26%,58032297644.58,003.14%→,032.77%→,1.50,015.18%→,1.39,1.63,11.01% │ 08.29% │ 09.09% │ 10.42% │ 10.40%,07.13% │ 14.48% │ 11.36% │ 08.64% │ 09.18%,08.50% │ 08.41% │ 11.96% │ 12.02% │ 07.49%,05.66% │ 14.36% │ 14.75% │ 09.29% │ 07.56%,019.84%← │ 004.04%→ │ 019.97%→ │ 028.08%→ │ 045.85%←,00.65% │ 00.49% │ 01.47% │ 00.96%,01.81% │ 01.06% │ 00.34% │ 00.00%,100.00%← │ 031.61%← │ 012.91%← │ 048.08%→,20.75%,66.55%,12.70%,009.28%→ │ 012.47%→ │ 086.72%←,49.20%,50.80%,48.38%,51.62%,28553850330.79,29478447313.79,8357371531,8915638922,8027754532,79553761,94807832,2323842639,3456302484,1254152608,012.47%→,11.01%,8.29%,9.09%,10.42%,10.40%,9.18%,8.64%,11.36%,14.48%,7.13%,0.65%,0.49%,1.47%,0.96%,0.00%,0.34%,1.06%,1.81%,019.84%←,004.04%→,019.97%→,028.08%→,045.85%←,100.00%←,031.61%←,012.91%←,048.08%→
wlrbz,shnt_,fmvc_,_qudj,_aeio,gpxky,halmak,13607.405241,2.99%,058.07%→,54.98%,003.42%←,6.00%,55029073257.04,007.04%←,006.05%→,1.33,003.15%→,1.31,1.35,14.33% │ 13.57% │ 10.60% │ 13.00% │ 00.21%,03.51% │ 09.41% │ 09.82% │ 12.70% │ 12.86%,10.32% │ 11.55% │ 15.10% │ 13.74% │ 00.13%,02.05% │ 10.52% │ 14.94% │ 12.16% │ 09.49%,011.38%← │ 006.79%← │ 007.91%← │ 038.20%← │ 094.02%→,00.71% │ 00.85% │ 02.17% │ 02.77%,06.21% │ 02.12% │ 06.35% │ 02.48%,068.99%→ │ 087.36%→ │ 003.73%← │ 050.82%→,26.13%,51.16%,22.72%,085.21%← │ 021.59%→ │ 017.03%←,51.70%,48.30%,50.84%,49.16%,28449526447.79,26579546809.25,8781913791,8491096662,9496029977,152439123,363521540,2088703488,2223166190,1036151540,021.59%→,14.33%,13.57%,10.60%,13.00%,0.21%,12.86%,12.70%,9.82%,9.41%,3.51%,0.71%,0.85%,2.17%,2.77%,2.48%,6.35%,2.12%,6.21%,011.38%←,006.79%←,007.91%←,038.20%←,094.02%→,068.99%→,087.36%→,003.73%←,050.82%→
