keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
zgupv,rtehc,_jqly,wmofx,dians,kb___,rtehcdians,1168.172515,16.74%,←000.70%,38.01%,→000.86%,58608746277.63,→000.54%,←001.39%,1.72,←001.63%,1.74,1.71,08.25% │ 09.41% │ 11.50% │ 11.96% │ 08.74%,08.95% │ 11.80% │ 12.15% │ 09.33% │ 07.91%,06.66% │ 11.08% │ 14.85% │ 11.09% │ 06.11%,06.26% │ 11.81% │ 15.83% │ 09.68% │ 06.64%,←004.26% │ ←000.92% │ →005.33% │ ←001.40% │ →002.38%,26.10%,62.25%,11.65%,→040.46% │ ←003.26% │ ←169.60%,49.86%,50.14%,49.78%,50.22%,29224612592.66,29384133684.97,8599093731,8673916722,6565121773,1450794764,1440657863,3646323100,3596454782
zjupg,rtehc,_yqlv,wmofx,dians,kb___,rtehcdians,1165.899704,16.55%,→001.51%,38.01%,→000.86%,58800646970.45,←000.11%,←001.39%,1.72,←001.63%,1.74,1.71,08.25% │ 09.38% │ 11.44% │ 12.08% │ 08.88%,08.92% │ 11.76% │ 12.11% │ 09.30% │ 07.89%,06.66% │ 10.73% │ 14.85% │ 11.09% │ 06.46%,06.26% │ 11.81% │ 15.83% │ 09.68% │ 06.64%,←004.57% │ ←000.95% │ →005.56% │ ←002.73% │ →000.46%,25.27%,62.19%,12.54%,→045.03% │ ←003.74% │ ←199.04%,50.03%,49.97%,49.78%,50.22%,29416513285.48,29384133684.97,8599093731,8673916722,6565121773,1418877668,1440657863,3646323100,3596454782
zqupg,rtehc,_yjlv,wmofx,dians,kb___,rtehcdians,1165.290461,16.51%,→002.00%,38.01%,→000.86%,58790073877.15,←000.07%,←001.39%,1.72,←001.63%,1.74,1.71,08.25% │ 09.25% │ 11.55% │ 12.08% │ 08.88%,08.92% │ 11.76% │ 12.11% │ 09.30% │ 07.89%,06.66% │ 10.60% │ 14.98% │ 11.09% │ 06.46%,06.26% │ 11.81% │ 15.83% │ 09.68% │ 06.64%,←004.57% │ →000.47% │ →004.62% │ ←002.73% │ →000.46%,25.12%,62.21%,12.67%,→045.96% │ ←003.75% │ ←203.26%,50.02%,49.98%,49.78%,50.22%,29405940192.18,29384133684.97,8599093731,8673916722,6565121773,1411909292,1440657863,3646323100,3596454782
bfowg,drnel,xk___,zucjq,sitah,_pmyv,hatislenrd,1162.140520,17.68%,→000.67%,37.45%,←000.50%,59409403942.61,→000.07%,→000.44%,1.74,→000.69%,1.73,1.74,07.51% │ 09.45% │ 11.66% │ 12.40% │ 08.96%,08.81% │ 12.43% │ 11.32% │ 09.80% │ 07.66%,05.63% │ 09.46% │ 15.05% │ 13.66% │ 06.32%,06.58% │ 12.51% │ 14.73% │ 10.20% │ 05.86%,→001.92% │ →003.63% │ ←003.01% │ →000.25% │ ←001.78%,25.66%,63.35%,10.99%,←142.97% │ →007.11% │ →086.63%,49.98%,50.02%,50.13%,49.87%,29693882364.87,29715521577.74,8658105055,8614905398,6468204505,1521882420,1532145235,3661718100,3677977050
ygmf_,doenr,__kcx,buljz,hitas,_wpvq,doenrhitas,1161.507409,17.91%,←001.08%,36.61%,←000.73%,58863012498.65,→001.26%,→001.07%,1.76,→001.37%,1.75,1.78,07.58% │ 09.53% │ 11.50% │ 11.78% │ 09.29%,09.22% │ 12.05% │ 11.76% │ 09.25% │ 08.04%,05.53% │ 09.61% │ 15.32% │ 13.00% │ 06.72%,06.30% │ 12.06% │ 15.21% │ 09.58% │ 06.68%,→005.70% │ ←003.09% │ →002.21% │ →002.18% │ ←000.65%,22.50%,66.26%,11.24%,→001.74% │ ←001.55% │ →015.52%,49.68%,50.32%,50.18%,49.82%,29244731520.89,29618280977.76,8668044248,8604966205,6324309338,1554804929,1538136146,3721676105,3761914212
bfowg,drnel,xk___,juczq,sitah,_pmyv,hatislenrd,1161.297151,17.68%,→000.67%,37.45%,←000.50%,59449172311.14,→000.21%,→000.44%,1.74,→000.69%,1.73,1.74,07.51% │ 09.44% │ 11.65% │ 12.39% │ 08.96%,08.91% │ 12.47% │ 11.31% │ 09.70% │ 07.65%,05.63% │ 09.46% │ 15.05% │ 13.66% │ 06.32%,06.68% │ 12.51% │ 14.73% │ 10.10% │ 05.86%,→001.91% │ →002.74% │ ←003.01% │ →000.63% │ ←000.53%,25.72%,63.30%,10.98%,←140.65% │ →007.10% │ →086.63%,49.95%,50.05%,50.13%,49.87%,29693882364.87,29755289946.27,8658105055,8614905398,6468204505,1521882420,1532145235,3661718100,3677977050
bfowg,drnel,xk___,qucjz,sitah,_pmyv,hatislenrd,1161.255554,17.68%,→000.67%,37.45%,←000.50%,59431766170.43,→000.15%,→000.44%,1.74,→000.69%,1.73,1.74,07.51% │ 09.44% │ 11.65% │ 12.40% │ 08.96%,08.73% │ 12.45% │ 11.31% │ 09.81% │ 07.73%,05.63% │ 09.46% │ 15.05% │ 13.66% │ 06.32%,06.55% │ 12.51% │ 14.73% │ 10.20% │ 05.89%,→002.90% │ →003.72% │ ←003.01% │ →000.45% │ ←002.64%,25.68%,63.33%,10.99%,←142.10% │ →007.14% │ →086.63%,49.96%,50.04%,50.13%,49.87%,29693882364.87,29737883805.56,8658105055,8614905398,6468204505,1521882420,1532145235,3661718100,3677977050
bfowg,dnrel,xk___,zucjq,sitah,_pmyv,hatislernd,1161.073042,17.68%,→000.67%,37.45%,←000.50%,59259769441.47,→000.58%,→000.44%,1.74,→000.69%,1.73,1.74,07.58% │ 09.73% │ 11.48% │ 11.98% │ 09.08%,08.83% │ 12.46% │ 11.35% │ 09.83% │ 07.68%,05.63% │ 10.42% │ 14.09% │ 13.66% │ 06.32%,06.58% │ 12.51% │ 14.73% │ 10.20% │ 05.86%,→001.30% │ →000.93% │ ←001.21% │ →003.86% │ ←002.78%,25.84%,63.15%,11.01%,←144.46% │ →008.19% │ →086.72%,49.86%,50.14%,50.13%,49.87%,29544247863.73,29715521577.74,8658105055,8614905398,6468204505,1521882420,1532145235,3661718100,3677977050
ybufq,daenl,_xwck,zgrp_,hitos,jmv__,sotihlnead,1160.967272,16.79%,→000.69%,39.93%,←000.66%,56362678611.44,→000.01%,→001.07%,1.67,→001.15%,1.66,1.68,08.22% │ 09.87% │ 12.24% │ 12.02% │ 07.65%,07.52% │ 12.33% │ 12.38% │ 10.06% │ 07.71%,05.53% │ 10.08% │ 16.44% │ 13.00% │ 05.11%,05.04% │ 12.24% │ 16.40% │ 09.71% │ 06.45%,←006.62% │ →001.88% │ →001.16% │ →002.52% │ ←001.68%,23.49%,63.87%,12.64%,→008.82% │ →004.59% │ ←051.23%,50.00%,50.00%,50.16%,49.84%,28179329814.73,28183348796.71,8664895414,8608115039,6897205071,1445288436,1455367352,3436781821,3473912763
ybufq,daenl,_xwck,jmrp_,hotis,zgv__,sitohlnead,1160.926870,16.64%,←001.20%,39.93%,←000.66%,56525116856.05,→000.59%,→001.07%,1.67,→001.15%,1.66,1.68,08.20% │ 09.84% │ 12.20% │ 11.98% │ 07.62%,07.50% │ 12.32% │ 12.52% │ 10.01% │ 07.80%,05.53% │ 10.08% │ 16.44% │ 13.00% │ 05.11%,05.04% │ 12.22% │ 16.40% │ 09.73% │ 06.45%,←005.12% │ →001.63% │ →002.57% │ →002.70% │ ←001.65%,24.23%,64.07%,11.70%,→014.44% │ →005.70% │ ←084.44%,49.85%,50.15%,50.16%,49.84%,28179329814.73,28345787041.32,8664895414,8608115039,6897205071,1445288436,1428154610,3436781821,3473912763
