keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_fmub,sitah,zxcvq,plg__,dneor,jwky_,!sitahdneor,1167.462957,16.81%,→000.26%,37.97%,→000.83%,58996290741.84,←002.50%,→000.53%,1.72,←000.22%,1.73,1.72,07.80% │ 09.74% │ 11.39% │ 12.23% │ 09.46%,09.11% │ 12.21% │ 10.85% │ 09.19% │ 08.02%,06.58% │ 09.97% │ 14.73% │ 12.13% │ 06.40%,06.20% │ 13.45% │ 14.77% │ 09.26% │ 06.53%,→002.77% │ ←005.98% │ ←004.95% │ ←000.16% │ ←003.83%,21.92%,66.32%,11.77%,←005.25% │ ←000.72% │ ←007.65%,50.62%,49.38%,49.79%,50.21%,29861999405.80,29134291336.04,8600676209,8672334244,6559079981,1449600712,1453405436,3614785250,3634034424
_mpub,sitah,zxcvq,gfklj,doenr,_yw__,sitahdoenr,1159.763422,17.39%,←001.32%,37.21%,→000.98%,59739316824.40,←001.64%,←001.82%,1.75,←002.10%,1.76,1.73,07.74% │ 10.22% │ 10.88% │ 12.19% │ 09.37%,08.87% │ 11.61% │ 10.44% │ 10.64% │ 08.04%,06.58% │ 10.38% │ 14.27% │ 12.13% │ 06.40%,05.87% │ 11.45% │ 14.41% │ 11.76% │ 06.76%,→003.74% │ →003.94% │ ←004.24% │ ←005.06% │ ←005.67%,23.80%,65.95%,10.25%,→008.39% │ ←000.15% │ ←042.80%,50.41%,49.59%,49.75%,50.25%,30112617362.86,29626699461.54,8593775782,8679234671,6427336746,1511811331,1492057646,3723481590,3657081319
_pmub,satih,zxcvq,gfklj,doenr,_wy__,satihdoenr,1159.136769,17.39%,←001.32%,37.21%,→000.98%,59566893087.93,←000.81%,←001.82%,1.75,←002.10%,1.76,1.73,07.74% │ 10.53% │ 11.35% │ 11.20% │ 09.39%,08.90% │ 11.34% │ 10.85% │ 10.66% │ 08.05%,06.58% │ 10.61% │ 14.73% │ 11.44% │ 06.40%,05.87% │ 11.44% │ 14.42% │ 11.76% │ 06.76%,→003.96% │ →001.28% │ ←004.58% │ →001.20% │ ←005.56%,23.80%,65.80%,10.40%,→008.95% │ →000.48% │ ←038.36%,50.20%,49.80%,49.75%,50.25%,29902891058.15,29664002029.78,8593775782,8679234671,6427336746,1511811331,1492057646,3723481590,3657081319
_gmub,satih,zxcvq,flw__,dneor,jkyp_,satihdneor,1155.725731,17.31%,→000.25%,37.71%,→001.36%,59155402257.50,←000.59%,←000.89%,1.73,←001.66%,1.75,1.72,07.79% │ 10.19% │ 11.36% │ 11.28% │ 09.53%,09.41% │ 11.18% │ 11.50% │ 09.66% │ 08.11%,06.58% │ 10.51% │ 14.73% │ 11.44% │ 06.40%,06.24% │ 12.50% │ 15.36% │ 09.71% │ 06.53%,→003.95% │ ←005.43% │ →001.19% │ ←000.95% │ ←001.28%,21.65%,66.01%,12.34%,←005.97% │ →000.45% │ →002.96%,50.15%,49.85%,49.66%,50.34%,29664735478.07,29490666779.43,8577289503,8695720950,6513762202,1493341200,1497155501,3663237548,3630899905
_yplb,satih,zxcvq,gwumj,deonr,__fk_,satihdeonr,1154.045452,18.00%,→002.24%,35.97%,←001.37%,60179121682.66,←002.04%,←001.90%,1.78,←000.41%,1.79,1.78,07.53% │ 09.94% │ 10.47% │ 13.33% │ 09.23%,08.80% │ 12.50% │ 10.13% │ 09.97% │ 08.09%,06.58% │ 10.17% │ 14.27% │ 12.93% │ 06.40%,05.87% │ 13.66% │ 12.53% │ 10.84% │ 06.76%,→006.90% │ →000.34% │ ←003.32% │ ←006.67% │ ←004.88%,24.31%,66.13%,09.56%,←001.31% │ →004.12% │ ←061.14%,50.50%,49.50%,50.34%,49.66%,30392644881.54,29786476801.12,8695353043,8577657410,6213698251,1537289468,1572498697,3832806644,3761394760
_pmub,saith,zxcvq,fgklj,doenr,_wy__,saithdoenr,1153.716379,17.39%,←001.32%,37.21%,→000.98%,59945884729.29,←001.48%,←001.82%,1.75,←002.10%,1.76,1.73,07.74% │ 10.47% │ 11.11% │ 11.59% │ 09.46%,09.05% │ 11.26% │ 10.75% │ 10.57% │ 08.01%,06.58% │ 10.61% │ 13.52% │ 12.65% │ 06.40%,06.01% │ 11.30% │ 14.42% │ 11.76% │ 06.76%,→003.33% │ →000.98% │ ←003.39% │ ←002.93% │ ←004.53%,23.83%,65.96%,10.21%,→009.19% │ ←001.02% │ ←035.73%,50.37%,49.63%,49.75%,50.25%,30192905049.71,29752979679.58,8593775782,8679234671,6427336746,1511811331,1492057646,3723481590,3657081319
_fmub,siath,zxcvq,gly__,dneor,jkwp_,siathdneor,1152.962145,16.63%,←001.92%,37.97%,→000.83%,59400295815.67,←001.97%,→000.53%,1.72,←000.22%,1.73,1.72,07.79% │ 09.68% │ 11.96% │ 11.57% │ 09.49%,09.41% │ 11.22% │ 11.50% │ 09.33% │ 08.06%,06.58% │ 09.97% │ 14.20% │ 12.65% │ 06.40%,06.10% │ 12.50% │ 15.36% │ 09.71% │ 06.53%,→003.35% │ ←003.81% │ ←003.98% │ ←003.12% │ ←000.89%,21.86%,66.28%,11.86%,←005.14% │ ←001.05% │ ←001.41%,50.49%,49.51%,49.79%,50.21%,29990073529.76,29410222285.91,8600676209,8672334244,6559079981,1449600712,1422320524,3614785250,3634034424
_mpub,sitah,zxcvq,_gklw,noerd,_fyj_,sitahnoerd,1151.995016,17.51%,→000.06%,37.21%,→000.98%,60370699418.65,→000.48%,←001.82%,1.75,←002.10%,1.76,1.73,07.66% │ 10.12% │ 10.76% │ 12.07% │ 09.28%,09.63% │ 12.06% │ 10.36% │ 10.28% │ 07.79%,06.58% │ 10.38% │ 14.27% │ 12.13% │ 06.40%,07.49% │ 11.80% │ 14.42% │ 11.03% │ 05.51%,→001.67% │ →001.57% │ ←003.89% │ ←000.01% │ →003.67%,22.68%,66.03%,11.29%,→001.35% │ →002.16% │ ←011.92%,49.88%,50.12%,49.75%,50.25%,30112617362.86,30258082055.79,8593775782,8679234671,6427336746,1511811331,1512692822,3723481590,3657081319
_mpub,sitah,zxcvq,_fklw,roend,_gyj_,sitahroend,1149.813070,17.45%,←000.66%,37.21%,→000.98%,60229357598.39,→000.01%,←001.82%,1.75,←002.10%,1.76,1.73,07.67% │ 10.14% │ 10.79% │ 12.09% │ 09.30%,08.71% │ 11.92% │ 10.98% │ 10.87% │ 07.52%,06.58% │ 10.38% │ 14.27% │ 12.13% │ 06.40%,06.53% │ 11.80% │ 14.42% │ 11.99% │ 05.51%,←001.97% │ →006.68% │ →001.70% │ ←001.43% │ ←006.73%,22.63%,66.36%,11.01%,→000.47% │ →002.67% │ ←018.75%,50.00%,50.00%,49.75%,50.25%,30112617362.86,30116740235.53,8593775782,8679234671,6427336746,1511811331,1501891526,3723481590,3657081319
_gmub,saith,zxcvq,flw__,dneor,jkyp_,saithdneor,1147.119573,17.31%,→000.25%,37.71%,→001.36%,59481368518.58,←001.70%,←000.89%,1.73,←001.66%,1.75,1.72,07.80% │ 10.16% │ 11.21% │ 11.65% │ 09.60%,09.35% │ 11.12% │ 11.43% │ 09.61% │ 08.06%,06.58% │ 10.51% │ 13.52% │ 12.65% │ 06.40%,06.24% │ 12.50% │ 15.36% │ 09.71% │ 06.53%,→003.25% │ ←005.67% │ →001.98% │ ←004.83% │ ←002.63%,21.61%,66.23%,12.15%,←006.79% │ ←001.32% │ →004.90%,50.42%,49.58%,49.66%,50.34%,29990701739.15,29490666779.43,8577289503,8695720950,6513762202,1493341200,1497155501,3663237548,3630899905
