keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_wgdq,notih,zxcvy,ulpbj,msear,kf___,notihmsear,1170.383201,18.14%,→000.55%,36.60%,←000.83%,59988232963.85,←000.74%,←000.04%,1.76,→000.60%,1.76,1.77,08.78% │ 09.13% │ 10.25% │ 12.55% │ 09.47%,09.17% │ 12.84% │ 09.96% │ 09.40% │ 08.45%,07.62% │ 09.44% │ 14.17% │ 12.49% │ 06.48%,06.13% │ 12.90% │ 14.12% │ 09.89% │ 06.76%,←003.95% │ →002.89% │ ←002.98% │ →002.31% │ ←003.31%,24.05%,63.98%,11.97%,→035.66% │ ←002.60% │ ←132.22%,50.18%,49.82%,50.21%,49.79%,30104079078.90,29884153884.95,8672071502,8600938951,6322058577,1562718339,1571403289,3743726837,3742114241
_yfdj,notih,zxcvb,ulpgq,msear,kw___,notihmsear,1170.299805,17.67%,→001.24%,37.28%,←001.62%,59718176456.56,←001.83%,←000.04%,1.74,→001.15%,1.73,1.75,08.75% │ 09.58% │ 10.24% │ 12.61% │ 09.27%,09.14% │ 12.30% │ 09.88% │ 09.96% │ 08.27%,07.62% │ 09.46% │ 14.31% │ 12.49% │ 06.53%,06.13% │ 12.41% │ 14.12% │ 10.32% │ 06.63%,←005.90% │ →003.88% │ ←003.71% │ ←002.52% │ ←001.40%,24.58%,64.16%,11.26%,→034.54% │ ←002.78% │ ←169.02%,50.45%,49.55%,50.40%,49.60%,30129495520.56,29588680936.00,8705690692,8567319761,6439840893,1516389175,1535438477,3684796501,3683262261
_ygdq,notih,zxcvw,ulpbj,msear,kf___,notihmsear,1166.185146,18.15%,→000.50%,36.60%,←000.83%,60185428126.66,←001.40%,←000.04%,1.76,→000.60%,1.76,1.77,08.76% │ 09.16% │ 10.22% │ 12.74% │ 09.47%,09.14% │ 12.80% │ 09.92% │ 09.37% │ 08.42%,07.62% │ 09.46% │ 14.17% │ 12.49% │ 06.47%,06.13% │ 12.90% │ 14.12% │ 09.89% │ 06.76%,←004.09% │ →002.27% │ ←002.98% │ →000.49% │ ←003.61%,24.02%,64.10%,11.88%,→035.31% │ ←003.65% │ ←130.73%,50.35%,49.65%,50.21%,49.79%,30301274241.71,29884153884.95,8672071502,8600938951,6322058577,1563475489,1571403289,3743726837,3742114241
_wgdq,nitoh,zxcvy,ulpbj,msear,kf___,nitohmsear,1163.754556,18.14%,→000.55%,36.60%,←000.83%,60113790678.61,←001.16%,←000.04%,1.76,→000.60%,1.76,1.77,08.85% │ 09.01% │ 10.51% │ 12.46% │ 09.45%,09.15% │ 12.82% │ 09.93% │ 09.38% │ 08.43%,07.62% │ 09.47% │ 14.17% │ 12.46% │ 06.48%,06.13% │ 12.90% │ 14.12% │ 09.89% │ 06.76%,←004.96% │ →003.91% │ ←005.77% │ →002.76% │ ←003.32%,23.92%,64.10%,11.98%,→036.21% │ ←003.40% │ ←133.19%,50.29%,49.71%,50.21%,49.79%,30229636793.66,29884153884.95,8672071502,8600938951,6322058577,1562718339,1571403289,3743726837,3742114241
_ygdq,nitoh,zxcvw,ulpbj,msear,kf___,nitohmsear,1161.102645,18.15%,→000.50%,36.60%,←000.83%,60261772149.44,←001.65%,←000.04%,1.76,→000.60%,1.76,1.77,08.84% │ 09.13% │ 10.48% │ 12.49% │ 09.47%,09.13% │ 12.78% │ 09.91% │ 09.36% │ 08.41%,07.62% │ 09.48% │ 14.17% │ 12.46% │ 06.47%,06.13% │ 12.90% │ 14.12% │ 09.89% │ 06.76%,←005.10% │ →002.42% │ ←005.77% │ →002.34% │ ←003.77%,23.99%,64.10%,11.91%,→035.30% │ ←003.89% │ ←132.07%,50.41%,49.59%,50.21%,49.79%,30377618264.49,29884153884.95,8672071502,8600938951,6322058577,1563475489,1571403289,3743726837,3742114241
_fydj,nitoh,zxcvb,ulpgq,msear,kw___,nitohmsear,1158.426809,17.67%,→001.24%,37.28%,←001.62%,59930620834.04,←002.55%,←000.04%,1.74,→001.15%,1.73,1.75,08.80% │ 09.73% │ 10.10% │ 12.76% │ 09.24%,09.11% │ 12.26% │ 09.84% │ 09.93% │ 08.24%,07.62% │ 09.97% │ 13.83% │ 12.46% │ 06.53%,06.13% │ 12.41% │ 14.12% │ 10.32% │ 06.63%,←006.88% │ →002.00% │ ←002.65% │ ←004.08% │ ←001.40%,24.54%,64.21%,11.25%,→034.24% │ ←003.66% │ ←170.06%,50.63%,49.37%,50.40%,49.60%,30341939898.04,29588680936.00,8705690692,8567319761,6439840893,1516389175,1535438477,3684796501,3683262261
_wgdq,notih,zxcvb,ylpuj,maesr,fk___,notihmaesr,1157.334208,17.72%,←000.40%,37.11%,←000.49%,59881645568.43,←000.76%,←001.17%,1.75,←000.51%,1.75,1.74,08.79% │ 09.20% │ 10.26% │ 12.66% │ 09.28%,09.54% │ 13.28% │ 09.74% │ 08.98% │ 08.27%,07.62% │ 09.44% │ 14.17% │ 12.49% │ 06.40%,06.49% │ 13.28% │ 14.12% │ 09.23% │ 06.76%,←006.17% │ ←002.45% │ ←005.37% │ →004.66% │ →002.68%,23.77%,63.92%,12.31%,→034.36% │ ←004.08% │ ←097.34%,50.19%,49.81%,50.12%,49.88%,30054193636.25,29827451932.18,8657583461,8615426992,6409635909,1533562694,1527504842,3720624163,3677639583
_fujy,roned,zxcvk,wmspb,hital,qg___,ronedhital,1156.733207,18.52%,←002.49%,37.08%,→001.02%,59874708286.82,→001.70%,←001.56%,1.75,←001.95%,1.77,1.73,07.95% │ 10.00% │ 10.39% │ 11.96% │ 09.26%,09.41% │ 12.02% │ 10.51% │ 10.57% │ 07.92%,06.66% │ 09.94% │ 13.60% │ 13.28% │ 06.27%,06.47% │ 12.24% │ 15.24% │ 10.42% │ 05.89%,←000.36% │ →005.35% │ →001.09% │ →000.49% │ →001.59%,25.90%,64.60%,09.50%,→047.87% │ ←008.76% │ ←186.08%,49.57%,50.43%,49.74%,50.26%,29679960121.08,30194748165.74,8592051373,8680959080,6405145309,1618941199,1579669106,3730024458,3672729888
_wgdq,notih,zxcvy,blpuk,maers,fj___,notihmaers,1156.564800,18.17%,→000.79%,36.60%,←000.83%,60275542301.87,→000.22%,←000.04%,1.76,→000.60%,1.76,1.77,08.74% │ 09.09% │ 10.20% │ 12.49% │ 09.43%,09.09% │ 12.77% │ 09.99% │ 09.28% │ 08.93%,07.62% │ 09.44% │ 14.17% │ 12.49% │ 06.48%,06.41% │ 12.77% │ 14.12% │ 09.31% │ 07.19%,→002.08% │ →002.13% │ ←002.12% │ →002.18% │ ←003.72%,24.47%,63.74%,11.79%,→037.97% │ ←002.39% │ ←140.89%,49.94%,50.06%,50.21%,49.79%,30104079078.90,30171463222.97,8672071502,8600938951,6322058577,1562718339,1575195405,3743726837,3742114241
_ygdq,notih,zxcvw,blpuj,maesr,fk___,notihmaesr,1155.678066,18.15%,→000.50%,36.60%,←000.83%,60489718503.56,←000.37%,←000.04%,1.76,→000.60%,1.76,1.77,08.72% │ 09.11% │ 10.17% │ 12.67% │ 09.42%,09.06% │ 13.50% │ 10.11% │ 08.95% │ 08.28%,07.62% │ 09.46% │ 14.17% │ 12.49% │ 06.47%,06.41% │ 13.28% │ 14.12% │ 09.23% │ 06.76%,←005.31% │ ←001.81% │ ←000.57% │ →006.15% │ ←003.95%,23.47%,64.19%,12.34%,→033.33% │ ←002.30% │ ←101.28%,50.09%,49.91%,50.21%,49.79%,30301274241.71,30188444261.85,8672071502,8600938951,6322058577,1563475489,1571403289,3743726837,3742114241
_wgdb,notih,zxcvq,ylpuj,maesr,fk___,notihmaesr,1155.433043,17.72%,←000.36%,37.11%,←000.49%,59900582974.86,←000.82%,←001.17%,1.75,←000.51%,1.75,1.74,08.78% │ 09.21% │ 10.26% │ 12.65% │ 09.29%,09.53% │ 13.28% │ 09.73% │ 08.98% │ 08.27%,07.62% │ 09.44% │ 14.17% │ 12.49% │ 06.40%,06.49% │ 13.28% │ 14.12% │ 09.23% │ 06.76%,←006.17% │ ←002.64% │ ←005.40% │ →004.70% │ →002.50%,26.00%,63.91%,10.09%,→018.75% │ ←004.13% │ ←043.70%,50.21%,49.79%,50.12%,49.88%,30073131042.68,29827451932.18,8657583461,8615426992,6409635909,1532934188,1527504842,3720624163,3677639583
_ygdq,notih,zxcvw,blpuk,maers,fj___,notihmaers,1153.249664,18.17%,→000.74%,36.60%,←000.83%,60472737464.68,←000.43%,←000.04%,1.76,→000.60%,1.76,1.77,08.72% │ 09.11% │ 10.17% │ 12.68% │ 09.42%,09.06% │ 12.72% │ 09.96% │ 09.25% │ 08.90%,07.62% │ 09.46% │ 14.17% │ 12.49% │ 06.47%,06.41% │ 12.77% │ 14.12% │ 09.31% │ 07.19%,→001.95% │ →001.51% │ ←002.11% │ →000.37% │ ←004.02%,24.45%,63.86%,11.69%,→037.64% │ ←003.44% │ ←139.34%,50.11%,49.89%,50.21%,49.79%,30301274241.71,30171463222.97,8672071502,8600938951,6322058577,1563475489,1575195405,3743726837,3742114241
_wgdq,nitoh,zxcvy,blpuk,maers,fj___,nitohmaers,1152.486567,18.17%,→000.79%,36.60%,←000.83%,60401100016.63,←000.19%,←000.04%,1.76,→000.60%,1.76,1.77,08.81% │ 08.97% │ 10.46% │ 12.40% │ 09.41%,09.07% │ 12.74% │ 09.97% │ 09.26% │ 08.91%,07.62% │ 09.47% │ 14.17% │ 12.46% │ 06.48%,06.41% │ 12.77% │ 14.12% │ 09.31% │ 07.19%,→001.13% │ →003.16% │ ←004.89% │ →002.64% │ ←003.73%,24.34%,63.86%,11.80%,→038.50% │ ←003.20% │ ←141.90%,50.05%,49.95%,50.21%,49.79%,30229636793.66,30171463222.97,8672071502,8600938951,6322058577,1562718339,1575195405,3743726837,3742114241
_wgdj,notih,zxcvy,blpuk,maers,fq___,notihmaers,1152.159650,18.21%,←000.46%,36.56%,←001.35%,60318989270.71,←000.74%,←000.65%,1.77,→000.53%,1.76,1.77,08.73% │ 09.16% │ 10.20% │ 12.49% │ 09.61%,09.08% │ 12.57% │ 09.95% │ 09.29% │ 08.92%,07.62% │ 09.44% │ 14.17% │ 12.49% │ 06.61%,06.41% │ 12.64% │ 14.12% │ 09.31% │ 07.19%,→002.08% │ →001.47% │ ←002.43% │ →000.63% │ ←005.79%,24.66%,63.71%,11.62%,→036.79% │ ←002.88% │ ←152.13%,50.18%,49.82%,50.34%,49.66%,30270253699.10,30048735571.61,8694622702,8578387751,6315297942,1576456400,1569198610,3758402234,3734199479
