keys_1, keys_2, keys_3, keys_4, keys_5, keys_6, fitness, count_ratio, effort, left_effort, left_effort_ratio, left_count, left_count_ratio, right_effort, right_effort_ratio, right_count, right_count_ratio, bigram_switches, switch_ratio, row_switch_cost, row_switch_ratio
_cthz, sanik, __vg_, qbumj, poerl, xdyfw, 1.5557, 1.02, 52813991887.20, 25029806140.30, 47.39%, 8739933060, 50.60%, 27784185746.90, 52.61%, 8533077393, 49.40%, 5879437586, 34.04%, 4178587070, 24.19%
_cth_, sanik, zjvgq, _bum_, poerl, xdyfw, 1.5525, 1.04, 52856665993.10, 25323112376.40, 47.91%, 8796903458, 50.93%, 27533553616.70, 52.09%, 8476106995, 49.07%, 5914026037, 34.24%, 4176616064, 24.18%
_cth_, sanik, jzvgq, _bum_, poerl, xdyfw, 1.5525, 1.04, 52859761401.60, 25326207784.90, 47.91%, 8796903458, 50.93%, 27533553616.70, 52.09%, 8476106995, 49.07%, 5914026037, 34.24%, 4176616064, 24.18%
_cth_, sinak, jzvgq, _bum_, poerl, xdyfw, 1.5523, 1.04, 52866026232.60, 25332472615.90, 47.92%, 8796903458, 50.93%, 27533553616.70, 52.08%, 8476106995, 49.07%, 5914026037, 34.24%, 4176616064, 24.18%
_cth_, sinak, zjvgq, _bum_, poerl, xdyfw, 1.5523, 1.04, 52866091776.30, 25332538159.60, 47.92%, 8796903458, 50.93%, 27533553616.70, 52.08%, 8476106995, 49.07%, 5914026037, 34.24%, 4176616064, 24.18%
_cth_, sanik, qjvgz, _bum_, poerl, xdyfw, 1.5523, 1.04, 52866406428.10, 25332852811.40, 47.92%, 8796903458, 50.93%, 27533553616.70, 52.08%, 8476106995, 49.07%, 5914026037, 34.24%, 4176616064, 24.18%
_vlyx, sreap, jbmuq, _foc_, wtnih, _dgkz, 1.5522, 1.00, 53064443343.30, 27010484177.00, 50.90%, 8625028987, 49.93%, 26053959166.30, 49.10%, 8647981466, 50.07%, 5976078597, 34.60%, 4056854963, 23.49%
_vlyx, sreap, jbmuq, _foc_, wtinh, _dgkz, 1.5521, 1.00, 53067037679.90, 27010484177.00, 50.90%, 8625028987, 49.93%, 26056553502.90, 49.10%, 8647981466, 50.07%, 5976078597, 34.60%, 4056854963, 23.49%
_cth_, sanik, qzvgj, _bum_, poerl, xdyfw, 1.5520, 1.04, 52873650604.30, 25340096987.60, 47.93%, 8796903458, 50.93%, 27533553616.70, 52.07%, 8476106995, 49.07%, 5914026037, 34.24%, 4176616064, 24.18%
_cth_, sinak, qjvgz, _bum_, poerl, xdyfw, 1.5520, 1.04, 52874285712.10, 25340732095.40, 47.93%, 8796903458, 50.93%, 27533553616.70, 52.07%, 8476106995, 49.07%, 5914026037, 34.24%, 4176616064, 24.18%
_cth_, sanik, jqvgz, _bum_, poerl, xdyfw, 1.5520, 1.04, 52875108173.90, 25341554557.20, 47.93%, 8796903458, 50.93%, 27533553616.70, 52.07%, 8476106995, 49.07%, 5914026037, 34.24%, 4176616064, 24.18%
_cth_, sinak, jqvgz, _bum_, poerl, xdyfw, 1.5519, 1.04, 52878826688.00, 25345273071.30, 47.93%, 8796903458, 50.93%, 27533553616.70, 52.07%, 8476106995, 49.07%, 5914026037, 34.24%, 4176616064, 24.18%
_cth_, sanik, zqvgj, _bum_, poerl, xdyfw, 1.5519, 1.04, 52879259735.80, 25345706119.10, 47.93%, 8796903458, 50.93%, 27533553616.70, 52.07%, 8476106995, 49.07%, 5914026037, 34.24%, 4176616064, 24.18%
_cth_, snaik, jzvgq, _bum_, poerl, xdyfw, 1.5514, 1.04, 52895804701.90, 25362251085.20, 47.95%, 8796903458, 50.93%, 27533553616.70, 52.05%, 8476106995, 49.07%, 5914026037, 34.24%, 4176616064, 24.18%
_cth_, snaik, zjvgq, _bum_, poerl, xdyfw, 1.5514, 1.04, 52896629593.30, 25363075976.60, 47.95%, 8796903458, 50.93%, 27533553616.70, 52.05%, 8476106995, 49.07%, 5914026037, 34.24%, 4176616064, 24.18%
_cth_, sanik, zjvgq, _pum_, boerl, xdyfw, 1.5512, 1.04, 52808293092.50, 25323112376.40, 47.95%, 8796903458, 50.93%, 27485180716.10, 52.05%, 8476106995, 49.07%, 5914026037, 34.24%, 4245713696, 24.58%
_cth_, sanik, jzvgq, _pum_, boerl, xdyfw, 1.5511, 1.04, 52811388501.00, 25326207784.90, 47.96%, 8796903458, 50.93%, 27485180716.10, 52.04%, 8476106995, 49.07%, 5914026037, 34.24%, 4245713696, 24.58%
_cth_, sinak, jzvgq, _pum_, boerl, xdyfw, 1.5509, 1.04, 52817653332.00, 25332472615.90, 47.96%, 8796903458, 50.93%, 27485180716.10, 52.04%, 8476106995, 49.07%, 5914026037, 34.24%, 4245713696, 24.58%
_cth_, sinak, zjvgq, _pum_, boerl, xdyfw, 1.5509, 1.04, 52817718875.70, 25332538159.60, 47.96%, 8796903458, 50.93%, 27485180716.10, 52.04%, 8476106995, 49.07%, 5914026037, 34.24%, 4245713696, 24.58%
_dly_, raeng, xvbm_, jfouq, wtsih, _cpkz, 1.5488, 1.07, 52976313213.30, 27975734530.90, 52.81%, 8911989647, 51.59%, 25000578682.40, 47.19%, 8361020806, 48.41%, 5997841027, 34.72%, 4028762948, 23.32%
xply_, sreav, jbmuq, kfoc_, wtinh, _dgz_, 1.5469, 1.00, 53236844631.30, 27052981264.10, 50.82%, 8625028987, 49.93%, 26183863367.20, 49.18%, 8647981466, 50.07%, 5976078597, 34.60%, 4062643762, 23.52%
_cth_, sanik, zxvgj, _bum_, poerl, qdyfw, 1.5467, 1.04, 53010233327.90, 25537723698.80, 48.18%, 8812813083, 51.02%, 27472509629.10, 51.82%, 8460197370, 48.98%, 5914160787, 34.24%, 4197793987, 24.30%
_cth_, sanik, zxvgq, _bum_, poerl, jdyfw, 1.5467, 1.04, 53035498048.10, 25444752206.40, 47.98%, 8790261883, 50.89%, 27590745841.70, 52.02%, 8482748570, 49.11%, 5910790746, 34.22%, 4199138195, 24.31%
_pumq, saerv, jbylx, kfocz, wtnih, _dg__, 1.5466, 1.00, 53263622343.30, 27036002603.10, 50.76%, 8625028987, 49.93%, 26227619740.20, 49.24%, 8647981466, 50.07%, 5976078597, 34.60%, 4051611918, 23.46%
_cth_, sinak, zxvgq, _bum_, poerl, jdyfw, 1.5464, 1.04, 53045824760.90, 25455078919.20, 47.99%, 8790261883, 50.89%, 27590745841.70, 52.01%, 8482748570, 49.11%, 5910790746, 34.22%, 4199138195, 24.31%
_cth_, sanik, zxvgq, _pum_, boerl, jdyfw, 1.5463, 1.04, 52962520571.60, 25444752206.40, 48.04%, 8790261883, 50.89%, 27517768365.20, 51.96%, 8482748570, 49.11%, 5910790746, 34.22%, 4260568964, 24.67%
_cth_, sanik, zxvgj, _pum_, boerl, qdyfw, 1.5463, 1.04, 52938153273.20, 25537723698.80, 48.24%, 8812813083, 51.02%, 27400429574.40, 51.76%, 8460197370, 48.98%, 5914160787, 34.24%, 4260398377, 24.67%
_cth_, sinak, zxvgj, _bum_, poerl, qdyfw, 1.5462, 1.04, 53029098816.40, 25556589187.30, 48.19%, 8812813083, 51.02%, 27472509629.10, 51.81%, 8460197370, 48.98%, 5914160787, 34.24%, 4197793987, 24.30%
_cth_, sinak, zxvgq, _pum_, boerl, jdyfw, 1.5460, 1.04, 52972847284.40, 25455078919.20, 48.05%, 8790261883, 50.89%, 27517768365.20, 51.95%, 8482748570, 49.11%, 5910790746, 34.22%, 4260568964, 24.67%
xply_, sreav, jbmuq, kfocz, wtnih, _dg__, 1.5459, 1.00, 53280601004.30, 27052981264.10, 50.77%, 8625028987, 49.93%, 26227619740.20, 49.23%, 8647981466, 50.07%, 5976078597, 34.60%, 4057420558, 23.49%
_cth_, sinak, zxvgj, _pum_, boerl, qdyfw, 1.5458, 1.04, 52957018761.70, 25556589187.30, 48.26%, 8812813083, 51.02%, 27400429574.40, 51.74%, 8460197370, 48.98%, 5914160787, 34.24%, 4260398377, 24.67%
xply_, sreav, jbmuq, kfocz, wtinh, _dg__, 1.5457, 1.00, 53285085722.10, 27052981264.10, 50.77%, 8625028987, 49.93%, 26232104458.00, 49.23%, 8647981466, 50.07%, 5976078597, 34.60%, 4057420558, 23.49%
_cth_, snaik, zxvgq, _bum_, poerl, jdyfw, 1.5456, 1.04, 53071902140.50, 25481156298.80, 48.01%, 8790261883, 50.89%, 27590745841.70, 51.99%, 8482748570, 49.11%, 5910790746, 34.22%, 4199138195, 24.31%
_cth_, snaik, zxvgj, _bum_, poerl, qdyfw, 1.5456, 1.04, 53050237347.80, 25577727718.70, 48.21%, 8812813083, 51.02%, 27472509629.10, 51.79%, 8460197370, 48.98%, 5914160787, 34.24%, 4197793987, 24.30%
