keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,roll_imbalance,mean_streak,streak_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls,left_streak,right_streak
_uspk,lerad,xqvy_,whtc_,finog,_mbzj,!!!,5173.446441,19.51%,0.22%,35.98%,0.20%,0.54%,1.78,1.00,49.84%,50.16%,50.05%,49.95%,29294644844.20,14600197935.70,14694446908.50,8645014898,8627995555,6215353415,1682759747,1686400528,3806407275,3786138965,1.79,1.78
_mub_,lreop,wfydq,_htc_,kinas,jgvxz,first,4281.527631,24.30%,1.30%,34.24%,4.00%,9.90%,1.84,0.95,51.88%,48.12%,48.98%,51.02%,29676373853.70,15395563847.30,14280810006.40,8460197370,8812813083,5914160787,2085168497,2112625490,3741324848,4152414020,1.79,1.89
_mofj,hretv,zxkd_,qwcg_,unais,_lpyb,current,3872.051758,19.41%,21.44%,36.82%,2.11%,0.81%,1.76,0.99,45.64%,54.36%,50.52%,49.48%,29648009790.60,13532252334.30,16115757456.30,8726527423,8546483030,6359512702,1474745004,1877264796,3739135259,3709251694,1.75,1.77
jymdk,aserf,zxcvw,qplu_,gtnio,bh___,capewell9.3,3821.827577,20.47%,6.88%,38.54%,3.77%,4.48%,1.71,0.94,52.99%,47.01%,50.93%,49.07%,32335794811.80,17133793253.10,15202001558.70,8796411478,8476598975,6656360449,1826882946,1709231394,3493754822,3657784384,1.66,1.76
qwsf_,uared,zxcvb,kgnyj,lotim,ph___,naive,3718.354456,22.55%,12.03%,39.43%,0.56%,4.09%,1.68,0.97,50.71%,49.29%,50.14%,49.86%,31006899380.50,15724424473.20,15282474907.30,8660665789,8612344664,6811381014,1822977099,2072378892,3425188868,3571329773,1.65,1.71
_uspq,hertv,zxwd_,kfoc_,mnail,_bygj,base,3657.967644,21.11%,20.47%,35.21%,1.44%,6.06%,1.81,0.94,48.22%,51.78%,50.36%,49.64%,29470774578.20,14212060782.00,15258713796.20,8698101565,8574908888,6081183082,1615026768,2030645397,3742707639,3984008934,1.76,1.87
_pufj,ioeny,___lk,bwrdq,gthsa,vcmxz,workman,3632.221744,18.59%,6.30%,44.40%,5.20%,2.76%,1.55,1.05,44.88%,55.12%,48.67%,51.33%,31449919740.50,14113545769.90,17336373970.60,8405955177,8867055276,7668874917,1654678160,1556601502,3111238059,3027786679,1.59,1.52
quspj,hertv,__wd_,kfoc_,mnail,zbygx,unlimited,3506.804803,20.86%,23.42%,35.30%,1.07%,7.22%,1.81,0.93,48.06%,51.94%,50.27%,49.73%,29504998139.90,14179082534.10,15325915605.80,8682507209,8590503244,6098019463,1562788689,2040610485,3710492124,3999388068,1.75,1.87
_yulj,oiedh,___mk,gpfwq,trnsa,bvcxz,gelatin,3258.277448,14.93%,19.22%,46.14%,7.88%,5.03%,1.51,1.02,43.84%,56.16%,47.95%,52.05%,34437911211.20,15098644622.20,19339266589.00,8282423136,8990587317,7970606814,1402759790,1176569436,2843416695,2993876146,1.52,1.50
_lucj,iresm,___wv,kdhfy,gtnao,zpbxq,mtgap_a,3246.888568,18.87%,23.34%,40.37%,5.79%,2.22%,1.65,1.02,46.76%,53.24%,48.51%,51.49%,31531133991.60,14744263610.10,16786870381.50,8378902411,8894108042,6972697893,1414437895,1845102084,3379235813,3455965949,1.68,1.64
kcdgz,fteav,xbwsq,jurl_,ynioh,pm___,normal-l,3094.529733,22.68%,9.97%,44.15%,10.19%,1.05%,1.56,0.94,51.39%,48.61%,52.42%,47.58%,30619070683.40,15733614208.80,14885456474.60,9055227040,8217783413,7626560133,2052025236,1866049272,3074391276,3106948246,1.51,1.61
juopy,_aeni,___zq,wcldk,rsthm,xvgfb,mtgap_c,3008.068038,10.59%,21.43%,52.48%,0.15%,33.38%,1.38,1.12,44.24%,55.76%,49.96%,50.04%,33488954745.60,14817185070.20,18671769675.40,8630238214,8642772239,9065049339,1003529086,826397649,2710564612,2032285704,1.46,1.31
_uopy,jaeni,___zq,wcldk,rsthm,xvgfb,mtgap_b,3001.819448,10.61%,21.86%,52.48%,0.15%,33.38%,1.38,1.12,44.07%,55.93%,49.96%,50.04%,33386699265.20,14714929589.80,18671769675.40,8630238214,8642772239,9065049339,1007031993,826397649,2710564612,2032285704,1.46,1.31
jmydg,asref,zxcvb,qwhk_,ltnio,up___,capewell9.2,2957.388481,19.92%,36.04%,38.87%,9.03%,5.61%,1.70,0.98,55.19%,44.81%,52.16%,47.84%,33866622740.70,18689897643.70,15176725097.00,9009421461,8263588992,6714605233,1983053621,1457740516,3643420759,3449873663,1.68,1.72
qwdfk,asetg,zxcvb,jurl_,ynioh,pm___,norman,2921.810308,19.72%,17.45%,44.15%,10.19%,1.05%,1.56,0.94,53.00%,47.00%,52.42%,47.58%,31669151101.60,16783694627.00,14885456474.60,9055227040,8217783413,7626560133,1540470918,1866049272,3074391276,3106948246,1.51,1.61
_fuyb,hoedi,___pk,wlmgq,rntsa,jvcxz,qgmlwb,2916.333890,14.66%,15.40%,46.61%,12.02%,22.71%,1.50,0.94,45.25%,54.75%,46.80%,53.20%,34173534968.50,15464240936.40,18709294032.10,8084055294,9188955159,8050538790,1160575924,1371844951,2509918078,3247442787,1.45,1.55
_bufy,hoedi,___pk,wlmgq,rntsa,jvcxz,qgmlwy,2916.079611,14.66%,15.40%,46.61%,12.02%,22.71%,1.50,0.94,45.26%,54.74%,46.80%,53.20%,34178762626.90,15469468594.80,18709294032.10,8084055294,9188955159,8050538790,1160575924,1371844951,2509918078,3247442787,1.45,1.55
kcdgz,fteav,xbwsq,jurh_,moinp,yl___,norman-lr,2858.780477,21.58%,22.52%,44.15%,10.19%,1.05%,1.56,0.94,52.29%,47.71%,52.42%,47.58%,30088402187.70,15733614208.80,14354787978.90,9055227040,8217783413,7626560133,2052025236,1674820670,3074391276,3106948246,1.51,1.61
_yupk,dieao,___zq,cfmlw,shtnr,jbgvx,klauser,2826.402174,10.42%,17.62%,55.42%,11.98%,19.55%,1.32,0.97,40.64%,59.36%,46.81%,53.19%,33984202024.90,13809613962.60,20174588062.30,8086192750,9186817703,9572695862,812911559,986788961,1888148799,2347054994,1.30,1.34
_uohq,xaeiy,___kj,zfrcg,bntsd,vplmw,breakl15,2761.340733,13.45%,13.62%,57.37%,15.44%,19.92%,1.29,0.98,38.28%,61.72%,45.82%,54.18%,31424311943.20,12028021853.80,19396290089.40,7914015361,9358995092,9908937763,1076433202,1246119750,1733774178,2165187714,1.28,1.30
_yumk,oienf,___hb,pdlwq,gtrsa,jvcxz,soul,2477.929432,16.94%,45.40%,45.32%,3.77%,26.01%,1.53,1.11,48.27%,51.73%,50.93%,49.07%,32318518551.70,15599406719.80,16719111831.90,8796290424,8476720029,7827463791,1734133350,1192658740,3334348889,2646086975,1.61,1.45
jbouy,_heai,___kp,wlmfq,rntsd,xcgvz,qfmlwy,2325.878308,11.53%,49.86%,55.67%,2.79%,22.80%,1.32,1.08,47.10%,52.90%,49.29%,50.71%,33381851642.50,15721344974.90,17660506667.60,8514237914,8758772539,9615047638,1194176516,796866709,2310993092,1881858925,1.37,1.27
_vcxz,uieao,___yp,krgfq,snthd,bwmlj,capewell-dvorak,2261.768711,13.96%,47.18%,53.61%,12.24%,9.08%,1.36,1.01,41.06%,58.94%,46.74%,53.26%,34542553972.60,14181474119.90,20361079852.70,8073679691,9199330762,9259353746,1435767540,975497591,2166123808,2382422101,1.37,1.35
