pair,count,%,raw,raw%
th,1880,3.7600,149331,3.7576
he,1776,3.5520,141061,3.5495
in,1237,2.4740,98260,2.4725
er,1069,2.1380,84912,2.1366
an,1061,2.1220,84287,2.1209
re,922,1.8440,73214,1.8423
on,824,1.6480,65420,1.6462
nd,797,1.5940,63313,1.5931
at,729,1.4580,57909,1.4572
en,708,1.4160,56190,1.4139
ed,689,1.3780,54734,1.3773
es,608,1.2160,48286,1.2150
is,589,1.1780,46790,1.1774
it,562,1.1240,44616,1.1227
or,554,1.1080,43949,1.1059
ha,553,1.1060,43901,1.1047
to,550,1.1000,43661,1.0986
ng,549,1.0980,43591,1.0969
te,549,1.0980,43573,1.0964
of,549,1.0980,43561,1.0961
ti,534,1.0680,42359,1.0659
ou,530,1.0600,42068,1.0586
ar,511,1.0220,40541,1.0201
hi,500,1.0000,39712,0.9993
st,486,0.9720,38561,0.9703
as,484,0.9680,38393,0.9661
se,470,0.9400,37270,0.9378
nt,455,0.9100,36091,0.9082
al,419,0.8380,33276,0.8373
le,414,0.8280,32891,0.8276
me,401,0.8020,31863,0.8018
ve,392,0.7840,31081,0.7821
ro,375,0.7500,29751,0.7486
ne,372,0.7440,29556,0.7437
co,368,0.7360,29224,0.7354
de,360,0.7200,28547,0.7183
ri,358,0.7160,28443,0.7157
ea,348,0.6960,27585,0.6941
io,320,0.6400,25422,0.6397
ce,320,0.6400,25418,0.6396
ll,313,0.6260,24822,0.6246
ra,291,0.5820,23097,0.5812
om,287,0.5740,22777,0.5731
be,286,0.5720,22672,0.5705
ic,284,0.5680,22552,0.5675
ho,284,0.5680,22544,0.5673
li,281,0.5620,22256,0.5600
ma,272,0.5440,21573,0.5428
ch,270,0.5400,21443,0.5396
ur,259,0.5180,20534,0.5167
no,256,0.5120,20297,0.5107
la,255,0.5100,20246,0.5094
wa,255,0.5100,20215,0.5087
si,252,0.5040,20007,0.5034
wh,248,0.4960,19697,0.4956
el,246,0.4920,19512,0.4910
ut,245,0.4900,19414,0.4885
ss,244,0.4880,19347,0.4868
us,243,0.4860,19258,0.4846
ad,242,0.4840,19212,0.4834
ly,240,0.4800,19002,0.4781
ta,239,0.4780,18932,0.4764
ca,226,0.4520,17903,0.4505
sh,220,0.4400,17464,0.4394
fo,220,0.4400,17441,0.4389
di,220,0.4400,17420,0.4383
pe,219,0.4380,17388,0.4375
un,216,0.4320,17136,0.4312
wi,216,0.4320,17124,0.4309
lo,213,0.4260,16886,0.4249
ot,212,0.4240,16831,0.4235
ow,209,0.4180,16582,0.4173
il,209,0.4180,16566,0.4168
so,209,0.4180,16554,0.4165
pr,208,0.4160,16504,0.4153
nc,206,0.4120,16358,0.4116
ac,204,0.4080,16151,0.4064
ns,203,0.4060,16100,0.4051
rs,200,0.4000,15825,0.3982
ai,199,0.3980,15757,0.3965
ie,194,0.3880,15355,0.3864
ol,192,0.3840,15194,0.3823
im,191,0.3820,15157,0.3814
we,190,0.3800,15045,0.3786
ec,187,0.3740,14846,0.3736
ee,185,0.3700,14660,0.3689
id,183,0.3660,14519,0.3653
ul,182,0.3640,14411,0.3626
em,182,0.3640,14389,0.3621
et,181,0.3620,14375,0.3617
tr,178,0.3560,14133,0.3556
mo,170,0.3400,13444,0.3383
ni,168,0.3360,13291,0.3344
ct,167,0.3340,13239,0.3331
ge,166,0.3320,13169,0.3314
os,165,0.3300,13057,0.3286
sa,162,0.3240,12857,0.3235
su,157,0.3140,12427,0.3127
ir,152,0.3040,12058,0.3034
po,150,0.3000,11871,0.2987
rt,150,0.3000,11871,0.2987
na,149,0.2980,11786,0.2966
ry,147,0.2940,11664,0.2935
pa,147,0.2940,11631,0.2927
oo,143,0.2860,11344,0.2854
ld,141,0.2820,11186,0.2815
fr,140,0.2800,11090,0.2791
ov,140,0.2800,11050,0.2780
mi,137,0.2740,10875,0.2736
am,134,0.2680,10584,0.2663
ay,133,0.2660,10532,0.2650
ts,129,0.2580,10221,0.2572
gh,128,0.2560,10165,0.2558
fi,128,0.2560,10100,0.2541
fe,127,0.2540,10089,0.2539
ev,126,0.2520,9969,0.2508
ke,121,0.2420,9570,0.2408
ig,116,0.2320,9193,0.2313
tu,115,0.2300,9134,0.2298
vi,115,0.2300,9133,0.2298
yo,115,0.2300,9078,0.2284
pl,115,0.2300,9064,0.2281
do,114,0.2280,9034,0.2273
ia,112,0.2240,8882,0.2235
bu,109,0.2180,8643,0.2175
bl,109,0.2180,8626,0.2171
bo,108,0.2160,8569,0.2156
av,106,0.2120,8422,0.2119
mp,106,0.2120,8398,0.2113
ap,104,0.2080,8238,0.2073
wo,101,0.2020,7993,0.2011
rr,101,0.2020,7972,0.2006
iv,101,0.2020,7967,0.2005
tt,100,0.2000,7935,0.1997
ab,100,0.2000,7890,0.1985
ci,97,0.1940,7695,0.1936
ag,94,0.1880,7449,0.1874
fa,93,0.1860,7357,0.1851
if,93,0.1860,7335,0.1846
op,93,0.1860,7323,0.1843
rd,92,0.1840,7262,0.1827
ep,92,0.1840,7261,0.1827
gr,92,0.1840,7253,0.1825
rm,90,0.1800,7147,0.1798
ex,90,0.1800,7143,0.1797
ei,88,0.1760,6964,0.1752
