letter,orig_count,orig_%,synth_count,synth_%
e,633818,12.48,8282,13.07
t,460741,9.07,4885,7.71
a,408089,8.03,5735,9.05
o,386867,7.62,4843,7.64
n,369018,7.26,4551,7.18
i,365638,7.20,5037,7.95
s,334897,6.59,3503,5.53
r,309555,6.09,3868,6.10
h,294681,5.80,4657,7.35
d,215706,4.25,2406,3.80
l,198648,3.91,2414,3.81
c,144972,2.85,1927,3.04
u,138732,2.73,1846,2.91
m,127063,2.50,1455,2.30
f,120875,2.38,1094,1.73
w,100831,1.99,1160,1.83
p,98913,1.95,1257,1.98
g,96916,1.91,1092,1.72
y,90481,1.78,1061,1.67
b,73168,1.44,936,1.48
v,52378,1.03,693,1.09
k,32798,0.65,375,0.59
x,9810,0.19,124,0.20
j,6436,0.13,83,0.13
q,4571,0.09,61,0.10
z,3796,0.07,42,0.07
