pair,count,%,raw,raw%
th,1882,3.7640,6889579,3.7610
he,1360,2.7200,4978561,2.7178
in,1159,2.3180,4244204,2.3169
on,1049,2.0980,3841421,2.0970
re,1045,2.0900,3826185,2.0887
an,945,1.8900,3460391,1.8890
at,831,1.6620,3042729,1.6610
er,818,1.6360,2994772,1.6349
en,804,1.6080,2940972,1.6055
ti,768,1.5360,2810777,1.5344
is,720,1.4400,2633394,1.4376
es,699,1.3980,2558915,1.3969
nt,639,1.2780,2339513,1.2771
or,634,1.2680,2320598,1.2668
it,612,1.2240,2239172,1.2224
nd,599,1.1980,2192234,1.1967
io,575,1.1500,2104280,1.1487
to,563,1.1260,2059619,1.1244
te,556,1.1120,2032767,1.1097
al,549,1.0980,2007350,1.0958
ha,548,1.0960,2005555,1.0948
co,536,1.0720,1962370,1.0713
ar,524,1.0480,1915546,1.0457
of,496,0.9920,1814536,0.9906
me,494,0.9880,1807964,0.9870
st,491,0.9820,1797841,0.9814
ou,474,0.9480,1735539,0.9474
ve,461,0.9220,1687477,0.9212
ro,458,0.9160,1675154,0.9145
ng,431,0.8620,1576447,0.8606
ed,426,0.8520,1559025,0.8511
se,411,0.8220,1502117,0.8200
ur,390,0.7800,1424893,0.7779
ea,383,0.7660,1402258,0.7655
de,375,0.7500,1372714,0.7494
le,368,0.7360,1346594,0.7351
si,362,0.7240,1324687,0.7232
as,356,0.7120,1302369,0.7110
ic,352,0.7040,1288923,0.7036
hi,348,0.6960,1272037,0.6944
be,338,0.6760,1236119,0.6748
pr,336,0.6720,1230101,0.6715
li,336,0.6720,1230060,0.6715
om,325,0.6500,1187889,0.6485
ri,318,0.6360,1161178,0.6339
pe,306,0.6120,1119505,0.6111
ta,305,0.6100,1113702,0.6080
ra,302,0.6040,1104065,0.6027
ce,290,0.5800,1061076,0.5792
po,290,0.5800,1060418,0.5789
ec,289,0.5780,1056009,0.5765
ns,288,0.5760,1054479,0.5756
ne,285,0.5700,1042182,0.5689
ll,280,0.5600,1022346,0.5581
fo,267,0.5340,975403,0.5325
op,266,0.5320,970984,0.5301
un,249,0.4980,908824,0.4961
we,247,0.4940,901267,0.4920
ss,244,0.4880,893277,0.4876
rt,235,0.4700,860438,0.4697
us,235,0.4700,858136,0.4685
em,235,0.4700,857140,0.4679
ct,232,0.4640,847372,0.4626
nc,232,0.4640,846928,0.4623
no,230,0.4600,840814,0.4590
el,224,0.4480,818960,0.4471
ch,221,0.4420,805804,0.4399
il,218,0.4360,797194,0.4352
ma,218,0.4360,796767,0.4350
ot,218,0.4360,795449,0.4342
ul,213,0.4260,777397,0.4244
tr,211,0.4220,770252,0.4205
ca,209,0.4180,762772,0.4164
ee,208,0.4160,761332,0.4156
la,208,0.4160,761331,0.4156
ly,208,0.4160,760332,0.4151
mi,206,0.4120,752826,0.4110
wi,201,0.4020,734764,0.4011
ho,200,0.4000,732018,0.3996
di,198,0.3960,723714,0.3951
ni,194,0.3880,709725,0.3874
ut,193,0.3860,705689,0.3852
ac,191,0.3820,696977,0.3805
wh,189,0.3780,690761,0.3771
so,187,0.3740,682204,0.3724
ci,186,0.3720,679886,0.3712
ts,186,0.3720,679067,0.3707
ie,183,0.3660,668157,0.3647
na,179,0.3580,653858,0.3569
ia,178,0.3560,651475,0.3556
et,177,0.3540,646115,0.3527
su,172,0.3440,628886,0.3433
rs,168,0.3360,611926,0.3341
am,161,0.3220,588936,0.3215
ge,160,0.3200,585823,0.3198
pa,159,0.3180,581413,0.3174
ol,155,0.3100,564173,0.3080
id,154,0.3080,560824,0.3062
eu,152,0.3040,555921,0.3035
im,152,0.3040,555755,0.3034
mo,143,0.2860,520639,0.2842
fi,141,0.2820,512911,0.2800
os,140,0.2800,512494,0.2798
mm,140,0.2800,509440,0.2781
ad,139,0.2780,507343,0.2770
ai,139,0.2780,505982,0.2762
iv,139,0.2780,505611,0.2760
ev,138,0.2760,504301,0.2753
pl,137,0.2740,501030,0.2735
mp,135,0.2700,493740,0.2695
ld,133,0.2660,486419,0.2655
ir,132,0.2640,481573,0.2629
lo,131,0.2620,478662,0.2613
ke,126,0.2520,460523,0.2514
ow,126,0.2520,458995,0.2506
av,125,0.2500,456429,0.2492
vi,124,0.2480,453707,0.2477
wo,122,0.2440,445583,0.2432
gr,121,0.2420,442528,0.2416
sh,119,0.2380,432764,0.2362
bl,118,0.2360,431815,0.2357
ty,117,0.2340,425847,0.2325
sa,116,0.2320,424476,0.2317
tu,115,0.2300,419507,0.2290
ab,110,0.2200,400567,0.2187
ag,108,0.2160,394212,0.2152
ry,108,0.2160,391874,0.2139
ig,106,0.2120,385610,0.2105
eg,103,0.2060,375472,0.2050
wa,102,0.2040,372652,0.2034
ex,96,0.1920,349818,0.1910
sp,96,0.1920,349611,0.1909
ep,94,0.1880,343396,0.1875
ef,94,0.1880,342434,0.1869
do,92,0.1840,333565,0.1821
gh,91,0.1820,330040,0.1802
pp,91,0.1820,329871,0.1801
ov,90,0.1800,327008,0.1785
