letter,orig_count,orig_%,synth_count,synth_%
e,29067540,12.60,8291,13.03
t,22889366,9.92,5303,8.33
o,18515837,8.03,4867,7.65
i,18507677,8.03,5596,8.79
a,17755933,7.70,5453,8.57
n,17133281,7.43,4508,7.08
s,14848648,6.44,3615,5.68
r,14463294,6.27,3907,6.14
h,10630680,4.61,4239,6.66
l,8879191,3.85,2439,3.83
c,7721611,3.35,2186,3.43
d,7387602,3.20,1788,2.81
u,6857755,2.97,2043,3.21
m,6506692,2.82,1788,2.81
p,5660708,2.45,1606,2.52
f,4919366,2.13,985,1.55
g,3957137,1.72,1001,1.57
w,3682936,1.60,940,1.48
y,3334649,1.45,853,1.34
b,3205343,1.39,909,1.43
v,2485436,1.08,739,1.16
k,1164160,0.50,299,0.47
x,403152,0.17,117,0.18
j,285726,0.12,80,0.13
q,240636,0.10,67,0.11
z,119982,0.05,30,0.05
