key,count,frequency
e,1888776,0.103544
t,1388793,0.076135
s,1196494,0.065593
i,1172699,0.064288
n,1166021,0.063922
a,1161921,0.063697
r,1084529,0.059455
o,1008767,0.055301
l,719567,0.039447
c,654599,0.035886
u,551522,0.030235
.>,508194,0.027860
d,483426,0.026502
g,458648,0.025143
p,418587,0.022947
m,383125,0.021003
0),335473,0.018391
b,317434,0.017402
9(,284266,0.015584
f,273177,0.014976
;:,250852,0.013752
h,241256,0.013226
y,236278,0.012953
",<",224454,0.012305
v,211332,0.011585
"'""",202930,0.011125
k,188204,0.010317
/?,167941,0.009207
-_,155276,0.008512
]},147902,0.008108
[{,147901,0.008108
=+,143570,0.007871
w,120420,0.006602
x,86308,0.004731
q,60185,0.003299
1!,39500,0.002165
2@,31810,0.001744
3#,29187,0.001600
z,22696,0.001244
j,17646,0.000967
4$,16710,0.000916
5%,11814,0.000648
7&,9956,0.000546
6^,7693,0.000422
8*,7063,0.000387
\|,6167,0.000338
`~,232,0.000013
