key,count,frequency
e,222050671,0.076099
t,174236365,0.059712
r,135072295,0.046290
i,134594399,0.046127
s,131132697,0.044940
a,128364294,0.043992
n,128131543,0.043912
0),125287010,0.042937
o,115515438,0.039588
c,92079981,0.031557
-_,87345425,0.029934
l,86312659,0.029580
d,82996924,0.028444
.>,79544879,0.027261
",<",73017251,0.025024
"'""",71049087,0.024349
u,68443407,0.023456
p,64830373,0.022218
f,63055370,0.021610
9(,61570989,0.021101
m,57693577,0.019772
;:,51864311,0.017774
1!,51470945,0.017640
h,46538864,0.015949
=+,42126347,0.014437
g,41563461,0.014244
8*,40053000,0.013727
x,36492349,0.012506
b,35360531,0.012118
2@,33609684,0.011518
3#,33194783,0.011376
\|,31122309,0.010666
[{,30189414,0.010346
]},30166556,0.010338
v,25998598,0.008910
y,25593729,0.008771
/?,25183708,0.008631
7&,22732496,0.007791
4$,22433161,0.007688
5%,22069744,0.007563
w,20232588,0.006934
k,19992520,0.006852
6^,16772797,0.005748
q,9844983,0.003374
z,9203573,0.003154
j,7945185,0.002723
`~,3851644,0.001320
