key,count,frequency
e,3741412,0.099599
t,2866571,0.076310
n,2229966,0.059363
r,2166879,0.057684
o,2113637,0.056266
a,2046260,0.054473
s,2021601,0.053816
i,1867432,0.049712
c,1409343,0.037518
l,1381457,0.036775
d,1122883,0.029892
p,956058,0.025451
u,942499,0.025090
;:,940621,0.025040
.>,901534,0.023999
m,825823,0.021984
"'""",819757,0.021822
0),803816,0.021398
9(,693670,0.018466
f,673743,0.017935
",<",672645,0.017906
h,641026,0.017065
=+,577242,0.015367
g,548162,0.014592
[{,463824,0.012347
]},463548,0.012340
b,427037,0.011368
/?,409055,0.010889
y,388289,0.010337
v,366529,0.009757
w,320011,0.008519
-_,306674,0.008164
x,249905,0.006653
k,243116,0.006472
1!,151170,0.004024
\|,110012,0.002929
8*,94407,0.002513
2@,91722,0.002442
j,78952,0.002102
4$,78434,0.002088
7&,71535,0.001904
q,59023,0.001571
`~,56703,0.001509
z,49774,0.001325
3#,45750,0.001218
5%,44469,0.001184
6^,30822,0.000821
