key,count,frequency
e,5673609,0.102646
t,4031763,0.072942
s,3235611,0.058538
a,3213601,0.058140
r,3166925,0.057295
n,3080923,0.055739
o,2920044,0.052829
i,2862489,0.051788
l,2118367,0.038325
-_,1892563,0.034240
d,1690324,0.030581
c,1685685,0.030497
p,1528692,0.027657
"'""",1528075,0.027646
f,1320712,0.023894
m,1298573,0.023494
u,1285460,0.023256
",<",1168689,0.021144
0),1128561,0.020418
.>,1104061,0.019974
h,923675,0.016711
9(,823300,0.014895
g,761320,0.013774
y,682353,0.012345
;:,659018,0.011923
=+,621500,0.011244
b,610991,0.011054
v,416179,0.007529
x,402493,0.007282
w,380195,0.006878
k,340365,0.006158
3#,297203,0.005377
[{,297041,0.005374
]},296251,0.005360
1!,269397,0.004874
2@,221891,0.004014
`~,189698,0.003432
\|,182104,0.003295
8*,156997,0.002840
q,141318,0.002557
/?,128622,0.002327
4$,107339,0.001942
5%,98795,0.001787
6^,90514,0.001638
z,89789,0.001624
j,88672,0.001604
7&,61960,0.001121
