pair,count,%,raw,raw%
th,1370,2.7400,66846104,2.7367
in,1237,2.4740,60390735,2.4724
he,1120,2.2400,54675814,2.2385
on,1064,2.1280,51948122,2.1268
an,1049,2.0980,51201376,2.0962
re,965,1.9300,47092447,1.9280
ti,933,1.8660,45553499,1.8650
er,930,1.8600,45365889,1.8573
at,830,1.6600,40477112,1.6572
en,795,1.5900,38795855,1.5883
es,765,1.5300,37312287,1.5276
or,718,1.4360,35053301,1.4351
nt,683,1.3660,33318239,1.3641
te,640,1.2800,31239447,1.2790
nd,640,1.2800,31224211,1.2783
io,639,1.2780,31160784,1.2757
al,594,1.1880,28973307,1.1862
it,547,1.0940,26700643,1.0931
ed,536,1.0720,26165236,1.0712
ar,530,1.0600,25868580,1.0591
of,525,1.0500,25619035,1.0489
co,499,0.9980,24352619,0.9970
st,486,0.9720,23688552,0.9698
to,482,0.9640,23525158,0.9631
is,479,0.9580,23358088,0.9563
me,462,0.9240,22509807,0.9216
se,454,0.9080,22138429,0.9064
ng,447,0.8940,21781805,0.8918
ro,441,0.8820,21524903,0.8812
de,423,0.8460,20646339,0.8453
ic,417,0.8340,20344233,0.8329
ra,402,0.8040,19599372,0.8024
ve,393,0.7860,19179776,0.7852
ce,387,0.7740,18852992,0.7719
ri,371,0.7420,18095798,0.7409
le,367,0.7340,17884410,0.7322
pr,350,0.7000,17076929,0.6991
as,345,0.6900,16801968,0.6879
na,339,0.6780,16509417,0.6759
ec,334,0.6680,16279350,0.6665
ca,332,0.6640,16204294,0.6634
ta,329,0.6580,16051830,0.6572
li,324,0.6480,15808032,0.6472
ns,322,0.6440,15687705,0.6423
ct,321,0.6420,15653052,0.6408
ha,312,0.6240,15211387,0.6228
ou,305,0.6100,14854981,0.6082
ea,305,0.6100,14850585,0.6080
si,295,0.5900,14381794,0.5888
ne,292,0.5840,14235753,0.5828
di,286,0.5720,13927227,0.5702
fo,286,0.5720,13918262,0.5698
ur,277,0.5540,13522095,0.5536
om,277,0.5540,13494379,0.5525
ma,271,0.5420,13207901,0.5407
nc,269,0.5380,13104411,0.5365
la,254,0.5080,12374442,0.5066
pe,250,0.5000,12191107,0.4991
tr,245,0.4900,11936847,0.4887
el,245,0.4900,11936790,0.4887
ac,242,0.4840,11782324,0.4824
be,239,0.4780,11622325,0.4758
rt,237,0.4740,11548600,0.4728
ll,232,0.4640,11291707,0.4623
ch,229,0.4580,11179205,0.4577
ss,228,0.4560,11127923,0.4556
po,228,0.4560,11095861,0.4543
ts,220,0.4400,10695195,0.4379
ni,219,0.4380,10678431,0.4372
ad,218,0.4360,10603775,0.4341
un,215,0.4300,10471182,0.4287
ie,215,0.4300,10469198,0.4286
em,213,0.4260,10394012,0.4255
il,212,0.4240,10319810,0.4225
vi,208,0.4160,10149204,0.4155
hi,205,0.4100,9979847,0.4086
pa,199,0.3980,9671866,0.3960
ia,198,0.3960,9648582,0.3950
ci,196,0.3920,9561754,0.3915
su,196,0.3920,9534081,0.3903
rs,194,0.3880,9441963,0.3866
et,193,0.3860,9383152,0.3842
ge,192,0.3840,9360169,0.3832
mi,187,0.3740,9091325,0.3722
us,179,0.3580,8727501,0.3573
fi,175,0.3500,8511087,0.3485
lo,175,0.3500,8499344,0.3480
no,172,0.3440,8379816,0.3431
iv,170,0.3400,8268074,0.3385
ot,169,0.3380,8205305,0.3359
ee,162,0.3240,7893566,0.3232
wi,162,0.3240,7887231,0.3229
ol,162,0.3240,7864440,0.3220
pl,161,0.3220,7817854,0.3201
ul,160,0.3200,7808105,0.3197
op,157,0.3140,7649783,0.3132
ho,154,0.3080,7487174,0.3065
ai,152,0.3040,7408551,0.3033
ir,151,0.3020,7324161,0.2999
mp,146,0.2920,7105483,0.2909
ut,146,0.2920,7095054,0.2905
so,145,0.2900,7031234,0.2879
id,142,0.2840,6931324,0.2838
da,141,0.2820,6835509,0.2799
ly,139,0.2780,6761667,0.2768
im,137,0.2740,6681717,0.2736
ov,132,0.2640,6397919,0.2619
am,131,0.2620,6372025,0.2609
ty,130,0.2600,6322661,0.2589
ev,129,0.2580,6282834,0.2572
os,127,0.2540,6169309,0.2526
ag,124,0.2480,6020819,0.2465
mo,124,0.2480,6010591,0.2461
