letter,orig_count,orig_%,synth_count,synth_%
e,364352762,12.11,7986,12.69
t,274722903,9.13,5087,8.09
a,252102668,8.38,5913,9.40
i,243534458,8.10,5699,9.06
n,237402417,7.89,4771,7.58
o,229703515,7.64,4632,7.36
r,202529582,6.73,4072,6.47
s,193275522,6.42,3512,5.58
c,124249522,4.13,2597,4.13
l,116429809,3.87,2367,3.76
d,112729575,3.75,2060,3.27
h,108751041,3.62,3294,5.24
m,80659967,2.68,1639,2.61
u,80553131,2.68,1803,2.87
p,79180321,2.63,1661,2.64
f,70340190,2.34,1072,1.70
g,55992864,1.86,1055,1.68
b,40896027,1.36,853,1.36
y,39217953,1.30,765,1.22
v,35493626,1.18,793,1.26
w,34046091,1.13,648,1.03
k,12587461,0.42,236,0.38
x,7406932,0.25,156,0.25
j,4582954,0.15,90,0.14
q,4555754,0.15,94,0.15
z,2980394,0.10,60,0.10
