pair,count,%,raw,raw%
er,373,3.7300,513575200,3.7215
ht,325,3.2500,447437354,3.2423
in,291,2.9100,401004965,2.9058
eh,275,2.7500,379817862,2.7523
an,254,2.5400,348425239,2.5248
it,230,2.3000,316540012,2.2937
no,219,2.1900,300465924,2.1773
es,206,2.0600,282226500,2.0451
or,206,2.0600,282415932,2.0465
en,205,2.0500,281252795,2.0380
at,195,1.9500,267623081,1.9393
de,194,1.9400,266449576,1.9308
ar,193,1.9300,266001034,1.9275
al,174,1.7400,239036838,1.7321
is,165,1.6500,226241761,1.6394
et,162,1.6200,222580773,1.6129
st,148,1.4800,202769659,1.4693
fo,144,1.4400,197216219,1.4291
ot,143,1.4300,196132077,1.4212
el,140,1.4000,191206386,1.3855
dn,131,1.3100,179806067,1.3029
as,120,1.2000,164039491,1.1887
il,120,1.2000,163956998,1.1881
em,116,1.1600,157817989,1.1436
ir,114,1.1400,155501626,1.1268
gn,109,1.0900,150161632,1.0881
ce,105,1.0500,143419996,1.0393
ev,105,1.0500,143068120,1.0367
am,100,1.0000,136578998,0.9897
co,99,0.9900,136081307,0.9861
ac,98,0.9800,134082573,0.9716
ci,98,0.9800,133169136,0.9650
nt,98,0.9800,134485973,0.9745
ah,89,0.8900,122183742,0.8854
io,87,0.8700,117564778,0.8519
mo,87,0.8700,118841951,0.8612
ou,85,0.8500,117665563,0.8526
rt,84,0.8400,114484798,0.8296
lo,79,0.7900,108229726,0.7843
di,78,0.7800,105649818,0.7656
ae,74,0.7400,101985883,0.7390
ai,73,0.7300,99168219,0.7186
su,73,0.7300,98746746,0.7156
os,68,0.6800,93720934,0.6791
hi,67,0.6700,91719486,0.6646
ru,66,0.6600,90749476,0.6576
ep,64,0.6400,86486345,0.6267
im,63,0.6300,86319908,0.6255
ll,63,0.6300,86083210,0.6238
op,63,0.6300,86094145,0.6239
tu,61,0.6100,82913671,0.6008
be,60,0.6000,82877119,0.6006
ad,59,0.5900,80281149,0.5817
iv,59,0.5900,80118328,0.5806
ch,58,0.5800,80451878,0.5830
ei,57,0.5700,77104435,0.5587
nu,57,0.5700,77196288,0.5594
ow,56,0.5600,75849107,0.5496
eg,55,0.5500,75100521,0.5442
ap,54,0.5400,73488697,0.5325
aw,52,0.5200,71966218,0.5215
ho,52,0.5200,70879655,0.5136
ns,50,0.5000,69128956,0.5009
ab,46,0.4600,62539709,0.4532
ew,46,0.4600,62270813,0.4512
fi,45,0.4500,60981676,0.4419
pr,45,0.4500,62895841,0.4558
ag,44,0.4400,59813534,0.4334
lu,44,0.4400,59468949,0.4309
rs,44,0.4400,60097117,0.4355
gi,43,0.4300,58283029,0.4223
ct,42,0.4200,57365306,0.4157
do,40,0.4000,52720083,0.3820
ly,40,0.4000,54445266,0.3945
cn,38,0.3800,52339104,0.3793
iw,38,0.3800,51881489,0.3759
hs,37,0.3700,51097059,0.3703
ee,36,0.3600,49169426,0.3563
ef,36,0.3600,48640889,0.3525
ss,36,0.3600,49545935,0.3590
av,34,0.3400,45375847,0.3288
bo,33,0.3300,44777221,0.3245
dr,33,0.3300,43154778,0.3127
bu,32,0.3200,42536163,0.3082
gr,32,0.3200,42322767,0.3067
cu,31,0.3100,41068602,0.2976
ey,31,0.3100,40278769,0.2919
hw,31,0.3100,43669373,0.3164
cr,30,0.3000,39164647,0.2838
au,29,0.2900,38651798,0.2801
ay,29,0.2900,40541290,0.2938
dl,29,0.2900,40126101,0.2908
lp,29,0.2900,39483083,0.2861
ov,29,0.2900,39800683,0.2884
ek,28,0.2800,38441898,0.2786
af,27,0.2700,35998886,0.2609
go,27,0.2700,34837087,0.2524
mu,27,0.2700,35569754,0.2577
pu,27,0.2700,35770959,0.2592
ry,27,0.2700,36642670,0.2655
du,26,0.2600,34581633,0.2506
ip,26,0.2600,33631949,0.2437
gu,25,0.2500,32144168,0.2329
fr,24,0.2400,34091175,0.2470
ty,24,0.2400,32855029,0.2381
bl,23,0.2300,31564946,0.2287
ls,23,0.2300,30808815,0.2233
mp,23,0.2300,31982134,0.2318
oo,23,0.2300,31683372,0.2296
ps,23,0.2300,32121282,0.2328
bi,22,0.2200,28734131,0.2082
gh,22,0.2200,29788293,0.2159
lt,22,0.2200,28906494,0.2095
nr,22,0.2200,29589671,0.2144
oy,21,0.2100,27937849,0.2024
eu,20,0.2000,26983394,0.1955
ik,20,0.2000,27177679,0.1969
cl,19,0.1900,25400302,0.1841
cs,19,0.1900,26346732,0.1909
br,18,0.1800,23900212,0.1732
by,18,0.1800,25867122,0.1874
ex,18,0.1800,24780775,0.1796
mr,18,0.1800,24455431,0.1772
