pair,count,%,raw,raw%
th,3120,3.1200,430562195,3.1182
he,2723,2.7230,375695922,2.7209
in,2500,2.5000,344940257,2.4981
an,2064,2.0640,284716204,2.0620
er,2019,2.0190,278584413,2.0176
on,1764,1.7640,243315915,1.7622
re,1703,1.7030,234990787,1.7019
at,1382,1.3820,190676662,1.3809
en,1341,1.3410,184998507,1.3398
or,1296,1.2960,178743461,1.2945
nd,1282,1.2820,176887559,1.2811
te,1216,1.2160,167677476,1.2144
es,1213,1.2130,167286902,1.2115
ti,1199,1.1990,165428890,1.1981
ar,1190,1.1900,164106226,1.1885
ed,1172,1.1720,161654943,1.1707
st,1135,1.1350,156607037,1.1342
al,1127,1.1270,155404043,1.1255
is,1096,1.0960,151133226,1.0945
it,1095,1.0950,151111122,1.0944
to,1024,1.0240,141220517,1.0228
ng,1021,1.0210,140780454,1.0196
nt,962,0.9620,132701100,0.9611
as,951,0.9510,131161828,0.9499
of,925,0.9250,127600867,0.9241
ha,853,0.8530,117665918,0.8522
ou,846,0.8460,116678706,0.8450
le,845,0.8450,116558992,0.8441
se,833,0.8330,114939598,0.8324
co,808,0.8080,111416681,0.8069
ve,795,0.7950,109677004,0.7943
ri,794,0.7940,109570897,0.7935
me,792,0.7920,109209418,0.7909
io,761,0.7610,104947562,0.7601
de,760,0.7600,104794633,0.7589
ro,752,0.7520,103672471,0.7508
ra,739,0.7390,101894808,0.7379
ea,711,0.7110,98086020,0.7104
ne,698,0.6980,96254288,0.6971
ic,682,0.6820,94097263,0.6815
li,682,0.6820,94013629,0.6809
hi,661,0.6610,91191098,0.6604
ll,624,0.6240,86083210,0.6234
la,607,0.6070,83632795,0.6057
ma,595,0.5950,82040507,0.5942
ce,586,0.5860,80744741,0.5848
ch,580,0.5800,80021242,0.5795
ta,558,0.5580,76946419,0.5573
ca,550,0.5500,75842723,0.5493
be,548,0.5480,75586253,0.5474
om,545,0.5450,75153091,0.5443
si,545,0.5450,75108535,0.5440
el,541,0.5410,74647394,0.5406
ur,509,0.5090,70157496,0.5081
il,507,0.5070,69943369,0.5065
fo,505,0.5050,69615352,0.5042
ho,483,0.4830,66551239,0.4820
ns,475,0.4750,65429392,0.4739
un,473,0.4730,65198192,0.4722
di,463,0.4630,63835346,0.4623
na,462,0.4620,63709035,0.4614
pe,456,0.4560,62835707,0.4551
ec,455,0.4550,62675255,0.4539
us,453,0.4530,62465757,0.4524
wa,449,0.4490,61923410,0.4485
tr,426,0.4260,58748048,0.4255
rs,423,0.4230,58308930,0.4223
ac,423,0.4230,58239850,0.4218
pr,418,0.4180,57639893,0.4174
no,415,0.4150,57150009,0.4139
so,410,0.4100,56547833,0.4095
ni,407,0.4070,56064708,0.4060
ge,406,0.4060,56010613,0.4056
rt,404,0.4040,55736750,0.4037
ot,398,0.3980,54911560,0.3977
et,398,0.3980,54903297,0.3976
ol,396,0.3960,54643136,0.3957
am,396,0.3960,54538491,0.3950
lo,389,0.3890,53586590,0.3881
ut,384,0.3840,52976057,0.3837
ie,382,0.3820,52672208,0.3815
nc,377,0.3770,51931542,0.3761
ct,375,0.3750,51679289,0.3743
wi,374,0.3740,51550752,0.3733
ly,372,0.3720,51319004,0.3717
ad,370,0.3700,50946260,0.3690
ia,367,0.3670,50519428,0.3659
mi,360,0.3600,49674242,0.3598
ss,360,0.3600,49545935,0.3588
po,357,0.3570,49259961,0.3568
ee,357,0.3570,49169426,0.3561
ai,353,0.3530,48648791,0.3523
em,353,0.3530,48608571,0.3520
sh,352,0.3520,48510602,0.3513
pa,345,0.3450,47579131,0.3446
ts,335,0.3350,46162622,0.3343
ir,333,0.3330,45930729,0.3326
we,326,0.3260,44976632,0.3257
mo,317,0.3170,43688860,0.3164
wh,308,0.3080,42451508,0.3074
ow,305,0.3050,41991678,0.3041
vi,304,0.3040,41915585,0.3036
id,304,0.3040,41814472,0.3028
ul,294,0.2940,40557068,0.2937
fi,290,0.2900,40002521,0.2897
ci,284,0.2840,39071873,0.2830
iv,277,0.2770,38202743,0.2767
os,270,0.2700,37173101,0.2692
op,267,0.2670,36834184,0.2668
ig,267,0.2670,36747916,0.2661
im,266,0.2660,36645666,0.2654
pl,265,0.2650,36497990,0.2643
su,263,0.2630,36280989,0.2628
ld,259,0.2590,35708973,0.2586
ay,256,0.2560,35224924,0.2551
ry,253,0.2530,34832144,0.2523
ke,249,0.2490,34293057,0.2484
wo,246,0.2460,33857429,0.2452
ba,244,0.2440,33561785,0.2431
ev,242,0.2420,33391116,0.2418
sa,239,0.2390,32877663,0.2381
oo,230,0.2300,31683372,0.2295
ag,230,0.2300,31649930,0.2292
bo,228,0.2280,31355094,0.2271
ty,223,0.2230,30663606,0.2221
do,221,0.2210,30414746,0.2203
fr,219,0.2190,30103058,0.2180
tu,217,0.2170,29937614,0.2168
gh,216,0.2160,29788293,0.2157
fe,215,0.2150,29596764,0.2143
ov,215,0.2150,29572327,0.2142
mp,213,0.2130,29354286,0.2126
rd,213,0.2130,29348868,0.2126
da,213,0.2130,29334889,0.2125
ab,210,0.2100,28977924,0.2099
bu,207,0.2070,28431407,0.2059
ga,205,0.2050,28163604,0.2040
bl,204,0.2040,28099048,0.2035
rn,203,0.2030,27956975,0.2025
av,202,0.2020,27848341,0.2017
gr,194,0.1940,26708329,0.1934
ap,188,0.1880,25909566,0.1876
sp,180,0.1800,24797293,0.1796
oc,179,0.1790,24664626,0.1786
tt,179,0.1790,24600412,0.1782
by,178,0.1780,24558139,0.1779
ei,178,0.1780,24432227,0.1769
cl,172,0.1720,23709788,0.1717
ep,172,0.1720,23650638,0.1713
sc,164,0.1640,22591404,0.1636
ck,164,0.1640,22585350,0.1636
cr,163,0.1630,22404205,0.1623
rm,163,0.1630,22401954,0.1622
od,162,0.1620,22305337,0.1615
ey,162,0.1620,22272169,0.1613
go,162,0.1620,22261295,0.1612
ex,161,0.1610,22127989,0.1603
yo,161,0.1610,22121414,0.1602
ls,161,0.1610,22120710,0.1602
gi,157,0.1570,21535113,0.1560
fa,155,0.1550,21349612,0.1546
uc,153,0.1530,21069453,0.1526
if,153,0.1530,20979155,0.1519
ru,150,0.1500,20591980,0.1491
au,148,0.1480,20328423,0.1472
um,147,0.1470,20185897,0.1462
du,146,0.1460,20140706,0.1459
up,146,0.1460,20031105,0.1451
cu,145,0.1450,19999149,0.1448
ue,145,0.1450,19971442,0.1446
pi,144,0.1440,19780213,0.1433
br,142,0.1420,19500109,0.1412
eg,139,0.1390,19089908,0.1383
ef,138,0.1380,19044125,0.1379
lu,138,0.1380,18911881,0.1370
ki,137,0.1370,18871694,0.1367
ff,135,0.1350,18533593,0.1342
ua,133,0.1330,18323375,0.1327
rr,133,0.1330,18289987,0.1325
pp,131,0.1310,18044269,0.1307
ye,131,0.1310,18006600,0.1304
va,128,0.1280,17527506,0.1269
ew,126,0.1260,17294181,0.1252
bi,125,0.1250,17175562,0.1244
mb,124,0.1240,17109492,0.1239
mm,124,0.1240,17063109,0.1236
ak,124,0.1240,17032725,0.1234
ht,123,0.1230,16875159,0.1222
ug,123,0.1230,16868522,0.1222
rc,122,0.1220,16760442,0.1214
rk,118,0.1180,16223570,0.1175
ds,115,0.1150,15864657,0.1149
pu,115,0.1150,15739854,0.1140
nn,114,0.1140,15652353,0.1134
rg,114,0.1140,15614438,0.1131
lt,113,0.1130,15574457,0.1128
mu,112,0.1120,15383857,0.1114
qu,112,0.1120,15378652,0.1114
gu,111,0.1110,15275646,0.1106
rl,107,0.1070,14696009,0.1064
af,107,0.1070,14649274,0.1061
ny,105,0.1050,14454979,0.1047
ud,105,0.1050,14440927,0.1046
ub,103,0.1030,14104756,0.1021
ip,101,0.1010,13851736,0.1003
dr,101,0.1010,13805910,0.1000
ui,99,0.0990,13644923,0.0988
ob,98,0.0980,13422127,0.0972
eo,97,0.0970,13335501,0.0966
tl,97,0.0970,13332037,0.0966
ft,93,0.0930,12761634,0.0924
oi,92,0.0920,12617216,0.0914
og,92,0.0920,12575792,0.0911
nu,87,0.0870,11998096,0.0869
wn,86,0.0860,11865799,0.0859
ju,85,0.0850,11701622,0.0847
ib,84,0.0840,11558569,0.0837
ph,83,0.0830,11393436,0.0825
fu,83,0.0830,11357024,0.0823
pt,81,0.0810,11158593,0.0808
jo,81,0.0810,11118806,0.0805
ms,81,0.0810,11093830,0.0803
hr,81,0.0810,11090716,0.0803
ys,80,0.0800,10932691,0.0792
hu,79,0.0790,10900598,0.0789
tw,77,0.0770,10579408,0.0766
oa,77,0.0770,10557323,0.0765
vo,75,0.0750,10228356,0.0741
cc,74,0.0740,10200545,0.0739
aw,73,0.0730,10042808,0.0727
nk,73,0.0730,9965177,0.0722
ok,73,0.0730,9937337,0.0720
rv,71,0.0710,9669193,0.0700
gn,68,0.0680,9381178,0.0679
gl,65,0.0650,8931013,0.0647
sl,63,0.0630,8688105,0.0629
ik,61,0.0610,8305985,0.0602
ks,60,0.0600,8265673,0.0599
nf,60,0.0600,8169141,0.0592
fl,59,0.0590,8069658,0.0584
sm,58,0.0580,7984332,0.0578
iz,57,0.0570,7778581,0.0563
ja,56,0.0560,7608258,0.0551
nl,55,0.0550,7472729,0.0541
ps,54,0.0540,7323989,0.0530
eb,53,0.0530,7290866,0.0528
gs,52,0.0520,7092490,0.0514
ze,52,0.0520,7064836,0.0512
nv,51,0.0510,7029937,0.0509
eu,51,0.0510,7011952,0.0508
my,50,0.0500,6898758,0.0500
ka,49,0.0490,6704172,0.0486
sy,49,0.0490,6687663,0.0484
xp,47,0.0470,6451850,0.0467
dd,46,0.0460,6401563,0.0464
kn,44,0.0440,6209034,0.0450
