letter,orig_count,orig_%,synth_count,synth_%
e,2067444474,11.97,1619,12.03
t,1519134413,8.79,1071,7.96
a,1428454656,8.27,1439,10.69
i,1310528400,7.59,1116,8.29
o,1305972727,7.56,1032,7.67
n,1293602095,7.49,941,6.99
r,1127773987,6.53,906,6.73
s,1113580951,6.45,721,5.36
h,808310927,4.68,832,6.18
l,737039502,4.27,541,4.02
d,660386309,3.82,420,3.12
c,574849204,3.33,451,3.35
u,479990116,2.78,417,3.10
m,449765443,2.60,323,2.40
f,377646526,2.19,194,1.44
p,370746099,2.15,284,2.11
g,354259820,2.05,231,1.72
y,294293318,1.70,201,1.49
w,292123993,1.69,199,1.48
b,279805277,1.62,212,1.58
v,186045542,1.08,142,1.06
k,128931121,0.75,87,0.65
j,39760799,0.23,28,0.21
x,33119224,0.19,23,0.17
z,22235931,0.13,12,0.09
q,17209599,0.10,13,0.10
