"pair","count","%","raw","raw%"
"er","1898","3.796","78375840","3.7929"
"ht","1593","3.186","65789929","3.1839"
"in","1451","2.902","59933131","2.9004"
"eh","1346","2.692","55606591","2.691"
"an","1139","2.278","47019976","2.2755"
"en","1066","2.132","44001025","2.1294"
"it","1060","2.12","43784549","2.1189"
"es","1035","2.07","42722761","2.0675"
"no","1002","2.004","41402443","2.0036"
"or","992","1.984","40938304","1.9812"
"de","972","1.944","40125916","1.9419"
"at","930","1.86","38380630","1.8574"
"ar","914","1.828","37706638","1.8248"
"al","812","1.624","33492709","1.6209"
"et","797","1.594","32894153","1.5919"
"ot","783","1.566","32328430","1.5645"
"st","769","1.538","31770617","1.5375"
"is","766","1.532","31585222","1.5285"
"el","693","1.386","28617531","1.3849"
"as","659","1.318","27203718","1.3165"
"fo","646","1.292","26639678","1.2892"
"il","617","1.234","25456458","1.2319"
"dn","616","1.232","25463756","1.2323"
"gn","599","1.198","24719447","1.1963"
"em","548","1.096","22608880","1.0941"
"ev","546","1.092","22523126","1.09"
"ir","536","1.072","22120351","1.0705"
"ah","523","1.046","21617433","1.0462"
"ce","521","1.042","21477769","1.0394"
"nt","487","0.974","20115581","0.9735"
"ac","474","0.948","19569972","0.9471"
"ou","466","0.932","19248044","0.9315"
"am","465","0.93","19147720","0.9266"
"co","458","0.916","18878647","0.9136"
"mo","453","0.906","18713451","0.9056"
"di","443","0.886","18293401","0.8853"
"ci","431","0.862","17756859","0.8593"
"ae","419","0.838","17298637","0.8372"
"ai","411","0.822","16967991","0.8212"
"rt","406","0.812","16710446","0.8087"
"lo","379","0.758","15637649","0.7568"
"su","363","0.726","14989330","0.7254"
"io","351","0.702","14468967","0.7002"
"ru","347","0.694","14309429","0.6925"
"hi","341","0.682","14101187","0.6824"
"os","335","0.67","13779925","0.6669"
"tu","332","0.664","13694513","0.6627"
"ll","331","0.662","13672914","0.6617"
"ad","329","0.658","13579745","0.6572"
"im","327","0.654","13460541","0.6514"
"ep","326","0.652","13443398","0.6506"
"be","313","0.626","12881246","0.6234"
"op","310","0.62","12757105","0.6174"
"ow","301","0.602","12375646","0.5989"
"ei","281","0.562","11569731","0.5599"
"ch","279","0.558","11537626","0.5584"
"ho","277","0.554","11435341","0.5534"
"ew","272","0.544","11226084","0.5433"
"eg","267","0.534","10981637","0.5314"
"iv","266","0.532","10952537","0.53"
"nu","263","0.526","10797989","0.5226"
"ap","263","0.526","10800896","0.5227"
"aw","248","0.496","10207793","0.494"
"rs","246","0.492","10160425","0.4917"
"ns","239","0.478","9875931","0.4779"
"fi","234","0.468","9625686","0.4658"
"ab","230","0.46","9459760","0.4578"
"ag","213","0.426","8756079","0.4237"
"pr","213","0.426","8808259","0.4263"
"lu","212","0.424","8697795","0.4209"
"gi","212","0.424","8707939","0.4214"
"iw","210","0.42","8712803","0.4217"
"ee","207","0.414","8549851","0.4138"
"ly","194","0.388","8014584","0.3879"
"ay","191","0.382","7902122","0.3824"
"ct","190","0.38","7862823","0.3805"
"hs","190","0.38","7841291","0.3795"
"ef","189","0.378","7753638","0.3752"
"ek","188","0.376","7751166","0.3751"
"cn","188","0.376","7756686","0.3754"
"do","185","0.37","7640971","0.3698"
"ss","177","0.354","7276791","0.3522"
"hw","177","0.354","7335929","0.355"
"ey","175","0.35","7198611","0.3484"
"av","174","0.348","7135831","0.3453"
"bo","169","0.338","6936628","0.3357"
"dl","168","0.336","6948789","0.3363"
"bu","160","0.32","6568466","0.3179"
"dr","158","0.316","6505074","0.3148"
"af","151","0.302","6191023","0.2996"
"lp","147","0.294","6060507","0.2933"
"gr","147","0.294","6061209","0.2933"
"ov","145","0.29","5936296","0.2873"
"cu","144","0.288","5929394","0.2869"
"cr","144","0.288","5909346","0.286"
"pu","139","0.278","5680996","0.2749"
"au","138","0.276","5632812","0.2726"
"go","129","0.258","5271748","0.2551"
"fr","126","0.252","5240400","0.2536"
"ps","124","0.248","5149817","0.2492"
"gh","123","0.246","5075164","0.2456"
"ry","123","0.246","5098408","0.2467"
"oo","123","0.246","5057584","0.2448"
"ls","114","0.228","4676270","0.2263"
"gu","113","0.226","4615492","0.2234"
"ip","112","0.224","4590249","0.2221"
"ik","110","0.22","4527010","0.2191"
"mp","110","0.22","4564497","0.2209"
"du","109","0.218","4471558","0.2164"
"bl","106","0.212","4352228","0.2106"
"nr","104","0.208","4287800","0.2075"
"bi","103","0.206","4188375","0.2027"
"eu","103","0.206","4205885","0.2035"
"ck","102","0.204","4203946","0.2034"
"mu","102","0.204","4182592","0.2024"
"lt","102","0.204","4151748","0.2009"
"ty","100","0.2","4103163","0.1986"
"ex","99","0.198","4069595","0.1969"
"tt","95","0.19","3914745","0.1895"
"mr","94","0.188","3915833","0.1895"
"oy","92","0.184","3784243","0.1831"
"cl","89","0.178","3699635","0.179"
"ak","88","0.176","3632533","0.1758"
"cs","86","0.172","3564365","0.1725"
"br","86","0.172","3578932","0.1732"
"ff","82","0.164","3373432","0.1633"
"by","78","0.156","3248151","0.1572"
"sy","76","0.152","3116345","0.1508"
"pp","72","0.144","2966446","0.1436"
"ds","72","0.144","2994070","0.1449"
"ms","71","0.142","2875012","0.1391"
"kr","70","0.14","2889136","0.1398"
"rr","67","0.134","2761132","0.1336"
"ks","62","0.124","2543181","0.1231"
"eo","61","0.122","2515850","0.1218"
"kn","61","0.122","2520487","0.122"
"qu","61","0.122","2498561","0.1209"
"ft","60","0.12","2496938","0.1208"
"ny","60","0.12","2467548","0.1194"
"lr","60","0.12","2513066","0.1216"
"nn","58","0.116","2386839","0.1155"
"ko","57","0.114","2379741","0.1152"
"iu","55","0.11","2296317","0.1111"
"fl","54","0.108","2233006","0.1081"
"fu","52","0.104","2144524","0.1038"
"hr","51","0.102","2084261","0.1009"
"bm","49","0.098","2033609","0.0984"
"nw","48","0.096","1992922","0.0964"
"mm","47","0.094","1938614","0.0938"
"tw","47","0.094","1923529","0.0931"
"ju","46","0.092","1897298","0.0918"
"jo","45","0.09","1846498","0.0894"
"ao","43","0.086","1748717","0.0846"
"pt","40","0.08","1662250","0.0804"
"cc","39","0.078","1588811","0.0769"
"sw","39","0.078","1653562","0.08"
"hp","37","0.074","1526399","0.0739"
"my","37","0.074","1540153","0.0745"
"gl","36","0.072","1508296","0.073"
"hu","35","0.07","1480763","0.0717"
"dy","33","0.066","1382814","0.0669"
"rv","32","0.064","1320857","0.0639"
"gs","31","0.062","1272365","0.0616"
"px","31","0.062","1280937","0.062"
"fn","30","0.06","1232647","0.0597"
"nv","30","0.06","1225554","0.0593"
"aj","29","0.058","1242009","0.0601"
"dd","28","0.056","1139151","0.0551"
"ln","28","0.056","1211917","0.0586"
