pair,count,%,raw,raw%
th,1522,3.0440,62880145,3.0415
he,1331,2.6620,54984062,2.6596
in,1273,2.5460,52591842,2.5439
er,1018,2.0360,42037969,2.0334
an,963,1.9260,39778024,1.9241
re,880,1.7600,36337871,1.7577
on,809,1.6180,33426480,1.6168
en,688,1.3760,28419744,1.3747
at,663,1.3260,27367230,1.3238
es,621,1.2420,25641078,1.2403
or,620,1.2400,25597651,1.2382
nd,599,1.1980,24742289,1.1968
st,586,1.1720,24212166,1.1711
ar,586,1.1720,24177296,1.1695
te,583,1.1660,24085071,1.1650
ed,581,1.1620,23978430,1.1598
to,579,1.1580,23908141,1.1564
ng,566,1.1320,23388715,1.1313
it,538,1.0760,22219749,1.0748
ti,522,1.0440,21564800,1.0431
al,516,1.0320,21295040,1.0300
ha,509,1.0180,21026492,1.0171
is,507,1.0140,20921053,1.0120
nt,480,0.9600,19816381,0.9585
as,464,0.9280,19149634,0.9263
ou,463,0.9260,19117214,0.9247
le,431,0.8620,17790612,0.8605
ve,427,0.8540,17606679,0.8516
se,414,0.8280,17081683,0.8262
ea,407,0.8140,16780549,0.8117
de,391,0.7820,16147486,0.7811
me,390,0.7800,16112076,0.7793
of,387,0.7740,15958372,0.7719
co,386,0.7720,15938445,0.7709
ne,378,0.7560,15581281,0.7537
ro,372,0.7440,15340653,0.7420
ri,364,0.7280,15015569,0.7263
li,348,0.6960,14360922,0.6946
hi,340,0.6800,14030266,0.6786
ll,331,0.6620,13672914,0.6614
ra,328,0.6560,13529342,0.6544
ic,311,0.6220,12813489,0.6198
ce,307,0.6140,12657796,0.6123
io,298,0.5960,12307368,0.5953
la,296,0.5920,12197669,0.5900
ma,286,0.5720,11784199,0.5700
be,284,0.5680,11711464,0.5665
ch,278,0.5560,11480696,0.5553
om,275,0.5500,11362605,0.5496
ur,274,0.5480,11299010,0.5465
il,269,0.5380,11095536,0.5367
ta,267,0.5340,11013400,0.5327
ho,265,0.5300,10935071,0.5289
el,262,0.5240,10826919,0.5237
ca,260,0.5200,10742307,0.5196
fo,259,0.5180,10681306,0.5167
si,259,0.5180,10664169,0.5158
ai,253,0.5060,10439623,0.5050
rs,240,0.4800,9909476,0.4793
pe,240,0.4800,9891207,0.4784
ut,231,0.4620,9544217,0.4617
us,229,0.4580,9458260,0.4575
id,225,0.4500,9298524,0.4498
ns,225,0.4500,9257421,0.4478
un,222,0.4440,9143075,0.4423
di,218,0.4360,8994877,0.4351
ac,214,0.4280,8827665,0.4270
ec,214,0.4280,8819973,0.4266
et,214,0.4280,8809082,0.4261
wa,212,0.4240,8739298,0.4227
wi,210,0.4200,8672750,0.4195
ge,210,0.4200,8666717,0.4192
tr,210,0.4200,8646984,0.4183
ee,207,0.4140,8549851,0.4136
ot,204,0.4080,8420289,0.4073
we,198,0.3960,8181266,0.3957
ad,197,0.3940,8125977,0.3931
pr,197,0.3940,8124653,0.3930
rt,196,0.3920,8063462,0.3900
sa,195,0.3900,8054084,0.3896
no,193,0.3860,7975963,0.3858
lo,191,0.3820,7891898,0.3817
ol,188,0.3760,7745751,0.3747
ie,188,0.3760,7728653,0.3738
so,187,0.3740,7691997,0.3721
ly,186,0.3720,7673999,0.3712
po,186,0.3720,7669229,0.3710
nc,186,0.3720,7656868,0.3704
mi,185,0.3700,7611689,0.3682
ts,183,0.3660,7558451,0.3656
am,179,0.3580,7363521,0.3562
mo,178,0.3560,7350846,0.3556
ni,178,0.3560,7341289,0.3551
sh,178,0.3560,7328060,0.3545
ay,177,0.3540,7310290,0.3536
ss,177,0.3540,7276791,0.3520
na,176,0.3520,7241952,0.3503
wh,175,0.3500,7223337,0.3494
ir,172,0.3440,7104782,0.3437
pa,171,0.3420,7039600,0.3405
ow,171,0.3420,7029869,0.3400
ct,167,0.3340,6891744,0.3334
ke,165,0.3300,6791871,0.3285
ia,158,0.3160,6528368,0.3158
em,158,0.3160,6496804,0.3143
fi,157,0.3140,6470766,0.3130
ul,151,0.3020,6216125,0.3007
ld,150,0.3000,6173993,0.2986
os,148,0.2960,6087928,0.2945
ig,144,0.2880,5910353,0.2859
im,142,0.2840,5848852,0.2829
vi,141,0.2820,5801368,0.2806
su,134,0.2680,5531070,0.2675
pl,134,0.2680,5507490,0.2664
da,132,0.2640,5453768,0.2638
wo,130,0.2600,5345777,0.2586
iv,125,0.2500,5151169,0.2492
op,124,0.2480,5087876,0.2461
gh,123,0.2460,5075164,0.2455
oo,123,0.2460,5057584,0.2446
ba,122,0.2440,5037237,0.2437
av,121,0.2420,4971888,0.2405
ci,120,0.2400,4943370,0.2391
bo,120,0.2400,4922766,0.2381
ev,119,0.2380,4916447,0.2378
ry,117,0.2340,4812801,0.2328
bu,117,0.2340,4810714,0.2327
ag,114,0.2280,4695647,0.2271
fe,114,0.2280,4672380,0.2260
fr,113,0.2260,4666070,0.2257
ov,111,0.2220,4561295,0.2206
do,110,0.2200,4542813,0.2197
ab,108,0.2160,4422523,0.2139
mp,103,0.2060,4234481,0.2048
ck,102,0.2040,4203946,0.2033
rd,102,0.2040,4202215,0.2033
tu,101,0.2020,4150296,0.2007
rn,99,0.1980,4077814,0.1972
ga,99,0.1980,4060432,0.1964
bl,99,0.1980,4054033,0.1961
sp,98,0.1960,4046566,0.1957
tt,95,0.1900,3914745,0.1894
ei,93,0.1860,3841078,0.1858
ty,93,0.1860,3804227,0.1840
ap,92,0.1840,3761296,0.1819
go,91,0.1820,3719453,0.1799
ey,90,0.1800,3700950,0.1790
gr,89,0.1780,3666976,0.1774
ex,89,0.1780,3640161,0.1761
fa,87,0.1740,3554540,0.1719
ep,86,0.1720,3552191,0.1718
up,86,0.1720,3517705,0.1702
cr,85,0.1700,3497980,0.1692
ye,85,0.1700,3497661,0.1692
au,85,0.1700,3481557,0.1684
cl,84,0.1680,3457234,0.1672
ff,82,0.1640,3373432,0.1632
ls,82,0.1640,3364871,0.1628
if,77,0.1540,3154920,0.1526
cu,76,0.1520,3135561,0.1517
sc,76,0.1520,3135361,0.1517
ki,76,0.1520,3135050,0.1516
od,75,0.1500,3098158,0.1499
by,75,0.1500,3085509,0.1492
ef,75,0.1500,3081258,0.1490
ue,75,0.1500,3072287,0.1486
rm,74,0.1480,3049107,0.1475
ew,74,0.1480,3044818,0.1473
br,73,0.1460,3015821,0.1459
ru,73,0.1460,3010419,0.1456
pp,72,0.1440,2966446,0.1435
ak,72,0.1440,2951891,0.1428
pi,72,0.1440,2947698,0.1426
oc,72,0.1440,2940202,0.1422
ht,71,0.1420,2909784,0.1407
yo,71,0.1420,2898655,0.1402
gi,68,0.1360,2797586,0.1353
uc,68,0.1360,2793833,0.1351
rr,67,0.1340,2761132,0.1336
ug,67,0.1340,2746575,0.1329
bi,67,0.1340,2729397,0.1320
af,64,0.1280,2636483,0.1275
rk,63,0.1260,2577390,0.1247
du,61,0.1220,2501620,0.1210
qu,61,0.1220,2498561,0.1209
lu,61,0.1220,2481670,0.1200
ds,59,0.1180,2420823,0.1171
rc,59,0.1180,2411366,0.1166
rg,58,0.1160,2394233,0.1158
nn,58,0.1160,2386839,0.1155
ft,57,0.1140,2337223,0.1131
um,57,0.1140,2324256,0.1124
eg,57,0.1140,2314920,0.1120
dr,56,0.1120,2302859,0.1114
rl,55,0.1100,2270009,0.1098
lt,55,0.1100,2237601,0.1082
va,53,0.1060,2163943,0.1047
pu,53,0.1060,2163291,0.1046
oi,53,0.1060,2161599,0.1046
ys,53,0.1060,2152636,0.1041
ua,53,0.1060,2151255,0.1041
ny,52,0.1040,2115126,0.1023
ui,49,0.0980,2014210,0.0974
ob,49,0.0980,2013862,0.0974
ud,48,0.0960,1969938,0.0953
mb,48,0.0960,1969336,0.0953
mm,47,0.0940,1938614,0.0938
tl,47,0.0940,1914147,0.0926
ok,46,0.0920,1899954,0.0919
gu,46,0.0920,1868917,0.0904
ju,46,0.0920,1864850,0.0902
mu,45,0.0900,1858336,0.0899
hr,45,0.0900,1818750,0.0880
wn,44,0.0880,1802939,0.0872
fu,44,0.0880,1789382,0.0866
eo,44,0.0880,1781302,0.0862
ub,43,0.0860,1757752,0.0850
tw,43,0.0860,1741536,0.0842
ms,42,0.0840,1700373,0.0822
jo,41,0.0820,1659735,0.0803
nu,41,0.0820,1654914,0.0800
ip,40,0.0800,1642551,0.0795
oa,40,0.0800,1621213,0.0784
nk,40,0.0800,1620186,0.0784
cc,39,0.0780,1588811,0.0769
og,38,0.0760,1552295,0.0751
pt,37,0.0740,1509518,0.0730
ph,37,0.0740,1495355,0.0723
aw,36,0.0720,1468495,0.0710
ib,36,0.0720,1458978,0.0706
ks,36,0.0720,1458130,0.0705
hu,35,0.0700,1440244,0.0697
ik,34,0.0680,1391960,0.0673
vo,34,0.0680,1375001,0.0665
fl,34,0.0680,1368150,0.0662
gl,33,0.0660,1355966,0.0656
gn,33,0.0660,1330732,0.0644
sl,32,0.0640,1311399,0.0634
xp,31,0.0620,1280937,0.0620
rv,31,0.0620,1261798,0.0610
nf,30,0.0600,1232647,0.0596
nv,30,0.0600,1225554,0.0593
sm,29,0.0580,1174639,0.0568
eb,29,0.0580,1169782,0.0566
gs,28,0.0560,1147337,0.0555
dd,28,0.0560,1139151,0.0551
eu,28,0.0560,1133598,0.0548
ps,26,0.0520,1103251,0.0534
nl,26,0.0520,1102475,0.0533
dy,26,0.0520,1090803,0.0528
sk,26,0.0520,1085051,0.0525
my,26,0.0520,1077298,0.0521
ws,23,0.0460,985580,0.0477
tc,23,0.0460,971079,0.0470
sy,23,0.0460,963709,0.0466
ek,23,0.0460,959295,0.0464
ja,22,0.0440,930977,0.0450
yi,22,0.0440,920656,0.0445
kn,21,0.0420,900301,0.0435
oy,21,0.0420,885588,0.0428
mr,20,0.0400,866726,0.0419
lf,20,0.0400,864856,0.0418
cy,20,0.0400,850109,0.0411
nm,20,0.0400,835503,0.0404
ze,20,0.0400,832313,0.0403
xt,20,0.0400,829085,0.0401
je,19,0.0380,801271,0.0388
gg,19,0.0380,788387,0.0381
dl,18,0.0360,774796,0.0375
bs,18,0.0360,772398,0.0374
iz,18,0.0360,767101,0.0371
oe,17,0.0340,734548,0.0355
dn,17,0.0340,721467,0.0349
rp,16,0.0320,683606,0.0331
ka,16,0.0320,680642,0.0329
tm,16,0.0320,669680,0.0324
sw,16,0.0320,667982,0.0323
hy,15,0.0300,656028,0.0317
dg,15,0.0300,649247,0.0314
lm,15,0.0300,643974,0.0311
eh,15,0.0300,622529,0.0301
sn,14,0.0280,618510,0.0299
ya,14,0.0280,591832,0.0286
uk,14,0.0280,591588,0.0286
ah,14,0.0280,590941,0.0286
wr,13,0.0260,577209,0.0279
rf,13,0.0260,574330,0.0278
sd,13,0.0260,573247,0.0277
lk,13,0.0260,570353,0.0276
rb,13,0.0260,563111,0.0272
lp,13,0.0260,553017,0.0267
lv,13,0.0260,545081,0.0264
hn,13,0.0260,539587,0.0261
eq,13,0.0260,537760,0.0260
ae,12,0.0240,518088,0.0251
hs,12,0.0240,513231,0.0248
az,12,0.0240,505412,0.0244
oh,12,0.0240,500270,0.0242
gy,12,0.0240,498271,0.0241
bb,11,0.0220,494581,0.0239
ix,11,0.0220,482949,0.0234
ko,11,0.0220,479787,0.0232
ym,11,0.0220,462855,0.0224
xi,10,0.0200,443662,0.0215
xe,10,0.0200,429434,0.0208
cs,10,0.0200,429004,0.0208
za,10,0.0200,415296,0.0201
ax,9,0.0180,396027,0.0192
rw,9,0.0180,392365,0.0190
kl,9,0.0180,380058,0.0184
zi,9,0.0180,376000,0.0182
dv,9,0.0180,374966,0.0181
dm,8,0.0160,366969,0.0178
uf,8,0.0160,355142,0.0172
nj,8,0.0160,353554,0.0171
yn,8,0.0160,352422,0.0170
yl,8,0.0160,340585,0.0165
hl,8,0.0160,333027,0.0161
xa,7,0.0140,330454,0.0160
pm,7,0.0140,330016,0.0160
xc,7,0.0140,321204,0.0155
mc,7,0.0140,320322,0.0155
gt,7,0.0140,316707,0.0153
kr,7,0.0140,311746,0.0151
aj,7,0.0140,311032,0.0150
ox,7,0.0140,303494,0.0147
tn,7,0.0140,299200,0.0145
yt,7,0.0140,298936,0.0145
lb,7,0.0140,298195,0.0144
sb,7,0.0140,297300,0.0144
yd,7,0.0140,292011,0.0141
yr,6,0.0120,285607,0.0138
iu,6,0.0120,282107,0.0136
ky,6,0.0120,277215,0.0134
yp,6,0.0120,269613,0.0130
nh,6,0.0120,268984,0.0130
rh,6,0.0120,265511,0.0128
uy,6,0.0120,263537,0.0127
tb,6,0.0120,257128,0.0124
wl,6,0.0120,251865,0.0122
sr,6,0.0120,250949,0.0121
nb,5,0.0100,245976,0.0119
sf,5,0.0100,244830,0.0118
lr,5,0.0100,243057,0.0118
lc,5,0.0100,242401,0.0117
lw,5,0.0100,238265,0.0115
py,5,0.0100,229726,0.0111
ez,5,0.0100,222714,0.0108
bc,5,0.0100,219235,0.0106
yc,5,0.0100,217851,0.0105
iq,5,0.0100,216390,0.0105
hm,5,0.0100,215225,0.0104
zo,5,0.0100,212330,0.0103
nr,5,0.0100,209986,0.0102
bt,4,0.0080,206459,0.0100
sq,4,0.0080,205043,0.0099
aq,4,0.0080,202461,0.0098
dw,4,0.0080,202341,0.0098
ji,4,0.0080,200258,0.0097
nw,4,0.0080,189983,0.0092
oj,4,0.0080,186763,0.0090
wt,4,0.0080,181993,0.0088
fy,4,0.0080,176230,0.0085
ux,4,0.0080,166055,0.0080
yb,3,0.0060,162642,0.0079
tf,3,0.0060,159715,0.0077
wy,3,0.0060,156579,0.0076
tv,3,0.0060,153052,0.0074
tp,3,0.0060,152732,0.0074
lg,3,0.0060,152330,0.0074
ku,3,0.0060,152304,0.0074
gm,3,0.0060,151723,0.0073
pd,3,0.0060,149089,0.0072
oz,3,0.0060,148871,0.0072
kh,3,0.0060,145271,0.0070
hd,3,0.0060,145078,0.0070
aa,3,0.0060,143733,0.0070
wd,3,0.0060,141489,0.0068
vy,3,0.0060,140407,0.0068
nz,3,0.0060,136608,0.0066
ii,3,0.0060,135970,0.0066
yw,3,0.0060,135575,0.0066
np,3,0.0060,135191,0.0065
xu,3,0.0060,134367,0.0065
fs,3,0.0060,134107,0.0065
hb,3,0.0060,131011,0.0063
uo,3,0.0060,130830,0.0063
uv,3,0.0060,130765,0.0063
bj,3,0.0060,129020,0.0062
df,3,0.0060,127959,0.0062
ao,3,0.0060,127504,0.0062
sg,3,0.0060,125028,0.0060
mn,2,0.0040,122315,0.0059
dh,2,0.0040,121397,0.0059
dc,2,0.0040,121383,0.0059
ww,2,0.0040,118324,0.0057
hw,2,0.0040,112592,0.0054
tz,2,0.0040,111570,0.0054
zz,2,0.0040,109478,0.0053
ln,2,0.0040,109442,0.0053
ij,2,0.0040,103753,0.0050
nq,2,0.0040,102794,0.0050
cn,2,0.0040,99818,0.0048
pc,2,0.0040,99392,0.0048
bn,2,0.0040,97053,0.0047
ej,2,0.0040,94093,0.0046
mf,2,0.0040,89151,0.0043
gb,2,0.0040,88041,0.0043
ml,2,0.0040,86937,0.0042
qa,2,0.0040,85681,0.0041
cq,2,0.0040,85106,0.0041
db,1,0.0020,80110,0.0039
kt,1,0.0020,78366,0.0038
fg,1,0.0020,77374,0.0037
dj,1,0.0020,74500,0.0036
tg,1,0.0020,74024,0.0036
uz,1,0.0020,72341,0.0035
cd,1,0.0020,72168,0.0035
ih,1,0.0020,70921,0.0034
dt,1,0.0020,70714,0.0034
km,1,0.0020,70587,0.0034
cb,1,0.0020,70536,0.0034
bv,1,0.0020,68624,0.0033
mt,1,0.0020,67643,0.0033
gd,1,0.0020,66667,0.0032
bd,1,0.0020,65308,0.0032
bm,1,0.0020,64273,0.0031
yu,1,0.0020,63411,0.0031
td,1,0.0020,62590,0.0030
