letter,orig_count,orig_%,synth_count,synth_%
e,317658694,12.09,7979,12.71
t,232471269,8.85,4707,7.50
a,225381640,8.58,6080,9.68
i,194109700,7.39,5206,8.29
o,192559259,7.33,4482,7.14
n,188595638,7.18,4464,7.11
s,178931173,6.81,3520,5.61
r,168815237,6.43,4184,6.66
h,124023944,4.72,3581,5.70
l,110427194,4.20,2599,4.14
d,102699430,3.91,2197,3.50
c,83430483,3.18,2100,3.34
u,72500379,2.76,1886,3.00
m,66465003,2.53,1512,2.41
p,56181410,2.14,1342,2.14
f,56132609,2.14,1049,1.67
g,55920575,2.13,1205,1.92
w,47822282,1.82,1064,1.69
y,45079641,1.72,996,1.59
b,42536556,1.62,1049,1.67
v,27838846,1.06,722,1.15
k,21595878,0.82,481,0.77
j,5660545,0.22,134,0.21
x,5192634,0.20,128,0.20
q,2855763,0.11,65,0.10
z,2573086,0.10,56,0.09
