pair,count,%,raw,raw%
th,1817,3.6340,107182631,3.6306
he,1422,2.8440,83902800,2.8421
in,1197,2.3940,70614737,2.3919
an,991,1.9820,58465734,1.9804
er,940,1.8800,55459107,1.8786
re,927,1.8540,54685262,1.8524
on,789,1.5780,46538051,1.5764
at,703,1.4060,41459511,1.4044
ou,691,1.3820,40773294,1.3811
en,653,1.3060,38523495,1.3049
ha,644,1.2880,37957681,1.2857
is,638,1.2760,37593493,1.2734
it,616,1.2320,36308155,1.2299
or,613,1.2260,36137457,1.2241
nd,612,1.2240,36074302,1.2220
ng,585,1.1700,34488882,1.1682
es,575,1.1500,33886701,1.1478
to,573,1.1460,33765284,1.1437
st,547,1.0940,32248831,1.0924
ar,544,1.0880,32080238,1.0867
ti,512,1.0240,30205176,1.0231
al,502,1.0040,29618087,1.0033
ve,495,0.9900,29198030,0.9890
te,483,0.9660,28496398,0.9653
se,442,0.8840,26076635,0.8833
ed,438,0.8760,25826103,0.8748
le,438,0.8760,25816952,0.8745
nt,436,0.8720,25685220,0.8700
as,410,0.8200,24141911,0.8178
me,403,0.8060,23741614,0.8042
ll,393,0.7860,23163446,0.7846
ea,387,0.7740,22821345,0.7730
li,381,0.7620,22449140,0.7604
hi,378,0.7560,22277352,0.7546
of,373,0.7460,21987196,0.7448
ne,354,0.7080,20852170,0.7063
co,345,0.6900,20348667,0.6893
be,341,0.6820,20077398,0.6801
ri,328,0.6560,19332774,0.6549
no,325,0.6500,19127322,0.6479
de,319,0.6380,18792085,0.6365
ot,309,0.6180,18228224,0.6174
ho,306,0.6120,18001102,0.6098
ro,303,0.6060,17838617,0.6043
us,291,0.5820,17145450,0.5808
ic,289,0.5780,17014704,0.5763
ra,273,0.5460,16093400,0.5451
ca,269,0.5380,15872638,0.5377
om,269,0.5380,15867116,0.5375
io,269,0.5380,15841308,0.5366
ut,267,0.5340,15709537,0.5321
el,265,0.5300,15617470,0.5290
ly,261,0.5220,15386551,0.5212
wh,261,0.5220,15367295,0.5205
ur,260,0.5200,15332344,0.5194
pe,259,0.5180,15228335,0.5158
ma,256,0.5120,15052224,0.5099
il,247,0.4940,14526868,0.4921
ce,244,0.4880,14368487,0.4867
la,241,0.4820,14195476,0.4808
yo,238,0.4760,14001769,0.4743
ta,234,0.4680,13800623,0.4675
fo,234,0.4680,13762170,0.4662
ch,234,0.4680,13761589,0.4661
so,233,0.4660,13699585,0.4640
si,224,0.4480,13190922,0.4468
et,220,0.4400,12973622,0.4395
ee,213,0.4260,12560832,0.4255
ns,212,0.4240,12470553,0.4224
wi,208,0.4160,12262242,0.4154
wa,206,0.4120,12104265,0.4100
we,205,0.4100,12079341,0.4092
ge,202,0.4040,11894268,0.4029
ow,202,0.4040,11881091,0.4024
rs,200,0.4000,11799545,0.3997
di,200,0.4000,11770716,0.3987
un,199,0.3980,11707557,0.3966
ul,199,0.3980,11691371,0.3960
ac,195,0.3900,11467583,0.3884
do,194,0.3880,11409873,0.3865
po,192,0.3840,11297977,0.3827
ec,192,0.3840,11296187,0.3826
lo,185,0.3700,10881211,0.3686
em,182,0.3640,10681211,0.3618
tr,181,0.3620,10671104,0.3615
ld,179,0.3580,10516476,0.3562
sh,178,0.3560,10481646,0.3550
ss,176,0.3520,10385560,0.3518
pr,176,0.3520,10353361,0.3507
ke,172,0.3440,10098302,0.3421
mo,172,0.3440,10092993,0.3419
ol,167,0.3340,9821635,0.3327
wo,167,0.3340,9815099,0.3325
ts,166,0.3320,9792652,0.3317
pl,165,0.3300,9720349,0.3293
ct,165,0.3300,9696749,0.3285
rt,163,0.3260,9593810,0.3250
ai,163,0.3260,9587938,0.3248
ad,163,0.3260,9586565,0.3247
ie,163,0.3260,9583559,0.3246
av,161,0.3220,9470173,0.3208
id,159,0.3180,9382397,0.3178
op,159,0.3180,9378316,0.3177
mi,157,0.3140,9213617,0.3121
ay,156,0.3120,9192584,0.3114
nc,150,0.3000,8831028,0.2991
am,149,0.2980,8781153,0.2974
ir,149,0.2980,8734144,0.2959
oo,148,0.2960,8693590,0.2945
pa,147,0.2940,8666586,0.2936
ab,146,0.2920,8612584,0.2917
im,145,0.2900,8554221,0.2898
ey,145,0.2900,8515862,0.2885
ev,144,0.2880,8474068,0.2870
os,141,0.2820,8305968,0.2813
ni,140,0.2800,8220604,0.2785
ry,140,0.2800,8204153,0.2779
bo,139,0.2780,8168542,0.2767
ig,139,0.2780,8151267,0.2761
na,138,0.2760,8119417,0.2750
ia,136,0.2720,8004054,0.2711
su,132,0.2640,7743836,0.2623
sa,127,0.2540,7459492,0.2527
bu,126,0.2520,7402780,0.2508
go,126,0.2520,7378106,0.2499
bl,125,0.2500,7351104,0.2490
gh,124,0.2480,7290330,0.2469
iv,122,0.2440,7186804,0.2434
vi,117,0.2340,6897158,0.2336
if,117,0.2340,6874677,0.2329
ci,114,0.2280,6707699,0.2272
ei,113,0.2260,6649044,0.2252
ba,111,0.2220,6540982,0.2216
fi,109,0.2180,6404873,0.2170
ag,108,0.2160,6361117,0.2155
fe,108,0.2160,6336050,0.2146
ty,102,0.2040,5988641,0.2029
