letter,orig_count,orig_%,synth_count,synth_%
e,458027606,12.00,8093,12.84
t,360845073,9.45,4834,7.67
a,306347541,8.03,5660,8.98
o,304185999,7.97,5055,8.02
i,281186408,7.37,5107,8.10
n,266348994,6.98,4379,6.95
s,249004860,6.52,3493,5.54
r,221301225,5.80,3731,5.92
h,194966625,5.11,4147,6.58
l,165318604,4.33,2701,4.28
d,133177549,3.49,1933,3.07
u,116899099,3.06,1977,3.14
c,106739533,2.80,1829,2.90
m,92496606,2.42,1442,2.29
y,85689965,2.24,1230,1.95
g,80999421,2.12,1160,1.84
p,80295861,2.10,1330,2.11
w,77064801,2.02,1197,1.90
f,75079900,1.97,921,1.46
b,65603410,1.72,1148,1.82
v,42207343,1.11,802,1.27
k,32846451,0.86,530,0.84
j,7358959,0.19,123,0.20
x,7129644,0.19,122,0.19
q,3281710,0.09,51,0.08
z,2673068,0.07,39,0.06
