pair,count,%,raw,raw%
th,1575,3.1500,43094287,3.1475
he,1299,2.5980,35544302,2.5961
on,1272,2.5440,34791763,2.5411
in,1213,2.4260,33185292,2.4238
ti,1080,2.1600,29545636,2.1579
re,971,1.9420,26570115,1.9406
an,962,1.9240,26310097,1.9216
at,936,1.8720,25620102,1.8712
en,868,1.7360,23742869,1.7341
er,858,1.7160,23477808,1.7148
io,798,1.5960,21815823,1.5934
es,749,1.4980,20474772,1.4954
te,711,1.4220,19438316,1.4197
nt,707,1.4140,19334297,1.4121
or,689,1.3780,18834610,1.3756
nd,681,1.3620,18618243,1.3598
of,647,1.2940,17708652,1.2934
it,633,1.2660,17302479,1.2637
al,617,1.2340,16871472,1.2322
co,589,1.1780,16113254,1.1769
ed,566,1.1320,15465931,1.1296
me,493,0.9860,13477081,0.9843
ar,492,0.9840,13451727,0.9825
st,477,0.9540,13043256,0.9526
to,476,0.9520,13025326,0.9513
ng,439,0.8780,12013102,0.8774
ra,436,0.8720,11916699,0.8704
is,434,0.8680,11867894,0.8668
se,432,0.8640,11819188,0.8632
de,416,0.8320,11378880,0.8311
ve,398,0.7960,10879781,0.7946
ri,390,0.7800,10668945,0.7792
ic,386,0.7720,10539633,0.7698
ro,380,0.7600,10399217,0.7595
ta,374,0.7480,10225041,0.7468
ce,373,0.7460,10203934,0.7453
ns,370,0.7400,10123173,0.7394
ec,356,0.7120,9720134,0.7099
na,355,0.7100,9691126,0.7078
le,352,0.7040,9609135,0.7018
pr,351,0.7020,9586123,0.7001
as,332,0.6640,9060457,0.6618
ou,313,0.6260,8559438,0.6252
ha,311,0.6220,8492717,0.6203
si,309,0.6180,8449201,0.6171
om,297,0.5940,8112210,0.5925
un,290,0.5800,7932546,0.5794
li,290,0.5800,7911199,0.5778
fo,282,0.5640,7711472,0.5632
nc,281,0.5620,7676784,0.5607
ne,272,0.5440,7430430,0.5427
ni,270,0.5400,7366046,0.5380
rt,267,0.5340,7302988,0.5334
ct,257,0.5140,7021634,0.5128
ur,251,0.5020,6853620,0.5006
ss,250,0.5000,6839300,0.4995
ma,244,0.4880,6667235,0.4870
el,243,0.4860,6640535,0.4850
ea,243,0.4860,6639546,0.4849
pe,242,0.4840,6599124,0.4820
em,240,0.4800,6546679,0.4782
ts,234,0.4680,6387231,0.4665
tr,234,0.4680,6385197,0.4664
mi,232,0.4640,6323695,0.4619
di,231,0.4620,6296980,0.4599
la,226,0.4520,6185304,0.4518
ac,224,0.4480,6116039,0.4467
be,224,0.4480,6105908,0.4460
ci,223,0.4460,6089227,0.4447
po,223,0.4460,6085062,0.4444
il,216,0.4320,5905032,0.4313
ie,211,0.4220,5762725,0.4209
ca,208,0.4160,5673364,0.4144
ia,202,0.4040,5503550,0.4020
ch,202,0.4040,5502472,0.4019
ll,201,0.4020,5488941,0.4009
hi,196,0.3920,5354178,0.3911
pa,192,0.3840,5242645,0.3829
vi,190,0.3800,5184492,0.3787
ge,189,0.3780,5172016,0.3777
su,187,0.3740,5114664,0.3736
ee,184,0.3680,5015016,0.3663
et,171,0.3420,4677970,0.3417
op,171,0.3420,4656823,0.3401
so,169,0.3380,4606029,0.3364
ol,169,0.3380,4605542,0.3364
ad,167,0.3340,4561819,0.3332
iv,164,0.3280,4486112,0.3277
ul,164,0.3280,4466759,0.3262
rs,156,0.3120,4268803,0.3118
ut,154,0.3080,4190154,0.3060
lo,152,0.3040,4137349,0.3022
no,152,0.3040,4136086,0.3021
ev,147,0.2940,4020796,0.2937
im,147,0.2940,3997692,0.2920
us,146,0.2920,3988568,0.2913
wi,146,0.2920,3988333,0.2913
ot,145,0.2900,3960133,0.2892
ai,144,0.2880,3919489,0.2863
mm,144,0.2880,3915037,0.2859
fi,142,0.2840,3862490,0.2821
ty,142,0.2840,3862187,0.2821
ly,136,0.2720,3696266,0.2700
ir,134,0.2680,3643450,0.2661
ov,132,0.2640,3602532,0.2631
pl,132,0.2640,3599429,0.2629
ho,129,0.2580,3516913,0.2569
id,129,0.2580,3514441,0.2567
gr,128,0.2560,3496907,0.2554
ep,126,0.2520,3436164,0.2510
bl,124,0.2480,3368419,0.2460
ig,123,0.2460,3366376,0.2459
mp,119,0.2380,3234107,0.2362
am,117,0.2340,3190834,0.2330
ld,116,0.2320,3172303,0.2317
rn,114,0.2280,3094177,0.2260
ag,113,0.2260,3088505,0.2256
eg,113,0.2260,3079823,0.2249
cu,111,0.2220,3037218,0.2218
oc,111,0.2220,3022527,0.2208
os,108,0.2160,2936436,0.2145
ab,106,0.2120,2899590,0.2118
wo,106,0.2120,2883988,0.2106
ga,105,0.2100,2864902,0.2092
ry,105,0.2100,2860044,0.2089
ex,105,0.2100,2853095,0.2084
mo,104,0.2080,2828676,0.2066
rm,103,0.2060,2817301,0.2058
we,102,0.2040,2790908,0.2038
