letter,orig_count,orig_%,synth_count,synth_%
e,206597431,12.27,8060,12.73
t,163761179,9.73,5590,8.83
i,139546393,8.29,5748,9.08
n,139331249,8.28,5021,7.93
a,134893740,8.01,5551,8.77
o,134604755,8.00,4913,7.76
r,109428056,6.50,3911,6.18
s,103838387,6.17,3328,5.26
c,65187613,3.87,2476,3.91
h,64735267,3.85,3741,5.91
l,62588116,3.72,2331,3.68
d,62134409,3.69,2056,3.25
m,45924163,2.73,1663,2.63
u,44572782,2.65,1769,2.79
p,41428147,2.46,1573,2.48
f,41167196,2.45,1164,1.84
g,31933667,1.90,1070,1.69
b,20816645,1.24,776,1.23
y,19148414,1.14,680,1.07
v,18849203,1.12,759,1.20
w,17150426,1.02,578,0.91
k,5667711,0.34,186,0.29
x,3430383,0.20,135,0.21
j,2371577,0.14,86,0.14
z,2258756,0.13,85,0.13
q,2035718,0.12,78,0.12
