pair,count,%,raw,raw%
th,15743858,3.1488,43094287,3.1475
he,12985583,2.5971,35544302,2.5961
on,12710655,2.5421,34791763,2.5411
in,12123754,2.4248,33185292,2.4238
ti,10794060,2.1588,29545636,2.1579
re,9706998,1.9414,26570115,1.9406
an,9612004,1.9224,26310097,1.9216
at,9359924,1.8720,25620102,1.8712
en,8674105,1.7348,23742869,1.7341
er,8577269,1.7155,23477808,1.7148
io,7970088,1.5940,21815823,1.5934
es,7480154,1.4960,20474772,1.4954
te,7101501,1.4203,19438316,1.4197
nt,7063499,1.4127,19334297,1.4121
or,6880946,1.3762,18834610,1.3756
nd,6801899,1.3604,18618243,1.3598
of,6469594,1.2939,17708652,1.2934
it,6321204,1.2642,17302479,1.2637
al,6163742,1.2327,16871472,1.2322
co,5886739,1.1773,16113254,1.1769
ed,5650249,1.1300,15465931,1.1296
me,4923652,0.9847,13477081,0.9843
ar,4914389,0.9829,13451727,0.9825
st,4765160,0.9530,13043256,0.9526
to,4758610,0.9517,13025326,0.9513
ng,4388809,0.8778,12013102,0.8774
ra,4353590,0.8707,11916699,0.8704
is,4335759,0.8672,11867894,0.8668
se,4317965,0.8636,11819188,0.8632
de,4157105,0.8314,11378880,0.8311
ve,3974767,0.7950,10879781,0.7946
ri,3897741,0.7795,10668945,0.7792
ic,3850499,0.7701,10539633,0.7698
ro,3799200,0.7598,10399217,0.7595
ta,3735567,0.7471,10225041,0.7468
ce,3727856,0.7456,10203934,0.7453
ns,3698351,0.7397,10123173,0.7394
ec,3551107,0.7102,9720134,0.7099
na,3540509,0.7081,9691126,0.7078
le,3510555,0.7021,9609135,0.7018
pr,3502148,0.7004,9586123,0.7001
as,3310104,0.6620,9060457,0.6618
ou,3127064,0.6254,8559438,0.6252
ha,3102689,0.6205,8492717,0.6203
si,3086791,0.6174,8449201,0.6171
om,2963676,0.5927,8112210,0.5925
un,2898038,0.5796,7932546,0.5794
li,2890240,0.5780,7911199,0.5778
fo,2817272,0.5635,7711472,0.5632
nc,2804600,0.5609,7676784,0.5607
ne,2714598,0.5429,7430430,0.5427
ni,2691076,0.5382,7366046,0.5380
rt,2668039,0.5336,7302988,0.5334
ct,2565250,0.5131,7021634,0.5128
ur,2503869,0.5008,6853620,0.5006
ss,2498637,0.4997,6839300,0.4995
ma,2435776,0.4872,6667235,0.4870
el,2426021,0.4852,6640535,0.4850
ea,2425660,0.4851,6639546,0.4849
pe,2410892,0.4822,6599124,0.4820
em,2391732,0.4783,6546679,0.4782
ts,2333481,0.4667,6387231,0.4665
tr,2332737,0.4665,6385197,0.4664
mi,2310269,0.4621,6323695,0.4619
di,2300509,0.4601,6296980,0.4599
la,2259709,0.4519,6185304,0.4518
ac,2234405,0.4469,6116039,0.4467
be,2230703,0.4461,6105908,0.4460
ci,2224609,0.4449,6089227,0.4447
po,2223088,0.4446,6085062,0.4444
il,2157316,0.4315,5905032,0.4313
ie,2105327,0.4211,5762725,0.4209
ca,2072680,0.4145,5673364,0.4144
ia,2010641,0.4021,5503550,0.4020
ch,2010247,0.4020,5502472,0.4019
ll,2005304,0.4011,5488941,0.4009
hi,1956070,0.3912,5354178,0.3911
pa,1915323,0.3831,5242645,0.3829
vi,1894078,0.3788,5184492,0.3787
ge,1889520,0.3779,5172016,0.3777
su,1868567,0.3737,5114664,0.3736
ee,1832162,0.3664,5015016,0.3663
et,1709027,0.3418,4677970,0.3417
op,1701302,0.3403,4656823,0.3401
so,1682745,0.3365,4606029,0.3364
ol,1682567,0.3365,4605542,0.3364
ad,1666593,0.3333,4561819,0.3332
iv,1638935,0.3278,4486112,0.3277
ul,1631865,0.3264,4466759,0.3262
rs,1559544,0.3119,4268803,0.3118
ut,1530811,0.3062,4190154,0.3060
lo,1511520,0.3023,4137349,0.3022
no,1511058,0.3022,4136086,0.3021
ev,1468939,0.2938,4020796,0.2937
im,1460498,0.2921,3997692,0.2920
us,1457165,0.2914,3988568,0.2913
wi,1457079,0.2914,3988333,0.2913
