letter,orig_count,orig_%,synth_count,synth_%
e,206597431,12.27,804094,12.70
t,163761179,9.73,548519,8.66
i,139546393,8.29,572517,9.04
n,139331249,8.28,502561,7.94
a,134893740,8.01,554039,8.75
o,134604755,8.00,491998,7.77
r,109428056,6.50,390343,6.16
s,103838387,6.17,333031,5.26
c,65187613,3.87,247355,3.91
h,64735267,3.85,374307,5.91
l,62588116,3.72,232242,3.67
d,62134409,3.69,205362,3.24
m,45924163,2.73,166525,2.63
u,44572782,2.65,177129,2.80
p,41428147,2.46,156593,2.47
f,41167196,2.45,126837,2.00
g,31933667,1.90,107209,1.69
b,20816645,1.24,78697,1.24
y,19148414,1.14,68444,1.08
v,18849203,1.12,77633,1.23
w,17150426,1.02,59129,0.93
k,5667711,0.34,19630,0.31
x,3430383,0.20,13190,0.21
j,2371577,0.14,8965,0.14
z,2258756,0.13,8726,0.14
q,2035718,0.12,7885,0.12
