pair,count,%,raw,raw%
th,1466,2.9320,217255801,2.9299
he,1357,2.7140,201123697,2.7123
in,1272,2.5440,188450126,2.5414
an,1080,2.1600,160078062,2.1588
er,1063,2.1260,157524617,2.1244
on,867,1.7340,128494201,1.7329
re,792,1.5840,117324325,1.5822
or,663,1.3260,98129794,1.3234
nd,658,1.3160,97389412,1.3134
ed,650,1.3000,96329745,1.2991
at,649,1.2980,96171910,1.2970
te,646,1.2920,95614118,1.2894
ar,637,1.2740,94356424,1.2725
en,636,1.2720,94256209,1.2711
al,591,1.1820,87586168,1.1812
es,589,1.1780,87236065,1.1765
st,588,1.1760,87064223,1.1741
ti,568,1.1360,84070919,1.1338
is,545,1.0900,80703996,1.0884
as,532,1.0640,78771433,1.0623
it,508,1.0160,75236123,1.0146
of,486,0.9720,71903086,0.9697
ng,478,0.9560,70846164,0.9554
to,476,0.9520,70478105,0.9505
nt,458,0.9160,67829111,0.9147
ri,436,0.8720,64525166,0.8702
le,428,0.8560,63309402,0.8538
ra,408,0.8160,60332270,0.8136
ro,406,0.8120,60064233,0.8100
se,405,0.8100,59924822,0.8081
co,398,0.7960,58987091,0.7955
de,395,0.7900,58447635,0.7882
me,377,0.7540,55846784,0.7531
io,371,0.7420,54957641,0.7412
ic,363,0.7260,53706885,0.7243
ne,354,0.7080,52360851,0.7061
ve,351,0.7020,51961433,0.7007
ea,350,0.7000,51816995,0.6988
la,345,0.6900,51034100,0.6882
ha,339,0.6780,50145127,0.6763
hi,334,0.6680,49489590,0.6674
li,333,0.6660,49270112,0.6644
ch,333,0.6660,49255042,0.6642
ma,328,0.6560,48515276,0.6543
ou,326,0.6520,48186692,0.6498
ll,296,0.5920,43733087,0.5898
ca,294,0.5880,43536511,0.5871
ce,294,0.5880,43489106,0.5865
si,289,0.5780,42784236,0.5770
ta,283,0.5660,41888423,0.5649
el,281,0.5620,41542958,0.5602
om,269,0.5380,39788383,0.5366
wa,263,0.5260,38847338,0.5239
na,261,0.5220,38644754,0.5212
il,260,0.5200,38399367,0.5178
be,255,0.5100,37668811,0.5080
fo,253,0.5060,37442963,0.5050
di,248,0.4960,36755353,0.4957
ur,248,0.4960,36651988,0.4943
un,246,0.4920,36397878,0.4909
am,238,0.4760,35192399,0.4746
ho,230,0.4600,34075609,0.4595
ns,227,0.4540,33562145,0.4526
ni,224,0.4480,33123478,0.4467
tr,223,0.4460,33030630,0.4454
ec,222,0.4440,32824115,0.4427
ol,219,0.4380,32455014,0.4377
rs,219,0.4380,32315281,0.4358
us,215,0.4300,31854221,0.4296
ac,215,0.4300,31812412,0.4290
pe,210,0.4200,31099653,0.4194
rt,208,0.4160,30764619,0.4149
lo,207,0.4140,30659246,0.4135
so,206,0.4120,30533668,0.4118
ia,206,0.4120,30474574,0.4110
ge,205,0.4100,30264443,0.4081
ie,200,0.4000,29581916,0.3989
pr,200,0.4000,29559252,0.3986
ad,194,0.3880,28652687,0.3864
et,192,0.3840,28428248,0.3834
ct,190,0.3800,28055923,0.3784
sh,189,0.3780,27944997,0.3769
nc,188,0.3760,27750504,0.3742
pa,180,0.3600,26618669,0.3590
wi,180,0.3600,26610303,0.3589
mi,179,0.3580,26514366,0.3576
ir,179,0.3580,26436295,0.3565
no,175,0.3500,25890341,0.3492
ss,169,0.3380,25024937,0.3375
em,168,0.3360,24869488,0.3354
ai,167,0.3340,24685984,0.3329
ly,166,0.3320,24543186,0.3310
ot,164,0.3280,24286083,0.3275
po,164,0.3280,24195822,0.3263
vi,163,0.3260,24023434,0.3240
ut,159,0.3180,23512735,0.3171
mo,158,0.3160,23402901,0.3156
fi,157,0.3140,23254292,0.3136
ee,156,0.3120,23029067,0.3106
ts,152,0.3040,22414067,0.3023
we,148,0.2960,21910072,0.2955
iv,145,0.2900,21370691,0.2882
ci,144,0.2880,21323882,0.2876
ow,143,0.2860,21175586,0.2856
ba,137,0.2740,20207581,0.2725
os,134,0.2680,19829712,0.2674
id,133,0.2660,19604591,0.2644
ig,131,0.2620,19310727,0.2604
ry,128,0.2560,18943482,0.2555
im,123,0.2460,18229744,0.2458
ul,123,0.2460,18168402,0.2450
su,121,0.2420,17878992,0.2411
fr,121,0.2420,17838866,0.2406
op,120,0.2400,17703846,0.2388
wh,120,0.2400,17702387,0.2387
rd,120,0.2400,17685145,0.2385
pl,120,0.2400,17661658,0.2382
tu,119,0.2380,17601700,0.2374
ag,119,0.2380,17497212,0.2360
ay,118,0.2360,17436414,0.2351
ty,115,0.2300,17001818,0.2293
bo,114,0.2280,16799221,0.2266
ga,113,0.2260,16747048,0.2258
da,113,0.2260,16742114,0.2258
mp,111,0.2220,16365119,0.2207
rn,111,0.2220,16312277,0.2200
oo,110,0.2200,16302390,0.2199
fe,109,0.2180,16137979,0.2176
ev,108,0.2160,15969836,0.2154
ld,107,0.2140,15835015,0.2135
wo,107,0.2140,15804572,0.2131
ke,106,0.2120,15690710,0.2116
ov,105,0.2100,15533945,0.2095
by,105,0.2100,15481794,0.2088
sa,104,0.2080,15411555,0.2078
gh,101,0.2020,14915221,0.2011
oc,100,0.2000,14755885,0.1990
bu,100,0.2000,14689293,0.1981
gr,100,0.2000,14676462,0.1979
ap,97,0.1940,14346287,0.1935
sc,96,0.1920,14212239,0.1917
rm,91,0.1820,13355899,0.1801
bl,90,0.1800,13316866,0.1796
cl,90,0.1800,13196684,0.1780
sp,90,0.1800,13195935,0.1780
ab,88,0.1760,13035337,0.1758
du,88,0.1760,12900775,0.1740
ls,86,0.1720,12747057,0.1719
od,86,0.1720,12699499,0.1713
gi,86,0.1720,12604830,0.1700
do,85,0.1700,12518377,0.1688
ck,85,0.1700,12487854,0.1684
tt,84,0.1680,12438050,0.1677
br,84,0.1680,12431612,0.1677
ep,84,0.1680,12350992,0.1666
pi,82,0.1640,12141337,0.1637
ei,82,0.1640,12052866,0.1625
um,82,0.1640,12033922,0.1623
av,81,0.1620,11917257,0.1607
cr,80,0.1600,11775195,0.1588
uc,79,0.1580,11708147,0.1579
au,79,0.1580,11642067,0.1570
ru,77,0.1540,11380748,0.1535
lu,76,0.1520,11245096,0.1516
ue,76,0.1520,11185168,0.1508
va,76,0.1520,11117573,0.1499
fa,75,0.1500,11017641,0.1486
mb,74,0.1480,10914254,0.1472
eg,74,0.1480,10834556,0.1461
rc,73,0.1460,10684756,0.1441
ua,72,0.1440,10617689,0.1432
ex,72,0.1440,10609953,0.1431
rr,70,0.1400,10240400,0.1381
cu,69,0.1380,10222139,0.1379
nn,68,0.1360,9941697,0.1341
ew,67,0.1340,9870331,0.1331
go,64,0.1280,9441429,0.1273
ye,64,0.1280,9439483,0.1273
up,64,0.1280,9434490,0.1272
ey,64,0.1280,9434197,0.1272
gu,63,0.1260,9311538,0.1256
rk,63,0.1260,9285122,0.1252
bi,63,0.1260,9261424,0.1249
ki,63,0.1260,9231362,0.1245
if,62,0.1240,9083333,0.1225
rg,62,0.1240,9056682,0.1221
mu,62,0.1240,9055226,0.1221
ef,61,0.1220,9012162,0.1215
ug,61,0.1220,8932066,0.1205
ud,61,0.1220,8913527,0.1202
lt,61,0.1220,8912927,0.1202
rl,60,0.1200,8825353,0.1190
pu,59,0.1180,8726838,0.1177
ip,59,0.1180,8686872,0.1171
ds,58,0.1160,8534072,0.1151
ff,58,0.1160,8519714,0.1149
pp,58,0.1160,8512863,0.1148
mm,58,0.1160,8452966,0.1140
ak,56,0.1120,8292074,0.1118
ub,56,0.1120,8218681,0.1108
qu,55,0.1100,8136594,0.1097
ui,55,0.1100,8123143,0.1095
af,55,0.1100,8056275,0.1086
