letter,orig_count,orig_%,synth_count,synth_%
e,1086260094,11.68,7635,12.17
a,839458791,9.03,6176,9.84
t,770250470,8.28,4709,7.50
i,711459074,7.65,5351,8.53
n,700116804,7.53,4708,7.50
o,675131621,7.26,4496,7.16
r,628956421,6.76,4235,6.75
s,613302251,6.60,3475,5.54
h,424998209,4.57,3450,5.50
l,399648956,4.30,2679,4.27
d,364832932,3.92,2208,3.52
c,321253211,3.45,2241,3.57
m,248167879,2.67,1654,2.64
u,247401940,2.66,1837,2.93
f,205948192,2.21,1012,1.61
p,193780104,2.08,1300,2.07
g,186306788,2.00,1100,1.75
b,152343474,1.64,1044,1.66
w,150558899,1.62,971,1.55
y,144570061,1.55,939,1.50
v,97798698,1.05,695,1.11
k,69497656,0.75,405,0.65
j,25104830,0.27,164,0.26
x,17833663,0.19,118,0.19
z,14872414,0.16,86,0.14
q,9157540,0.10,62,0.10
