pair,count,%,raw,raw%
th,766,2.5533,766,2.5533
in,710,2.3667,710,2.3667
er,640,2.1333,640,2.1333
re,593,1.9767,593,1.9767
on,582,1.9400,582,1.9400
he,577,1.9233,577,1.9233
es,558,1.8600,558,1.8600
at,548,1.8267,548,1.8267
ti,492,1.6400,492,1.6400
te,481,1.6033,481,1.6033
or,411,1.3700,411,1.3700
an,399,1.3300,399,1.3300
en,383,1.2767,383,1.2767
nt,369,1.2300,369,1.2300
se,366,1.2200,366,1.2200
st,351,1.1700,351,1.1700
et,348,1.1600,348,1.1600
io,340,1.1333,340,1.1333
le,315,1.0500,315,1.0500
to,308,1.0267,308,1.0267
co,299,0.9967,299,0.9967
de,282,0.9400,282,0.9400
me,277,0.9233,277,0.9233
ec,275,0.9167,275,0.9167
al,273,0.9100,273,0.9100
ed,271,0.9033,271,0.9033
ng,267,0.8900,267,0.8900
it,266,0.8867,266,0.8867
ta,259,0.8633,259,0.8633
is,254,0.8467,254,0.8467
nd,241,0.8033,241,0.8033
ce,237,0.7900,237,0.7900
ri,228,0.7600,228,0.7600
ic,225,0.7500,225,0.7500
ar,224,0.7467,224,0.7467
ro,220,0.7333,220,0.7333
li,216,0.7200,216,0.7200
ne,211,0.7033,211,0.7033
ct,211,0.7033,211,0.7033
as,208,0.6933,208,0.6933
ea,203,0.6767,203,0.6767
ou,202,0.6733,202,0.6733
ca,200,0.6667,200,0.6667
ra,199,0.6633,199,0.6633
pe,195,0.6500,195,0.6500
ns,193,0.6433,193,0.6433
fo,193,0.6433,193,0.6433
ur,186,0.6200,186,0.6200
ve,184,0.6133,184,0.6133
tr,174,0.5800,174,0.5800
ha,172,0.5733,172,0.5733
ge,169,0.5633,169,0.5633
ma,166,0.5533,166,0.5533
si,165,0.5500,165,0.5500
ll,163,0.5433,163,0.5433
pr,162,0.5400,162,0.5400
us,160,0.5333,160,0.5333
ac,155,0.5167,155,0.5167
ss,155,0.5167,155,0.5167
of,152,0.5067,152,0.5067
fi,149,0.4967,149,0.4967
el,147,0.4900,147,0.4900
ch,141,0.4700,141,0.4700
lo,139,0.4633,139,0.4633
nc,135,0.4500,135,0.4500
em,135,0.4500,135,0.4500
om,132,0.4400,132,0.4400
pl,130,0.4333,130,0.4333
la,127,0.4233,127,0.4233
ex,125,0.4167,125,0.4167
na,125,0.4167,125,0.4167
di,124,0.4133,124,0.4133
am,124,0.4133,124,0.4133
ts,121,0.4033,121,0.4033
ie,117,0.3900,117,0.3900
il,113,0.3767,113,0.3767
ol,113,0.3767,113,0.3767
ut,111,0.3700,111,0.3700
so,110,0.3667,110,0.3667
ty,108,0.3600,108,0.3600
rt,107,0.3567,107,0.3567
pa,106,0.3533,106,0.3533
da,106,0.3533,106,0.3533
hi,105,0.3500,105,0.3500
mp,104,0.3467,104,0.3467
wi,103,0.3433,103,0.3433
if,102,0.3400,102,0.3400
ad,102,0.3400,102,0.3400
od,100,0.3333,100,0.3333
vi,99,0.3300,99,0.3300
be,99,0.3300,99,0.3300
ho,98,0.3267,98,0.3267
ef,98,0.3267,98,0.3267
un,95,0.3167,95,0.3167
bl,94,0.3133,94,0.3133
ow,94,0.3133,94,0.3133
po,93,0.3100,93,0.3100
id,92,0.3067,92,0.3067
ap,91,0.3033,91,0.3033
ab,91,0.3033,91,0.3033
rs,90,0.3000,90,0.3000
op,90,0.3000,90,0.3000
ue,88,0.2933,88,0.2933
ul,87,0.2900,87,0.2900
ev,87,0.2900,87,0.2900
im,85,0.2833,85,0.2833
sp,82,0.2733,82,0.2733
ag,81,0.2700,81,0.2700
tu,81,0.2700,81,0.2700
ot,80,0.2667,80,0.2667
ee,78,0.2600,78,0.2600
no,78,0.2600,78,0.2600
va,78,0.2600,78,0.2600
ei,76,0.2533,76,0.2533
cl,75,0.2500,75,0.2500
